county,precinct,office,district,party,candidate,votes,election_day,provisional,absentee,mail_in
PHILADELPHIA,01-03,Attorney General,,DEM,JOSH SHAPIRO,226,50,2,21,153
PHILADELPHIA,01-03,Attorney General,,DEM,Write-ins,3,0,0,0,3
PHILADELPHIA,01-03,Attorney General,,REP,HEATHER HEIDELBAUGH,16,10,0,1,5
PHILADELPHIA,01-03,Attorney General,,REP,Write-ins,0,0,0,0,0
PHILADELPHIA,01-03,Auditor General,,DEM,CHRISTINA M HARTMAN,17,4,1,1,11
PHILADELPHIA,01-03,Auditor General,,DEM,H SCOTT CONKLIN,6,2,0,2,2
PHILADELPHIA,01-03,Auditor General,,DEM,MICHAEL LAMB,16,8,0,1,7
PHILADELPHIA,01-03,Auditor General,,DEM,NINA AHMAD,200,34,1,21,144
PHILADELPHIA,01-03,Auditor General,,DEM,ROSE ROSIE MARIE DAVIS,8,5,0,0,3
PHILADELPHIA,01-03,Auditor General,,DEM,TRACIE FOUNTAIN,9,1,0,1,7
PHILADELPHIA,01-03,Auditor General,,DEM,Write-ins,0,0,0,0,0
PHILADELPHIA,01-03,Auditor General,,REP,TIMOTHY DEFOOR,14,8,0,1,5
PHILADELPHIA,01-03,Auditor General,,REP,Write-ins,0,0,0,0,0
PHILADELPHIA,01-03,State Treasurer,,DEM,JOE TORSELLA,226,51,2,20,153
PHILADELPHIA,01-03,State Treasurer,,DEM,Write-ins,0,0,0,0,0
PHILADELPHIA,01-03,State Treasurer,,REP,STACY L GARRITY,15,9,0,1,5
PHILADELPHIA,01-03,State Treasurer,,REP,Write-ins,0,0,0,0,0
PHILADELPHIA,01-03,U.S. House,3,DEM,DWIGHT EVANS,219,44,2,22,151
PHILADELPHIA,01-03,U.S. House,3,DEM,Write-ins,8,0,0,0,8
PHILADELPHIA,01-03,U.S. House,3,REP,MICHAEL HARVEY,14,8,0,1,5
PHILADELPHIA,01-03,State Senate,1,DEM,LARRY FARNESE,74,13,0,12,49
PHILADELPHIA,01-03,State Senate,1,DEM,NIKIL SAVAL,195,45,2,14,134
PHILADELPHIA,01-03,General Assembly,184,DEM,ELIZABETH FIEDLER,259,53,2,23,181
