county,pri_dem_BIDEN,pri_dem_CLINTON,pri_dem_DODD,pri_dem_EDWARDS,pri_dem_GRAVEL,pri_dem_KUCINICH,pri_dem_OBAMA,pri_dem_RICHARDSON,pri_rep_GUILIANI,pri_rep_HUCKABEE,pri_rep_HUNTER,pri_rep_KEYES,pri_rep_MCCAIN,pri_rep_PAUL,pri_rep_ROMNEY,pri_rep_TANCREDO,pri_rep_THOMPSON,gen_cst_BALDWIN,gen_dem_OBAMA,gen_grn_MCKINNEY,gen_ind_NADER,gen_lib_BARR,gen_ref_WEILL,gen_rep_MCCAIN,rep_primary_total,dem_primary_total,rep_general_total,dem_general_total,lib_general_total,grn_general_total,cst_general_total,ind_general_total,ref_general_total
Clay,36,1146,14,63,8,17,3583,13,2,110,3,6,766,22,9,2,12,28,13116,10,70,26,2,8932,932,4880,8932,13116,26,10,28,70,2
Coahoma,22,1388,11,61,12,21,3541,32,1,14,0,0,76,4,1,0,2,40,15194,6,26,30,6,5834,98,5088,5834,15194,30,6,40,26,6
Copiah,24,1665,9,60,8,19,4030,19,4,95,5,3,823,27,11,0,9,52,15420,26,62,28,14,13402,977,5834,13402,15420,28,26,52,62,14
Forrest,20,3693,9,44,6,11,5790,19,12,195,3,4,1020,117,36,3,33,124,23244,38,190,168,12,30592,1423,9592,30592,23244,168,38,124,190,12
Franklin,15,604,6,33,4,2,908,6,2,86,0,4,535,9,2,2,2,22,3466,8,34,20,2,5818,642,1578,5818,3466,20,8,22,34,2
George,20,1673,13,55,4,4,501,18,7,140,0,4,509,27,6,0,3,56,3064,20,94,34,2,15400,696,2293,15400,3064,34,20,56,94,2
Hancock,13,2903,2,73,7,8,1299,9,14,127,2,9,702,81,20,0,13,100,7536,52,250,124,10,26040,968,4314,26040,7536,124,52,100,250,10
Harrison,50,8240,12,90,7,12,10240,33,42,509,24,33,3035,399,150,3,63,120,45346,128,524,270,12,77514,4258,18696,77514,45346,270,128,120,524,12
Hinds,98,9768,28,147,22,59,43758,62,63,806,22,54,7286,375,197,10,174,298,150802,118,326,254,108,65898,8987,53942,65898,150802,254,118,298,326,108
Holmes,36,868,12,30,12,13,4040,17,0,17,1,3,128,4,1,0,2,36,15530,18,26,36,12,3428,156,5028,3428,15530,36,18,36,26,12
Humphreys,15,533,5,21,4,6,1795,8,1,8,0,0,58,0,0,0,3,12,7268,2,14,22,10,2924,70,2387,2924,7268,22,2,12,14,10
Issaquena,8,134,1,6,0,1,297,3,0,2,0,0,25,1,0,0,1,2,1158,2,8,2,0,728,29,450,728,1158,2,2,2,8,0
Itawamba,19,2721,7,110,6,6,531,18,10,214,1,7,947,19,7,1,19,84,4168,36,220,58,10,15326,1225,3418,15326,4168,58,36,84,220,10
Jackson,48,6315,18,131,11,25,8146,43,53,642,21,34,3750,418,143,4,70,236,35562,78,402,306,22,71986,5135,14756,71986,35562,306,78,236,402,22
Jasper,26,1202,8,28,7,21,2859,12,2,48,0,5,381,14,6,2,4,24,10050,8,38,26,4,8270,462,4163,8270,10050,26,8,24,38,4
Jefferson,7,288,3,9,2,3,2301,3,0,4,0,4,45,0,7,1,7,48,7766,8,12,16,4,1102,68,2616,1102,7766,16,8,48,12,4
Jefferson Davis,25,811,8,32,8,9,2487,14,7,73,0,0,511,13,0,0,0,24,8908,16,22,20,8,5742,604,3394,5742,8908,20,16,24,22,8
Jones,34,5525,24,97,17,20,4645,31,14,199,17,16,1148,147,33,17,47,156,17692,64,186,126,8,40314,1638,10393,40314,17692,126,64,156,186,8
