county,precinct,office,district,candidate,party,votes
Carson City,107,U.S. House,2,"ACKERMAN, PATRICIA",DEM,415
Carson City,107,U.S. House,2,"Amodei, Mark E.",REP,784
Carson City,107,U.S. House,2,JANINE HANSEN,IAP,17
Carson City,109,"Board of Supervisors, Ward 2",,"WHITE, MAURICE ""MO""",,796
Carson City,109,"Board of Supervisors, Ward 2",,"WILKE-MCCULLOCH, STACIE",,637
Carson City,109,"Court Of Appeals Judge, Dept. 3",,"BULLA, BONNIE",,607
Carson City,109,"Court Of Appeals Judge, Dept. 3",,"BUSH, SUSAN",,506
Carson City,109,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,,321
Carson City,109,"District Court Judge, District 1, Department 1",,"RUSSELL, JAMES TODD",,1283
Carson City,109,"District Court Judge, District 1, Department 2",,"WILSON, JIM",,1269
Carson City,109,President,,"BIDEN, JOSEPH R.",DEM,701
Carson City,109,President,,"BLANKENSHIP, DON",,2
Carson City,109,President,,"JORGENSEN, JO",LIB,16
Carson City,109,President,,None Of These Candidates,,20
Carson City,109,President,,"TRUMP, DONALD J.",REP,823
Carson City,109,"School Trustee, District 7",,"CACIOPPO, JOE",,890
Carson City,109,"School Trustee, District 7",,"TRUSHENSKI, JOY R.",,499
Carson City,109,State Assembly,40,"LOYD, SENA",,638
Carson City,109,State Assembly,40,"O'Neill, Philip ""PK""",,880
Carson City,109,STATE QUESTION NO. 1,,No,,944
Carson City,109,STATE QUESTION NO. 1,,Yes,,546
Carson City,109,STATE QUESTION NO. 2,,No,,621
Carson City,109,STATE QUESTION NO. 2,,Yes,,909
Carson City,109,STATE QUESTION NO. 3,,No,,781
Carson City,109,STATE QUESTION NO. 3,,Yes,,727
Carson City,109,STATE QUESTION NO. 4,,No,,738
Carson City,109,STATE QUESTION NO. 4,,Yes,,781
Carson City,109,STATE QUESTION NO. 6,,No,,817
Carson City,109,STATE QUESTION NO. 6,,Yes,,707
Carson City,109,"Supreme Court Justice, Seat B",,None Of These Candidates,,266
Carson City,109,"Supreme Court Justice, Seat B",,"Pickering, Kristina",,1157
Carson City,109,"Supreme Court Justice, Seat D",,"FUMO, Ozzie",,488
Carson City,109,"Supreme Court Justice, Seat D",,"HERNDON, DOUGLAS",,768
Carson City,109,"Supreme Court Justice, Seat D",,None Of These Candidates,,216
Carson City,109,U.S. House,2,"ACKERMAN, PATRICIA",DEM,616
Carson City,109,U.S. House,2,"Amodei, Mark E.",REP,894
Carson City,109,U.S. House,2,JANINE HANSEN,IAP,32
Carson City,111,"Board of Supervisors, Ward 2",,"WHITE, MAURICE ""MO""",,714
Carson City,111,"Board of Supervisors, Ward 2",,"WILKE-MCCULLOCH, STACIE",,540
Carson City,111,"Court Of Appeals Judge, Dept. 3",,"BULLA, BONNIE",,463
Carson City,111,"Court Of Appeals Judge, Dept. 3",,"BUSH, SUSAN",,503
Carson City,111,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,,327
Carson City,111,"District Court Judge, District 1, Department 1",,"RUSSELL, JAMES TODD",,1128
Carson City,111,"District Court Judge, District 1, Department 2",,"WILSON, JIM",,1115
Carson City,111,President,,"BIDEN, JOSEPH R.",DEM,660
Carson City,111,President,,"BLANKENSHIP, DON",,6
Carson City,111,President,,"JORGENSEN, JO",LIB,21
Carson City,111,President,,None Of These Candidates,,13
Carson City,111,President,,"TRUMP, DONALD J.",REP,691
Carson City,111,"School Trustee, District 7",,"CACIOPPO, JOE",,698
Carson City,111,"School Trustee, District 7",,"TRUSHENSKI, JOY R.",,510
Carson City,111,State Assembly,40,"LOYD, SENA",,654
Carson City,111,State Assembly,40,"O'Neill, Philip ""PK""",,689
Carson City,111,STATE QUESTION NO. 1,,No,,732
Carson City,111,STATE QUESTION NO. 1,,Yes,,565
Carson City,111,STATE QUESTION NO. 2,,No,,510
Carson City,111,STATE QUESTION NO. 2,,Yes,,828
Carson City,111,STATE QUESTION NO. 3,,No,,549
Carson City,111,STATE QUESTION NO. 3,,Yes,,754
Carson City,111,STATE QUESTION NO. 4,,No,,465
Carson City,111,STATE QUESTION NO. 4,,Yes,,858
Carson City,111,STATE QUESTION NO. 6,,No,,571
Carson City,111,STATE QUESTION NO. 6,,Yes,,754
Carson City,111,"Supreme Court Justice, Seat B",,None Of These Candidates,,312
Carson City,111,"Supreme Court Justice, Seat B",,"Pickering, Kristina",,956
Carson City,111,"Supreme Court Justice, Seat D",,"FUMO, Ozzie",,472
Carson City,111,"Supreme Court Justice, Seat D",,"HERNDON, DOUGLAS",,579
Carson City,111,"Supreme Court Justice, Seat D",,None Of These Candidates,,261
Carson City,111,U.S. House,2,"ACKERMAN, PATRICIA",DEM,630
Carson City,111,U.S. House,2,"Amodei, Mark E.",REP,696
Carson City,111,U.S. House,2,JANINE HANSEN,IAP,42
Carson City,113,"Board of Supervisors, Ward 2",,"WHITE, MAURICE ""MO""",,867
Carson City,113,"Board of Supervisors, Ward 2",,"WILKE-MCCULLOCH, STACIE",,542
Carson City,113,"Court Of Appeals Judge, Dept. 3",,"BULLA, BONNIE",,523
Carson City,113,"Court Of Appeals Judge, Dept. 3",,"BUSH, SUSAN",,517
Carson City,113,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,,360
Carson City,113,"District Court Judge, District 1, Department 1",,"RUSSELL, JAMES TODD",,1224
Carson City,113,"District Court Judge, District 1, Department 2",,"WILSON, JIM",,1210
Carson City,113,President,,"BIDEN, JOSEPH R.",DEM,588
Carson City,113,President,,"BLANKENSHIP, DON",,4
Carson City,113,President,,"JORGENSEN, JO",LIB,11
Carson City,113,President,,None Of These Candidates,,19
Carson City,113,President,,"TRUMP, DONALD J.",REP,886
Carson City,113,"School Trustee, District 7",,"CACIOPPO, JOE",,846
Carson City,113,"School Trustee, District 7",,"TRUSHENSKI, JOY R.",,503
Carson City,113,State Assembly,40,"LOYD, SENA",,559
Carson City,113,State Assembly,40,"O'Neill, Philip ""PK""",,904
Carson City,113,STATE QUESTION NO. 1,,No,,963
Carson City,113,STATE QUESTION NO. 1,,Yes,,466
Carson City,113,STATE QUESTION NO. 2,,No,,698
Carson City,113,STATE QUESTION NO. 2,,Yes,,772
Carson City,113,STATE QUESTION NO. 3,,No,,744
Carson City,113,STATE QUESTION NO. 3,,Yes,,699
Carson City,113,STATE QUESTION NO. 4,,No,,743
Carson City,113,STATE QUESTION NO. 4,,Yes,,706
Carson City,113,STATE QUESTION NO. 6,,No,,819
Carson City,113,STATE QUESTION NO. 6,,Yes,,640
Carson City,113,"Supreme Court Justice, Seat B",,None Of These Candidates,,273
