county,gen_dem_BIDEN,gen_lib_JORGENSEN,gen_rep_TRUMP,pri_dem_BENNET,pri_dem_BIDEN,pri_dem_BLOOMBERG,pri_dem_BUTTIGIEG,pri_dem_DELANEY,pri_dem_GABBARD,pri_dem_KLOBUCHAR,pri_dem_PATRICK,pri_dem_SANDERS,pri_dem_STEYER,pri_dem_WARREN,pri_dem_YANG,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
Irwin,1008,26,3134,15,462,8,3,10,4,1,3,57,2,9,16,1866,4168,1866,590
Jackson,7642,531,29497,11,2186,23,34,2,10,19,1,313,4,47,25,11558,37670,11558,2675
Jasper,1761,61,5822,10,752,8,3,1,1,4,0,53,0,15,8,2289,7644,2289,855
Jeff Davis,1028,48,4695,4,367,3,1,2,1,2,0,30,6,2,5,2579,5771,2579,423
Jefferson,4061,44,3537,53,2111,36,23,22,74,31,7,200,68,56,71,638,7642,638,2752
Jenkins,1266,28,2161,36,632,24,14,6,21,13,11,105,39,27,41,295,3455,295,969
Johnson,1222,28,2850,5,431,11,0,3,2,3,0,48,2,15,5,1676,4100,1676,525
Jones,4888,113,9965,9,2073,13,5,2,2,7,2,118,2,16,13,3709,14966,3709,2262
Lamar,2615,94,6330,9,1132,16,3,6,4,5,3,84,0,8,5,2490,9039,2490,1275
Lanier,1019,48,2509,5,311,3,2,3,0,1,0,19,0,4,2,1054,3576,1054,350
Laurens,8073,163,14493,22,2272,25,9,15,3,3,3,166,6,36,24,5086,22729,5086,2584
Lee,4558,149,12007,15,1792,9,8,4,5,1,0,128,3,19,10,4868,16714,4868,1994
Liberty,13099,331,7959,36,4778,73,34,24,73,49,8,376,92,74,128,1606,21389,1606,5745
Lincoln,1435,36,3179,10,595,4,5,3,2,2,0,32,6,8,4,1615,4650,1615,671
Long,2033,95,3528,3,594,5,1,3,5,5,0,53,10,11,6,1623,5656,1623,696
Lowndes,20117,547,25691,33,5340,43,24,5,8,20,6,563,4,78,34,7080,46355,7080,6158
