county,gen_ind_CELLA,gen_oth_BIDEN,gen_oth_BLANKENSHIP,gen_oth_CARROLL,gen_oth_CHARLES,gen_oth_COLLINS,gen_oth_FAMBRO,gen_oth_FUENTE,gen_oth_HAMMONS,gen_oth_HAWKINS,gen_oth_HOEFLING,gen_oth_HUBER,gen_oth_HUNTER,gen_oth_JORGENSEN,gen_oth_KENNEDY,gen_oth_KISHORE,gen_oth_KOPITKE,gen_oth_MCHUGH,gen_oth_PIERCE,gen_oth_RIVA,gen_oth_SCOTT,gen_oth_TRUMP,gen_oth_WELLS,gen_oth_WEST,pri_dem_BIDEN,pri_dem_BLOOMBERG,pri_dem_BOOKER,pri_dem_GABBARD,pri_dem_III,pri_dem_KRICHEVSKY,pri_dem_PATRICK,pri_dem_SANDERS,pri_dem_STEYER,pri_dem_WARREN,pri_dem_WELLS,pri_dem_WILLIAMSON,pri_dem_YANG,pri_rep_ARDINI,pri_rep_ISTVAN,pri_rep_MATERN,pri_rep_TRUMP,pri_rep_WALSH,pri_rep_WELD,gen_total,rep_pri_total,dem_pri_total
Montrose,0,7687,30,7,8,3,2,1,16,49,0,2,2,285,0,2,4,2,3,2,2,16770,0,45,1169,875,10,70,9,2,2,1209,39,556,8,4,18,27,17,56,9115,117,174,24922,9506,3971
Morgan,0,3876,14,5,11,5,0,9,11,26,0,0,1,151,0,0,2,6,2,2,3,9593,0,27,459,482,5,38,11,3,0,560,9,206,1,3,8,15,11,28,4754,82,84,13744,4974,1785
Otero,0,3605,15,6,14,5,2,8,10,16,0,3,1,88,3,1,4,1,1,2,0,5756,0,35,533,525,6,35,8,2,3,663,19,181,2,3,16,12,10,39,3105,64,56,9576,3286,1996
Ouray,0,2365,5,1,0,1,0,0,2,12,0,0,0,46,0,0,0,1,0,3,0,1577,0,7,355,199,3,19,1,0,1,513,10,260,0,2,3,3,5,10,854,17,43,4020,932,1366
Park,1,4903,29,4,12,4,1,0,11,56,0,0,0,238,0,1,2,3,2,1,2,6991,0,30,591,395,0,49,7,3,1,1033,14,438,1,5,10,12,20,27,3493,57,110,12291,3719,2547
Phillips,0,486,3,1,1,0,0,0,1,7,0,0,0,24,0,0,0,0,0,0,0,1958,0,4,74,74,2,5,3,2,0,74,3,28,0,2,2,6,2,9,1153,22,12,2485,1204,269
Pitkin,0,8989,9,2,3,0,1,1,10,41,0,0,0,94,1,0,3,0,0,0,0,2780,0,23,1330,1457,3,29,2,0,0,1480,12,605,0,2,15,3,6,16,872,33,71,11957,1001,4935
Prowers,0,1458,13,3,3,0,0,0,3,9,0,0,0,39,1,1,4,2,0,1,2,4008,0,14,200,188,8,9,5,1,0,227,4,92,3,2,12,7,8,15,2355,29,20,5561,2434,751
Pueblo,0,43772,169,35,71,34,17,38,94,205,2,12,16,1200,11,10,21,25,23,32,7,42252,0,255,7360,6335,65,305,120,32,11,7802,140,2535,32,40,150,76,73,158,18358,344,384,88301,19393,24927
Rio Blanco,0,561,4,0,3,0,0,0,3,3,0,0,0,42,1,0,0,2,0,0,0,3061,0,11,73,58,0,2,0,0,0,81,1,49,0,1,0,4,3,9,1986,18,34,3691,2054,265
Rio Grande,0,2495,15,1,11,5,0,3,2,11,0,1,0,66,2,2,3,3,1,4,0,3660,0,20,291,319,9,7,7,0,2,479,5,161,0,3,4,7,10,29,1944,62,47,6305,2099,1287
Routt,0,10582,20,6,13,0,2,0,15,37,0,0,0,236,1,0,1,0,4,2,1,5925,0,31,1486,1215,7,54,3,3,2,1842,23,883,1,5,13,10,24,38,2411,86,153,16876,2722,5537
Saguache,0,1884,8,3,6,0,1,0,2,13,0,0,2,39,1,0,1,0,0,1,0,1413,0,15,181,168,3,13,6,1,0,619,7,172,2,7,9,0,1,6,656,15,13,3389,691,1188
San Juan,0,342,1,0,2,0,0,0,1,2,0,0,0,7,0,0,1,1,0,1,0,202,0,2,34,31,2,4,2,0,0,86,1,38,0,0,2,2,0,0,74,3,7,562,86,200
San Miguel,0,3924,2,0,2,1,0,0,2,14,0,0,0,52,0,0,0,1,1,1,0,1136,0,11,462,356,1,25,4,1,2,1039,7,362,1,1,8,2,2,5,456,14,29,5147,508,2269
Sedgwick,0,301,7,0,2,0,0,0,1,1,0,0,1,8,1,0,0,0,1,0,0,1121,0,2,41,40,2,6,0,3,0,57,3,25,1,0,2,1,2,9,678,15,16,1446,721,180
Summit,0,12631,16,6,13,4,2,1,14,60,0,3,3,353,1,1,0,4,3,3,0,5322,0,39,1626,1153,4,69,3,2,0,2260,21,954,0,5,13,11,17,21,1915,98,145,18479,2207,6110
Teller,0,5278,28,18,10,0,0,1,10,25,0,1,1,267,2,2,6,7,2,2,1,11241,0,37,731,471,2,43,8,1,1,912,18,459,0,7,20,9,13,37,5813,60,161,16939,6093,2673
Washington,0,369,4,2,2,0,0,0,2,5,0,1,0,25,0,0,1,0,0,0,0,2595,0,2,39,40,0,5,0,3,0,66,1,28,0,2,2,6,4,6,1641,20,29,3008,1706,186
Weld,0,66060,363,115,120,27,13,39,170,340,6,18,14,2895,12,7,51,45,32,44,9,96145,0,449,7304,5927,61,426,57,25,13,11911,136,4308,10,38,132,166,148,366,41037,550,1193,166974,43460,30348
Yuma,0,785,8,0,5,0,1,0,2,2,0,0,0,52,1,2,2,3,0,0,1,4107,0,10,129,140,1,15,2,1,0,111,6,59,2,2,8,7,5,24,2372,25,24,4981,2457,476
