county,precinct,office,district,candidate,party,votes
Aitkin,15,Judge - 9th District Court 14,9,WRITE-IN,WI,0
Aitkin,15,Judge - 9th District Court 15,9,Tamara L. Yon,NP,112
Aitkin,15,Judge - 9th District Court 15,9,WRITE-IN,WI,0
Aitkin,15,Judge - 9th District Court 18,9,Jeffrey S. Remick,NP,113
Aitkin,15,Judge - 9th District Court 18,9,WRITE-IN,WI,0
Aitkin,15,Judge - 9th District Court 19,9,James Hughes,NP,50
Aitkin,15,Judge - 9th District Court 19,9,Jana M Austad,NP,87
Aitkin,15,Judge - 9th District Court 19,9,WRITE-IN,WI,0
Aitkin,15,Judge - 9th District Court 21,9,Patricia Aanes,NP,111
Aitkin,15,Judge - 9th District Court 21,9,WRITE-IN,WI,2
Aitkin,15,Judge - 9th District Court 22,9,Darlene Rivera Spalla,NP,112
Aitkin,15,Judge - 9th District Court 22,9,WRITE-IN,WI,2
Aitkin,20,President,,Donald J. Trump and Michael R. Pence,R,12
Aitkin,20,President,,Joseph R. Biden and Kamala Harris,DFL,11
Aitkin,20,President,,"Roque ""Rocky"" De La Fuente and Darcy Richardson",IA,0
Aitkin,20,President,,Howie Hawkins and Angela Walker,GP,0
Aitkin,20,President,,Kanye West and Michelle Tidball,IND,0
Aitkin,20,President,,Brock Pierce and Karla Ballard,IND,0
Aitkin,20,President,,Gloria La Riva and Leonard Peltier,SLP,1
Aitkin,20,President,,Alyson Kennedy and Malcolm Jarrett,SWP,0
Aitkin,20,President,,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LIB,0
Aitkin,20,President,,WRITE-IN,WI,0
Aitkin,20,U.S. Senate,,Kevin O'Connor,LMN,0
Aitkin,20,U.S. Senate,,Oliver Steinberg,GLC,0
Aitkin,20,U.S. Senate,,Jason Lewis,R,13
Aitkin,20,U.S. Senate,,Tina Smith,DFL,11
Aitkin,20,U.S. Senate,,WRITE-IN,WI,0
Aitkin,20,U.S. House,8,Judith Schwartzbacker,GLC,0
Aitkin,20,U.S. House,8,Pete Stauber,R,13
Aitkin,20,U.S. House,8,Quinn Nystrom,DFL,11
Aitkin,20,U.S. House,8,WRITE-IN,WI,0
Aitkin,20,State Senate,10,Carrie Ruud,R,14
Aitkin,20,State Senate,10,Steve Samuelson,DFL,10
Aitkin,20,State Senate,10,WRITE-IN,WI,0
Aitkin,20,State House,10B,Dale K. Lueck,R,12
Aitkin,20,State House,10B,Gaylene Spolarich,DFL,11
Aitkin,20,State House,10B,WRITE-IN,WI,0
Aitkin,20,Soil and Water Supervisor District 3,3001,Franklin Turnock,NP,15
Aitkin,20,Soil and Water Supervisor District 3,3001,WRITE-IN,WI,0
Aitkin,20,Soil and Water Supervisor District 4,3001,Bob Janzen,NP,13
Aitkin,20,Soil and Water Supervisor District 4,3001,WRITE-IN,WI,0
Aitkin,20,Soil and Water Supervisor District 5,3001,Robert Roseberg,NP,12
Aitkin,20,Soil and Water Supervisor District 5,3001,WRITE-IN,WI,0
Aitkin,20,Associate Justice - Supreme Court 4,,Michelle MacDonald,NP,2
Aitkin,20,Associate Justice - Supreme Court 4,,Paul Thissen,NP,10
Aitkin,20,Associate Justice - Supreme Court 4,,WRITE-IN,WI,0
Aitkin,20,Judge - Court of Appeals 3,,Carol Hooten,NP,10
Aitkin,20,Judge - Court of Appeals 3,,WRITE-IN,WI,0
Aitkin,20,Judge - Court of Appeals 9,,Randall J Slieter,NP,11
Aitkin,20,Judge - Court of Appeals 9,,WRITE-IN,WI,0
Aitkin,20,Judge - Court of Appeals 13,,Jeanne Cochran,NP,10
Aitkin,20,Judge - Court of Appeals 13,,WRITE-IN,WI,0
Aitkin,20,Judge - Court of Appeals 15,,Kevin G. Ross,NP,11
Aitkin,20,Judge - Court of Appeals 15,,WRITE-IN,WI,0
Aitkin,20,Judge - 9th District Court 2,9,Matthew Mallie,NP,11
Aitkin,20,Judge - 9th District Court 2,9,WRITE-IN,WI,0
Aitkin,20,Judge - 9th District Court 4,9,Benjamin T. Lindstrom,NP,8
Aitkin,20,Judge - 9th District Court 4,9,Charles D Halverson,NP,4
Aitkin,20,Judge - 9th District Court 4,9,WRITE-IN,WI,0
Aitkin,20,Judge - 9th District Court 5,9,D. Korey Wahwassuck,NP,11
Aitkin,20,Judge - 9th District Court 5,9,WRITE-IN,WI,0
Aitkin,20,Judge - 9th District Court 11,9,Anne M. Rasmusson,NP,10
Aitkin,20,Judge - 9th District Court 11,9,WRITE-IN,WI,0
Aitkin,20,Judge - 9th District Court 12,9,Sarah L. McBroom,NP,11
Aitkin,20,Judge - 9th District Court 12,9,WRITE-IN,WI,0
Aitkin,20,Judge - 9th District Court 14,9,Robert D. Tiffany,NP,11
Aitkin,20,Judge - 9th District Court 14,9,WRITE-IN,WI,0
Aitkin,20,Judge - 9th District Court 15,9,Tamara L. Yon,NP,10
Aitkin,20,Judge - 9th District Court 15,9,WRITE-IN,WI,0
Aitkin,20,Judge - 9th District Court 18,9,Jeffrey S. Remick,NP,11
Aitkin,20,Judge - 9th District Court 18,9,WRITE-IN,WI,0
Aitkin,20,Judge - 9th District Court 19,9,James Hughes,NP,3
Aitkin,20,Judge - 9th District Court 19,9,Jana M Austad,NP,9
Aitkin,20,Judge - 9th District Court 19,9,WRITE-IN,WI,0
Aitkin,20,Judge - 9th District Court 21,9,Patricia Aanes,NP,10
Aitkin,20,Judge - 9th District Court 21,9,WRITE-IN,WI,0
Aitkin,20,Judge - 9th District Court 22,9,Darlene Rivera Spalla,NP,10
Aitkin,20,Judge - 9th District Court 22,9,WRITE-IN,WI,0
Aitkin,25,President,,Donald J. Trump and Michael R. Pence,R,17
Aitkin,25,President,,Joseph R. Biden and Kamala Harris,DFL,20
Aitkin,25,President,,"Roque ""Rocky"" De La Fuente and Darcy Richardson",IA,0
Aitkin,25,President,,Howie Hawkins and Angela Walker,GP,0
Aitkin,25,President,,Kanye West and Michelle Tidball,IND,0
Aitkin,25,President,,Brock Pierce and Karla Ballard,IND,0
Aitkin,25,President,,Gloria La Riva and Leonard Peltier,SLP,0
Aitkin,25,President,,Alyson Kennedy and Malcolm Jarrett,SWP,0
Aitkin,25,President,,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LIB,0
Aitkin,25,President,,WRITE-IN,WI,1
Aitkin,25,U.S. Senate,,Kevin O'Connor,LMN,0
Aitkin,25,U.S. Senate,,Oliver Steinberg,GLC,0
Aitkin,25,U.S. Senate,,Jason Lewis,R,16
Aitkin,25,U.S. Senate,,Tina Smith,DFL,20
Aitkin,25,U.S. Senate,,WRITE-IN,WI,0
Aitkin,25,U.S. House,8,Judith Schwartzbacker,GLC,2
Aitkin,25,U.S. House,8,Pete Stauber,R,15
Aitkin,25,U.S. House,8,Quinn Nystrom,DFL,19
Aitkin,25,U.S. House,8,WRITE-IN,WI,0
Aitkin,25,State Senate,10,Carrie Ruud,R,15
Aitkin,25,State Senate,10,Steve Samuelson,DFL,21
Aitkin,25,State Senate,10,WRITE-IN,WI,0
Aitkin,25,State House,10B,Dale K. Lueck,R,16
Aitkin,25,State House,10B,Gaylene Spolarich,DFL,20
Aitkin,25,State House,10B,WRITE-IN,WI,0
Aitkin,25,Soil and Water Supervisor District 3,3001,Franklin Turnock,NP,24
Aitkin,25,Soil and Water Supervisor District 3,3001,WRITE-IN,WI,2
Aitkin,25,Soil and Water Supervisor District 4,3001,Bob Janzen,NP,26
Aitkin,25,Soil and Water Supervisor District 4,3001,WRITE-IN,WI,0
Aitkin,25,Soil and Water Supervisor District 5,3001,Robert Roseberg,NP,26
Aitkin,25,Soil and Water Supervisor District 5,3001,WRITE-IN,WI,0
Aitkin,25,Associate Justice - Supreme Court 4,,Michelle MacDonald,NP,14
Aitkin,25,Associate Justice - Supreme Court 4,,Paul Thissen,NP,17
Aitkin,25,Associate Justice - Supreme Court 4,,WRITE-IN,WI,0
Aitkin,25,Judge - Court of Appeals 3,,Carol Hooten,NP,25
Aitkin,25,Judge - Court of Appeals 3,,WRITE-IN,WI,0
Aitkin,25,Judge - Court of Appeals 9,,Randall J Slieter,NP,24
Aitkin,25,Judge - Court of Appeals 9,,WRITE-IN,WI,0
Aitkin,25,Judge - Court of Appeals 13,,Jeanne Cochran,NP,23
Aitkin,25,Judge - Court of Appeals 13,,WRITE-IN,WI,0
Aitkin,25,Judge - Court of Appeals 15,,Kevin G. Ross,NP,22
Aitkin,25,Judge - Court of Appeals 15,,WRITE-IN,WI,0
