county,office,district,party,candidate,votes
Hughes,President,,D,BARACK OBAMA and JOE BIDEN,1709
Jackson,President,,R,JOHN McCAIN and SARAH PALIN,6719
Jackson,President,,D,BARACK OBAMA and JOE BIDEN,2264
Jefferson,President,,R,JOHN McCAIN and SARAH PALIN,1652
Jefferson,President,,D,BARACK OBAMA and JOE BIDEN,805
Johnston,President,,R,JOHN McCAIN and SARAH PALIN,2708
Johnston,President,,D,BARACK OBAMA and JOE BIDEN,1249
Kay,President,,R,JOHN McCAIN and SARAH PALIN,13230
Kay,President,,D,BARACK OBAMA and JOE BIDEN,5463
Kingfisher,President,,R,JOHN McCAIN and SARAH PALIN,5372
Kingfisher,President,,D,BARACK OBAMA and JOE BIDEN,1009
Kiowa,President,,R,JOHN McCAIN and SARAH PALIN,2537
Kiowa,President,,D,BARACK OBAMA and JOE BIDEN,1226
Latimer,President,,R,JOHN McCAIN and SARAH PALIN,2860
Latimer,President,,D,BARACK OBAMA and JOE BIDEN,1313
Leflore,President,,R,JOHN McCAIN and SARAH PALIN,11605
Leflore,President,,D,BARACK OBAMA and JOE BIDEN,5136
Lincoln,President,,R,JOHN McCAIN and SARAH PALIN,10470
Lincoln,President,,D,BARACK OBAMA and JOE BIDEN,3504
Logan,President,,R,JOHN McCAIN and SARAH PALIN,12556
Logan,President,,D,BARACK OBAMA and JOE BIDEN,5717
Love,President,,R,JOHN McCAIN and SARAH PALIN,2589
Love,President,,D,BARACK OBAMA and JOE BIDEN,1257
Mcclain,President,,R,JOHN McCAIN and SARAH PALIN,11193
Mcclain,President,,D,BARACK OBAMA and JOE BIDEN,3551
Mccurtain,President,,R,JOHN McCAIN and SARAH PALIN,7745
Mccurtain,President,,D,BARACK OBAMA and JOE BIDEN,2794
Mcintosh,President,,R,JOHN McCAIN and SARAH PALIN,4903
Mcintosh,President,,D,BARACK OBAMA and JOE BIDEN,3320
Major,President,,R,JOHN McCAIN and SARAH PALIN,2956
Major,President,,D,BARACK OBAMA and JOE BIDEN,515
Marshall,President,,R,JOHN McCAIN and SARAH PALIN,3730
Marshall,President,,D,BARACK OBAMA and JOE BIDEN,1643
Mayes,President,,R,JOHN McCAIN and SARAH PALIN,10234
Mayes,President,,D,BARACK OBAMA and JOE BIDEN,5749
Murray,President,,R,JOHN McCAIN and SARAH PALIN,3746
Murray,President,,D,BARACK OBAMA and JOE BIDEN,1592
Muskogee,President,,R,JOHN McCAIN and SARAH PALIN,15289
Muskogee,President,,D,BARACK OBAMA and JOE BIDEN,11294
Noble,President,,R,JOHN McCAIN and SARAH PALIN,3881
Noble,President,,D,BARACK OBAMA and JOE BIDEN,1174
Nowata,President,,R,JOHN McCAIN and SARAH PALIN,3031
Nowata,President,,D,BARACK OBAMA and JOE BIDEN,1411
Okfuskee,President,,R,JOHN McCAIN and SARAH PALIN,2643
Okfuskee,President,,D,BARACK OBAMA and JOE BIDEN,1480
Oklahoma,President,,R,JOHN McCAIN and SARAH PALIN,163172
Oklahoma,President,,D,BARACK OBAMA and JOE BIDEN,116182
Okmulgee,President,,R,JOHN McCAIN and SARAH PALIN,8727
Okmulgee,President,,D,BARACK OBAMA and JOE BIDEN,6191
Osage,President,,R,JOHN McCAIN and SARAH PALIN,12160
Osage,President,,D,BARACK OBAMA and JOE BIDEN,7498
Ottawa,President,,R,JOHN McCAIN and SARAH PALIN,6905
Ottawa,President,,D,BARACK OBAMA and JOE BIDEN,4268
Pawnee,President,,R,JOHN McCAIN and SARAH PALIN,4533
Pawnee,President,,D,BARACK OBAMA and JOE BIDEN,2063
Payne,President,,R,JOHN McCAIN and SARAH PALIN,18435
Payne,President,,D,BARACK OBAMA and JOE BIDEN,10601
