county,pri_dem_BIDEN,pri_dem_CLINTON,pri_dem_DODD,pri_dem_EDWARDS,pri_dem_OBAMA,pri_dem_RICHARDSON,pri_rep_CORT,pri_rep_GIULIANI,pri_rep_HUCKABEE,pri_rep_HUNTER,pri_rep_KEYES,pri_rep_MCCAIN,pri_rep_PAUL,pri_rep_ROMNEY,pri_rep_THOMPSON,pri_rep_TRAN,gen_dem_OBAMA,gen_lib_BARR,gen_rep_MCCAIN,gen_wri_ALLEN,gen_wri_BALDWIN,gen_wri_HILL,gen_wri_KEYES,gen_wri_MCKINNEY,gen_wri_MOORE,gen_wri_NADER,rep_primary_total,dem_primary_total,rep_general_total,dem_general_total,lib_general_total,wri_general_total
FAYETTE,31,3068,36,272,2087,74,0,5,460,18,12,830,156,17,14,0,3014,82,7582,0,5,16,1,1,0,13,1516,5568,7582,3014,82,36
FISHER,8,751,7,76,304,22,0,0,51,0,0,29,3,1,2,0,687,14,1083,0,0,0,0,0,0,0,86,1168,1083,687,14,0
FLOYD,0,345,3,8,213,8,0,6,393,3,3,455,20,7,9,1,730,7,1784,0,0,0,0,0,0,0,928,577,1784,730,7,0
FOARD,6,264,5,35,108,14,0,0,0,0,0,0,0,0,0,0,198,13,327,0,0,0,0,0,0,0,0,432,327,198,13,0
FORT BEND,19,25670,21,137,43893,45,6,150,11521,561,215,18652,1950,1248,258,21,98368,1014,103206,1,86,5,20,4,1,117,35165,69785,103206,98368,1014,234
FRANKLIN,3,798,1,39,313,4,0,4,539,0,3,548,31,20,10,0,1036,54,3392,0,0,0,0,0,0,9,1167,1158,3392,1036,54,9
FREESTONE,12,1551,14,109,1100,15,0,8,553,2,6,599,41,13,11,0,2034,41,5205,0,4,0,0,0,0,4,1237,2801,5205,2034,41,8
FRIO,36,2650,20,121,1348,51,0,0,26,0,2,17,6,3,0,0,2405,13,1644,0,0,0,0,0,0,0,54,4226,1644,2405,13,0
GAINES,4,373,2,17,197,3,3,12,690,4,10,837,29,42,22,1,650,27,3385,0,2,0,1,2,0,0,1722,596,3385,650,27,5
GALVESTON,71,20435,39,386,18522,104,9,66,5726,170,146,7606,1326,276,111,5,41805,744,62258,0,60,2,21,14,3,97,15547,39557,62258,41805,744,197
GARZA,5,316,2,69,226,11,0,2,197,1,3,222,10,6,9,0,375,15,1356,1,0,0,0,2,0,1,459,629,1356,375,15,4
GILLESPIE,2,953,2,15,1067,4,0,45,1409,13,94,3445,471,118,55,2,2576,101,9563,0,62,2,14,3,0,17,5754,2043,9563,2576,101,98
GLASSCOCK,0,11,0,0,8,0,0,8,105,2,0,250,40,9,8,0,52,1,502,0,2,0,0,0,0,0,442,19,502,52,1,2
GOLIAD,2,722,5,19,509,4,0,5,212,7,3,459,111,14,6,0,1329,17,2298,0,7,0,0,0,0,4,822,1261,2298,1329,17,11
GONZALES,13,1563,10,142,1254,54,0,6,372,1,1,534,90,11,6,0,2167,37,4076,0,1,0,1,0,0,5,1032,3036,4076,2167,37,7
GRAY,3,738,3,37,421,10,0,23,1412,9,9,1539,48,37,23,1,1153,49,6924,0,3,0,1,1,0,2,3149,1212,6924,1153,49,7
GRAYSON,13,7431,16,132,4359,38,2,51,4230,36,50,5332,294,187,115,5,13900,342,31136,2,54,1,10,2,0,30,10402,11989,31136,13900,342,99
GREGG,10,4580,4,69,6503,19,3,30,4542,14,46,5893,395,120,75,1,13166,181,29203,1,44,0,2,2,1,10,11231,11185,29203,13166,181,60
GRIMES,4,1546,5,53,1206,11,0,4,809,15,14,849,88,13,16,1,2704,56,5562,0,0,0,0,0,0,0,1846,2825,5562,2704,56,0
GUADALUPE,9,5943,12,88,6468,22,5,50,3858,20,60,5836,562,250,64,2,16156,362,30869,0,38,0,15,1,0,20,10883,12542,30869,16156,362,74
HALE,4,1317,3,36,875,16,0,5,1121,9,8,1094,41,28,20,3,2708,54,7171,0,4,0,5,0,1,0,2351,2251,7171,2708,54,10
HALL,11,493,0,59,205,45,0,0,0,0,0,0,0,0,0,0,324,8,930,0,1,0,0,0,0,1,0,813,930,324,8,2
HAMILTON,9,800,8,82,507,18,2,3,314,2,3,385,26,11,10,0,863,31,2876,0,5,0,0,0,0,3,761,1424,2876,863,31,8
HANSFORD,0,0,0,0,0,0,1,14,459,5,2,654,22,18,11,1,240,12,1847,0,1,0,0,1,0,1,1236,0,1847,240,12,3
HARDEMAN,17,640,6,139,246,38,0,0,0,0,0,0,0,0,0,0,373,23,1199,0,0,0,0,0,0,0,0,1086,1199,373,23,0
HARDIN,46,6045,46,543,2090,110,0,11,1104,2,35,1210,98,30,27,0,3939,155,16603,0,1,0,0,0,0,4,2539,8880,16603,3939,155,5
HARRIS,236,176268,260,1271,228610,457,53,715,57945,3194,1149,87567,9153,4695,1467,143,590982,6783,571883,12,656,12,102,176,8,858,169448,407102,571883,590982,6783,1824
HARRISON,33,4744,23,231,4057,82,1,11,2309,11,17,1731,192,45,44,1,8887,140,17103,0,16,0,2,2,0,8,4394,9170,17103,8887,140,28
HARTLEY,3,215,0,12,87,5,0,1,361,1,3,375,17,10,5,0,250,22,1711,0,1,0,0,0,0,1,773,322,1711,250,22,2
HASKELL,9,897,9,63,293,27,0,0,67,0,1,60,10,0,1,0,699,25,1388,0,2,0,0,0,0,2,140,1298,1388,699,25,4
HAYS,21,8595,8,104,11256,47,2,21,2782,14,52,3594,1310,177,48,1,28431,720,29638,2,131,4,12,23,2,89,8001,20031,29638,28431,720,263
HEMPHILL,2,81,0,4,37,2,0,17,352,2,3,593,17,10,4,0,216,7,1345,0,0,0,0,0,0,2,1028,126,1345,216,7,2
HENDERSON,16,5260,6,144,2815,19,21,46,3685,24,38,5003,212,111,63,3,7913,196,20857,0,18,0,1,0,0,8,9475,8260,20857,7913,196,27
HIDALGO,188,61581,94,558,21978,493,10,46,1914,22,30,3163,265,186,35,5,90261,718,39668,1,30,0,8,7,2,89,5753,84892,39668,90261,718,137
HILL,6,2861,7,76,1264,10,0,12,1513,19,13,1813,90,45,48,0,3811,104,9264,0,6,0,0,1,0,2,3608,4224,9264,3811,104,9
HOCKLEY,3,810,1,15,503,9,6,19,1141,6,14,1439,36,29,27,1,1797,46,5795,0,2,0,0,0,0,5,2761,1341,5795,1797,46,7
HOOD,5,3070,12,69,1694,12,5,56,2614,35,35,4205,226,139,83,9,5087,171,17299,3,18,0,0,0,1,17,7514,4862,17299,5087,171,39
HOPKINS,15,2898,10,105,1385,15,1,4,1328,3,14,1040,78,32,16,0,3530,75,9299,0,6,0,1,2,1,5,2541,4428,9299,3530,75,15
HOUSTON,5,1486,22,116,1379,13,1,8,956,2,13,1407,72,26,17,0,2656,56,5872,0,5,2,8,1,10,14,2546,3021,5872,2656,56,40
HOWARD,7,1459,3,49,751,11,2,16,1209,7,23,1641,64,61,37,0,2545,108,7029,0,3,0,1,0,0,3,3127,2280,7029,2545,108,7
HUDSPETH,6,291,0,15,140,25,0,0,0,0,0,0,0,0,0,0,430,8,458,0,1,0,0,1,0,0,0,477,458,430,8,2
HUNT,7,4664,10,113,2839,18,7,29,3905,26,43,3652,285,108,70,0,8594,256,20573,1,47,0,11,3,3,36,8318,7651,20573,8594,256,101
HUTCHINSON,1,1015,2,23,482,15,0,10,1411,10,7,1588,52,49,18,0,1322,71,7361,0,4,0,0,0,0,3,3170,1538,7361,1322,71,7
IRION,4,230,3,49,205,21,0,1,28,2,0,43,1,1,1,0,164,9,644,0,0,0,0,0,0,0,77,512,644,164,9,0
