county,office,district,candidate,party,absentee_mail,early_voting,election_day,votes
POTTAWATOMIE,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,,AGAINST THE PROPOSAL - NO,,1983,2268,13015,17266
POTTAWATOMIE,STATE QUESTION NO. 814 LEGISLATIVE REFERENDUM NO. 375,,FOR THE PROPOSAL - YES,,1895,1392,7178,10465
POTTAWATOMIE,STATE QUESTION NO. 814 LEGISLATIVE REFERENDUM NO. 375,,AGAINST THE PROPOSAL - NO,,2714,2189,12011,16914
POTTAWATOMIE,PROPOSITION NO. 1 CITY OF OKLAHOMA CITY,,FOR THE PROPOSITION - YES,,1,0,21,22
POTTAWATOMIE,PROPOSITION NO. 1 CITY OF OKLAHOMA CITY,,AGAINST THE PROPOSITION - NO,,3,1,3,7
POTTAWATOMIE,PROPOSITION NO. 2 CITY OF OKLAHOMA CITY,,FOR THE PROPOSITION - YES,,2,1,22,25
POTTAWATOMIE,PROPOSITION NO. 2 CITY OF OKLAHOMA CITY,,AGAINST THE PROPOSITION - NO,,3,0,2,5
POTTAWATOMIE,PROPOSITION NO. 3 CITY OF OKLAHOMA CITY,,FOR THE PROPOSITION - YES,,2,1,21,24
POTTAWATOMIE,PROPOSITION NO. 3 CITY OF OKLAHOMA CITY,,AGAINST THE PROPOSITION - NO,,3,0,3,6
POTTAWATOMIE,PROPOSITION NO. 4 CITY OF OKLAHOMA CITY,,FOR THE PROPOSITION - YES,,0,1,14,15
POTTAWATOMIE,PROPOSITION NO. 4 CITY OF OKLAHOMA CITY,,AGAINST THE PROPOSITION - NO,,4,0,9,13
POTTAWATOMIE,PROPOSITION NO. 5 CITY OF OKLAHOMA CITY,,FOR THE PROPOSITION - YES,,1,0,16,17
POTTAWATOMIE,PROPOSITION NO. 5 CITY OF OKLAHOMA CITY,,AGAINST THE PROPOSITION - NO,,3,1,6,10
POTTAWATOMIE,PROPOSITION NO. 6 CITY OF OKLAHOMA CITY,,FOR THE PROPOSITION - YES,,2,0,15,17
POTTAWATOMIE,PROPOSITION NO. 6 CITY OF OKLAHOMA CITY,,AGAINST THE PROPOSITION - NO,,2,1,5,8
POTTAWATOMIE,PROPOSITION NO. 7 CITY OF OKLAHOMA CITY,,FOR THE PROPOSITION - YES,,1,0,13,14
POTTAWATOMIE,PROPOSITION NO. 7 CITY OF OKLAHOMA CITY,,AGAINST THE PROPOSITION - NO,,3,1,7,11
POTTAWATOMIE,PROPOSITION NO. 8 CITY OF OKLAHOMA CITY,,FOR THE PROPOSITION - YES,,1,0,12,13
POTTAWATOMIE,PROPOSITION NO. 8 CITY OF OKLAHOMA CITY,,AGAINST THE PROPOSITION - NO,,3,1,9,13
POTTAWATOMIE,PROPOSITION NO. 9 CITY OF OKLAHOMA CITY,,FOR THE PROPOSITION - YES,,3,0,17,20
POTTAWATOMIE,PROPOSITION NO. 9 CITY OF OKLAHOMA CITY,,AGAINST THE PROPOSITION - NO,,1,1,4,6
POTTAWATOMIE,FOR COUNCILMAN WARD THREE CITY OF TECUMSEH,,RYAN WIGINTON,,173,95,653,921
POTTAWATOMIE,FOR COUNCILMAN WARD THREE CITY OF TECUMSEH,,DON BRADLEY,,164,109,786,1059
PUSHMATAHA,President,,DONALD J. TRUMP | MICHAEL R. PENCE,REP,163,796,3057,4016
PUSHMATAHA,President,,JO JORGENSEN | JEREMY SPIKE COHEN,LIB,1,6,26,33
PUSHMATAHA,President,,JOSEPH R. BIDEN | KAMALA D. HARRIS,DEM,92,181,395,668
