county,precinct,office,district,party,candidate,votes
Davis,BO12:I-S-,President,,Republican,DONALD J. TRUMP,228
Davis,BO13:I-S-,President,,Democrat,JULIÁN CASTRO,0
Davis,BO13:I-S-,President,,Democrat,ANDREW YANG,1
Davis,BO13:I-S-,President,,Democrat,CORY BOOKER,0
Davis,BO13:I-S-,President,,Democrat,PETE BUTTIGIEG,5
Davis,BO13:I-S-,President,,Democrat,NATHAN BLOXHAM,0
Davis,BO13:I-S-,President,,Democrat,MICHAEL R. BLOOMBERG,10
Davis,BO13:I-S-,President,,Democrat,JOSEPH R. BIDEN,21
Davis,BO13:I-S-,President,,Democrat,BERNIE SANDERS,44
Davis,BO13:I-S-,President,,Democrat,TOM STEYER,0
Davis,BO13:I-S-,President,,Democrat,ELIZABETH WARREN,15
Davis,BO13:I-S-,President,,Democrat,MARIANNE WILLIAMSON,0
Davis,BO13:I-S-,President,,Democrat,TULSI GABBARD,2
Davis,BO13:I-S-,President,,Democrat,AMY KLOBUCHAR,2
Davis,BO13:I-S-,President,,Democrat,DEVAL PATRICK,0
Davis,BO13:I-S-,President,,Democrat,ROQUE DE LA FUENTE,0
Davis,BO13:I-S-,President,,Republican,ROBERT ARDINI,2
Davis,BO13:I-S-,President,,Republican,MATTHEW JOHN MATERN,10
Davis,BO13:I-S-,President,,Republican,BOB ELY,2
Davis,BO13:I-S-,President,,Republican,JOE WALSH,5
Davis,BO13:I-S-,President,,Republican,BILL WELD,10
Davis,BO13:I-S-,President,,Republican,DONALD J. TRUMP,117
Davis,BO14:I-S-,President,,Democrat,JULIÁN CASTRO,0
Davis,BO14:I-S-,President,,Democrat,ANDREW YANG,0
Davis,BO14:I-S-,President,,Democrat,CORY BOOKER,0
Davis,BO14:I-S-,President,,Democrat,PETE BUTTIGIEG,11
Davis,BO14:I-S-,President,,Democrat,NATHAN BLOXHAM,0
Davis,BO14:I-S-,President,,Democrat,MICHAEL R. BLOOMBERG,13
Davis,BO14:I-S-,President,,Democrat,JOSEPH R. BIDEN,12
Davis,BO14:I-S-,President,,Democrat,BERNIE SANDERS,25
Davis,BO14:I-S-,President,,Democrat,TOM STEYER,0
Davis,BO14:I-S-,President,,Democrat,ELIZABETH WARREN,22
Davis,BO14:I-S-,President,,Democrat,MARIANNE WILLIAMSON,0
Davis,BO14:I-S-,President,,Democrat,TULSI GABBARD,0
Davis,BO14:I-S-,President,,Democrat,AMY KLOBUCHAR,3
Davis,BO14:I-S-,President,,Democrat,DEVAL PATRICK,0
Davis,BO14:I-S-,President,,Democrat,ROQUE DE LA FUENTE,0
Davis,BO14:I-S-,President,,Republican,ROBERT ARDINI,3
Davis,BO14:I-S-,President,,Republican,MATTHEW JOHN MATERN,3
Davis,BO14:I-S-,President,,Republican,BOB ELY,2
Davis,BO14:I-S-,President,,Republican,JOE WALSH,8
Davis,BO14:I-S-,President,,Republican,BILL WELD,8
Davis,BO14:I-S-,President,,Republican,DONALD J. TRUMP,82
