county,precinct,office,district,party,candidate,votes
Millard,Holden 8,President,,Democrat,TOM STEYER,0
Millard,Holden 8,President,,Democrat,ELIZABETH WARREN,1
Millard,Holden 8,President,,Democrat,MARIANNE WILLIAMSON,0
Millard,Kanosh 4,President,,Democrat,JULIÁN CASTRO,0
Millard,Kanosh 4,President,,Democrat,ANDREW YANG,0
Millard,Kanosh 4,President,,Democrat,CORY BOOKER,0
Millard,Kanosh 4,President,,Democrat,PETE BUTTIGIEG,0
Millard,Kanosh 4,President,,Democrat,NATHAN BLOXHAM,0
Millard,Kanosh 4,President,,Democrat,MICHAEL R. BLOOMBERG,5
Millard,Kanosh 4,President,,Democrat,Withdrawn,0
Millard,Kanosh 4,President,,Democrat,JOSEPH R. BIDEN,4
Millard,Kanosh 4,President,,Democrat,BERNIE SANDERS,5
Millard,Kanosh 4,President,,Democrat,TOM STEYER,0
Millard,Kanosh 4,President,,Democrat,ELIZABETH WARREN,3
Millard,Kanosh 4,President,,Democrat,MARIANNE WILLIAMSON,0
Millard,Leamington,President,,Democrat,JULIÁN CASTRO,0
Millard,Leamington,President,,Democrat,ANDREW YANG,0
Millard,Leamington,President,,Democrat,CORY BOOKER,0
Millard,Leamington,President,,Democrat,PETE BUTTIGIEG,2
Millard,Leamington,President,,Democrat,NATHAN BLOXHAM,0
Millard,Leamington,President,,Democrat,MICHAEL R. BLOOMBERG,3
Millard,Leamington,President,,Democrat,Withdrawn,0
Millard,Leamington,President,,Democrat,JOSEPH R. BIDEN,3
Millard,Leamington,President,,Democrat,BERNIE SANDERS,2
Millard,Leamington,President,,Democrat,TOM STEYER,0
Millard,Leamington,President,,Democrat,ELIZABETH WARREN,0
Millard,Leamington,President,,Democrat,MARIANNE WILLIAMSON,0
Millard,Lynndyl 19,President,,Democrat,JULIÁN CASTRO,0
Millard,Lynndyl 19,President,,Democrat,ANDREW YANG,0
Millard,Lynndyl 19,President,,Democrat,CORY BOOKER,0
Millard,Lynndyl 19,President,,Democrat,PETE BUTTIGIEG,0
Millard,Lynndyl 19,President,,Democrat,NATHAN BLOXHAM,0
Millard,Lynndyl 19,President,,Democrat,MICHAEL R. BLOOMBERG,0
Millard,Lynndyl 19,President,,Democrat,Withdrawn,0
Millard,Lynndyl 19,President,,Democrat,JOSEPH R. BIDEN,1
Millard,Lynndyl 19,President,,Democrat,BERNIE SANDERS,1
Millard,Lynndyl 19,President,,Democrat,TOM STEYER,0
Millard,Lynndyl 19,President,,Democrat,ELIZABETH WARREN,0
Millard,Lynndyl 19,President,,Democrat,MARIANNE WILLIAMSON,0
Millard,Meadow 3,President,,Democrat,JULIÁN CASTRO,0
Millard,Meadow 3,President,,Democrat,ANDREW YANG,0
Millard,Meadow 3,President,,Democrat,CORY BOOKER,0
Millard,Meadow 3,President,,Democrat,PETE BUTTIGIEG,0
Millard,Meadow 3,President,,Democrat,NATHAN BLOXHAM,0
