county,precinct,office,district,party,candidate,votes
Box Elder,BC14,President,,Democrat,NATHAN BLOXHAM,0
Box Elder,BC14,President,,Democrat,MICHAEL R. BLOOMBERG,14
Box Elder,BC14,President,,Democrat,(MICHAEL BENNETT) WITHDRAWN,0
Box Elder,BC14,President,,Democrat,JOSEPH R. BIDEN,10
Box Elder,BC14,President,,Democrat,BERNIE SANDERS,15
Box Elder,BC14,President,,Democrat,TOM STEYER,0
Box Elder,BC14,President,,Democrat,ELIZABETH WARREN,7
Box Elder,BC14,President,,Democrat,MARIANNE WILLIAMSON,0
Box Elder,BC14,President,,Democrat,TULSI GABBARD,0
Box Elder,BC14,President,,Democrat,AMY KLOBUCHAR,4
Box Elder,BC14,President,,Democrat,DEVAL PATRICK,0
Box Elder,BC14,President,,Democrat,ROQUE DE LA FUENTE,0
Box Elder,BC14,President,,Republican,ROBERT ARDINI,1
Box Elder,BC14,President,,Republican,MATTHEW JOHN MATERN,6
Box Elder,BC14,President,,Republican,BOB ELY,1
Box Elder,BC14,President,,Republican,JOE WALSH,10
Box Elder,BC14,President,,Republican,BILL WELD,8
Box Elder,BC14,President,,Republican,"(ROQUE ""ROCKY"" DE LA FUENTE) WITHDRAWN",3
Box Elder,BC14,President,,Republican,DONALD J. TRUMP,151
Box Elder,BC15,President,,Democrat,JULIÁN CASTRO,0
Box Elder,BC15,President,,Democrat,ANDREW YANG,0
Box Elder,BC15,President,,Democrat,CORY BOOKER,0
Box Elder,BC15,President,,Democrat,PETE BUTTIGIEG,2
Box Elder,BC15,President,,Democrat,NATHAN BLOXHAM,0
Box Elder,BC15,President,,Democrat,MICHAEL R. BLOOMBERG,11
Box Elder,BC15,President,,Democrat,(MICHAEL BENNETT) WITHDRAWN,0
Box Elder,BC15,President,,Democrat,JOSEPH R. BIDEN,9
Box Elder,BC15,President,,Democrat,BERNIE SANDERS,13
Box Elder,BC15,President,,Democrat,TOM STEYER,1
Box Elder,BC15,President,,Democrat,ELIZABETH WARREN,8
Box Elder,BC15,President,,Democrat,MARIANNE WILLIAMSON,0
Box Elder,BC15,President,,Democrat,TULSI GABBARD,0
Box Elder,BC15,President,,Democrat,AMY KLOBUCHAR,2
Box Elder,BC15,President,,Democrat,DEVAL PATRICK,0
Box Elder,BC15,President,,Democrat,ROQUE DE LA FUENTE,0
Box Elder,BC15,President,,Republican,ROBERT ARDINI,3
Box Elder,BC15,President,,Republican,MATTHEW JOHN MATERN,3
Box Elder,BC15,President,,Republican,BOB ELY,0
