county,precinct,office,district,party,candidate,votes
Utah,AF06:UN,President,,Republican,MATTHEW JOHN MATERN,0
Utah,AF06:UN,President,,Republican,BOB ELY,0
Utah,AF06:UN,President,,Republican,JOE WALSH,0
Utah,AF06:UN,President,,Republican,BILL WELD,0
Utah,AF06:UN,President,,Republican,UNDERVOTE (CANDIDATE WITHDREW)11,0
Utah,AF06:UN,President,,Republican,DONALD J. TRUMP,0
Utah,AF06S,President,,Democrat,JULIÁN CASTRO,0
Utah,AF06S,President,,Democrat,ANDREW YANG,0
Utah,AF06S,President,,Democrat,CORY BOOKER,0
Utah,AF06S,President,,Democrat,PETE BUTTIGIEG,6
Utah,AF06S,President,,Democrat,NATHAN BLOXHAM,0
Utah,AF06S,President,,Democrat,MICHAEL R. BLOOMBERG,2
Utah,AF06S,President,,Democrat,UNDERVOTE (CANDIDATE WITHDREW),0
Utah,AF06S,President,,Democrat,JOSEPH R. BIDEN,8
Utah,AF06S,President,,Democrat,BERNIE SANDERS,7
Utah,AF06S,President,,Democrat,TOM STEYER,0
Utah,AF06S,President,,Democrat,ELIZABETH WARREN,3
Utah,AF06S,President,,Democrat,MARIANNE WILLIAMSON,0
Utah,AF06S,President,,Democrat,TULSI GABBARD,2
Utah,AF06S,President,,Democrat,AMY KLOBUCHAR,0
Utah,AF06S,President,,Democrat,DEVAL PATRICK,0
Utah,AF06S,President,,Democrat,ROQUE DE LA FUENTE,0
Utah,AF06S,President,,Republican,ROBERT ARDINI,1
Utah,AF06S,President,,Republican,MATTHEW JOHN MATERN,1
Utah,AF06S,President,,Republican,BOB ELY,0
Utah,AF06S,President,,Republican,JOE WALSH,0
Utah,AF06S,President,,Republican,BILL WELD,6
Utah,AF06S,President,,Republican,UNDERVOTE (CANDIDATE WITHDREW)11,1
Utah,AF06S,President,,Republican,DONALD J. TRUMP,37
Utah,AF07,President,,Democrat,JULIÁN CASTRO,0
Utah,AF07,President,,Democrat,ANDREW YANG,1
Utah,AF07,President,,Democrat,CORY BOOKER,0
Utah,AF07,President,,Democrat,PETE BUTTIGIEG,6
Utah,AF07,President,,Democrat,NATHAN BLOXHAM,0
Utah,AF07,President,,Democrat,MICHAEL R. BLOOMBERG,16
Utah,AF07,President,,Democrat,UNDERVOTE (CANDIDATE WITHDREW),0
Utah,AF07,President,,Democrat,JOSEPH R. BIDEN,30
Utah,AF07,President,,Democrat,BERNIE SANDERS,48
Utah,AF07,President,,Democrat,TOM STEYER,0
