county,precinct,office,district,party,candidate,votes
San Juan,6,President,,Democrat,MICHAEL BENNET (WITHDRAWN),0
San Juan,6BD,President,,Democrat,MICHAEL BENNET (WITHDRAWN),0
San Juan,7BD,President,,Democrat,MICHAEL BENNET (WITHDRAWN),0
San Juan,7BD2,President,,Democrat,MICHAEL BENNET (WITHDRAWN),0
San Juan,8,President,,Democrat,MICHAEL BENNET (WITHDRAWN),0
San Juan,8BD,President,,Democrat,MICHAEL BENNET (WITHDRAWN),0
San Juan,8BF,President,,Democrat,MICHAEL BENNET (WITHDRAWN),0
San Juan,9,President,,Democrat,MICHAEL BENNET (WITHDRAWN),0
San Juan,10,President,,Democrat,MICHAEL BENNET (WITHDRAWN),0
San Juan,10BF,President,,Democrat,MICHAEL BENNET (WITHDRAWN),0
San Juan,11,President,,Democrat,MICHAEL BENNET (WITHDRAWN),0
San Juan,11BF,President,,Democrat,MICHAEL BENNET (WITHDRAWN),0
San Juan,12BD,President,,Democrat,MICHAEL BENNET (WITHDRAWN),0
San Juan,12,President,,Democrat,MICHAEL BENNET (WITHDRAWN),0
San Juan,1,President,,Democrat,JOSEPH R. BIDEN,7
San Juan,2GD,President,,Democrat,JOSEPH R. BIDEN,0
San Juan,2,President,,Democrat,JOSEPH R. BIDEN,10
San Juan,2MC,President,,Democrat,JOSEPH R. BIDEN,25
San Juan,3,President,,Democrat,JOSEPH R. BIDEN,60
San Juan,4,President,,Democrat,JOSEPH R. BIDEN,0
San Juan,4BD,President,,Democrat,JOSEPH R. BIDEN,0
San Juan,5,President,,Democrat,JOSEPH R. BIDEN,0
San Juan,5BD,President,,Democrat,JOSEPH R. BIDEN,2
San Juan,6,President,,Democrat,JOSEPH R. BIDEN,0
San Juan,6BD,President,,Democrat,JOSEPH R. BIDEN,0
San Juan,7BD,President,,Democrat,JOSEPH R. BIDEN,3
San Juan,7BD2,President,,Democrat,JOSEPH R. BIDEN,0
San Juan,8,President,,Democrat,JOSEPH R. BIDEN,25
San Juan,8BD,President,,Democrat,JOSEPH R. BIDEN,0
San Juan,8BF,President,,Democrat,JOSEPH R. BIDEN,0
San Juan,9,President,,Democrat,JOSEPH R. BIDEN,1
San Juan,10,President,,Democrat,JOSEPH R. BIDEN,7
San Juan,10BF,President,,Democrat,JOSEPH R. BIDEN,13
San Juan,11,President,,Democrat,JOSEPH R. BIDEN,52
San Juan,11BF,President,,Democrat,JOSEPH R. BIDEN,0
San Juan,12BD,President,,Democrat,JOSEPH R. BIDEN,2
San Juan,12,President,,Democrat,JOSEPH R. BIDEN,3
San Juan,1,President,,Democrat,BERNIE SANDERS,14
San Juan,2GD,President,,Democrat,BERNIE SANDERS,0
San Juan,2,President,,Democrat,BERNIE SANDERS,15
San Juan,2MC,President,,Democrat,BERNIE SANDERS,15
San Juan,3,President,,Democrat,BERNIE SANDERS,135
San Juan,4,President,,Democrat,BERNIE SANDERS,1
San Juan,4BD,President,,Democrat,BERNIE SANDERS,0
San Juan,5,President,,Democrat,BERNIE SANDERS,0
San Juan,5BD,President,,Democrat,BERNIE SANDERS,9
San Juan,6,President,,Democrat,BERNIE SANDERS,2
San Juan,6BD,President,,Democrat,BERNIE SANDERS,0
San Juan,7BD,President,,Democrat,BERNIE SANDERS,4
San Juan,7BD2,President,,Democrat,BERNIE SANDERS,0
San Juan,8,President,,Democrat,BERNIE SANDERS,72
San Juan,8BD,President,,Democrat,BERNIE SANDERS,0
San Juan,8BF,President,,Democrat,BERNIE SANDERS,0
San Juan,9,President,,Democrat,BERNIE SANDERS,3
San Juan,10,President,,Democrat,BERNIE SANDERS,21
San Juan,10BF,President,,Democrat,BERNIE SANDERS,29
San Juan,11,President,,Democrat,BERNIE SANDERS,162
San Juan,11BF,President,,Democrat,BERNIE SANDERS,0
San Juan,12BD,President,,Democrat,BERNIE SANDERS,13
San Juan,12,President,,Democrat,BERNIE SANDERS,0
San Juan,1,President,,Democrat,TOM STEYER,1
San Juan,2GD,President,,Democrat,TOM STEYER,0
San Juan,2,President,,Democrat,TOM STEYER,0
San Juan,2MC,President,,Democrat,TOM STEYER,0
San Juan,3,President,,Democrat,TOM STEYER,1
San Juan,4,President,,Democrat,TOM STEYER,0
San Juan,4BD,President,,Democrat,TOM STEYER,0
San Juan,5,President,,Democrat,TOM STEYER,0
San Juan,5BD,President,,Democrat,TOM STEYER,0
San Juan,6,President,,Democrat,TOM STEYER,1
San Juan,6BD,President,,Democrat,TOM STEYER,0
San Juan,7BD,President,,Democrat,TOM STEYER,0
San Juan,7BD2,President,,Democrat,TOM STEYER,0
San Juan,8,President,,Democrat,TOM STEYER,5
San Juan,8BD,President,,Democrat,TOM STEYER,0
San Juan,8BF,President,,Democrat,TOM STEYER,0
San Juan,9,President,,Democrat,TOM STEYER,0
San Juan,10,President,,Democrat,TOM STEYER,0
San Juan,10BF,President,,Democrat,TOM STEYER,0
San Juan,11,President,,Democrat,TOM STEYER,3
San Juan,11BF,President,,Democrat,TOM STEYER,0
San Juan,12BD,President,,Democrat,TOM STEYER,0
San Juan,12,President,,Democrat,TOM STEYER,0
San Juan,1,President,,Democrat,ELIZABETH WARREN,8
San Juan,2GD,President,,Democrat,ELIZABETH WARREN,0
San Juan,2,President,,Democrat,ELIZABETH WARREN,18
San Juan,2MC,President,,Democrat,ELIZABETH WARREN,5
San Juan,3,President,,Democrat,ELIZABETH WARREN,20
San Juan,4,President,,Democrat,ELIZABETH WARREN,0
San Juan,4BD,President,,Democrat,ELIZABETH WARREN,0
San Juan,5,President,,Democrat,ELIZABETH WARREN,0
San Juan,5BD,President,,Democrat,ELIZABETH WARREN,0
San Juan,6,President,,Democrat,ELIZABETH WARREN,0
San Juan,6BD,President,,Democrat,ELIZABETH WARREN,0
San Juan,7BD,President,,Democrat,ELIZABETH WARREN,2
San Juan,7BD2,President,,Democrat,ELIZABETH WARREN,0
San Juan,8,President,,Democrat,ELIZABETH WARREN,6
San Juan,8BD,President,,Democrat,ELIZABETH WARREN,0
San Juan,8BF,President,,Democrat,ELIZABETH WARREN,0
San Juan,9,President,,Democrat,ELIZABETH WARREN,0
San Juan,10,President,,Democrat,ELIZABETH WARREN,2
San Juan,10BF,President,,Democrat,ELIZABETH WARREN,14
San Juan,11,President,,Democrat,ELIZABETH WARREN,28
San Juan,11BF,President,,Democrat,ELIZABETH WARREN,0
San Juan,12BD,President,,Democrat,ELIZABETH WARREN,4
San Juan,12,President,,Democrat,ELIZABETH WARREN,0
San Juan,1,President,,Democrat,MARIANNE WILLIAMSON,0
San Juan,2GD,President,,Democrat,MARIANNE WILLIAMSON,0
San Juan,2,President,,Democrat,MARIANNE WILLIAMSON,0
San Juan,2MC,President,,Democrat,MARIANNE WILLIAMSON,0
San Juan,3,President,,Democrat,MARIANNE WILLIAMSON,1
San Juan,4,President,,Democrat,MARIANNE WILLIAMSON,0
San Juan,4BD,President,,Democrat,MARIANNE WILLIAMSON,0
San Juan,5,President,,Democrat,MARIANNE WILLIAMSON,0
San Juan,5BD,President,,Democrat,MARIANNE WILLIAMSON,0
San Juan,6,President,,Democrat,MARIANNE WILLIAMSON,0
San Juan,6BD,President,,Democrat,MARIANNE WILLIAMSON,0
San Juan,7BD,President,,Democrat,MARIANNE WILLIAMSON,0
San Juan,7BD2,President,,Democrat,MARIANNE WILLIAMSON,0
San Juan,8,President,,Democrat,MARIANNE WILLIAMSON,0
San Juan,8BD,President,,Democrat,MARIANNE WILLIAMSON,0
San Juan,8BF,President,,Democrat,MARIANNE WILLIAMSON,0
San Juan,9,President,,Democrat,MARIANNE WILLIAMSON,0
San Juan,10,President,,Democrat,MARIANNE WILLIAMSON,0
San Juan,10BF,President,,Democrat,MARIANNE WILLIAMSON,0
San Juan,11,President,,Democrat,MARIANNE WILLIAMSON,3
San Juan,11BF,President,,Democrat,MARIANNE WILLIAMSON,0
San Juan,12BD,President,,Democrat,MARIANNE WILLIAMSON,0
San Juan,12,President,,Democrat,MARIANNE WILLIAMSON,0
San Juan,1,President,,Democrat,TULSI GABBARD,0
San Juan,2GD,President,,Democrat,TULSI GABBARD,0
San Juan,2,President,,Democrat,TULSI GABBARD,0
San Juan,2MC,President,,Democrat,TULSI GABBARD,0
San Juan,3,President,,Democrat,TULSI GABBARD,1
San Juan,4,President,,Democrat,TULSI GABBARD,0
San Juan,4BD,President,,Democrat,TULSI GABBARD,0
San Juan,5,President,,Democrat,TULSI GABBARD,0
San Juan,5BD,President,,Democrat,TULSI GABBARD,1
San Juan,6,President,,Democrat,TULSI GABBARD,0
San Juan,6BD,President,,Democrat,TULSI GABBARD,0
San Juan,7BD,President,,Democrat,TULSI GABBARD,0
San Juan,7BD2,President,,Democrat,TULSI GABBARD,0
San Juan,8,President,,Democrat,TULSI GABBARD,0
San Juan,8BD,President,,Democrat,TULSI GABBARD,0
