county,office,district,party,precinct,candidate,votes
Weber,President,,Republican,OGD006,JOE WALSH,2
Weber,President,,Republican,OGD006,BILL WELD,4
Weber,President,,Republican,OGD006,DONALD J. TRUMP,88
Weber,President,,Republican,OGD007,ROBERT ARDINI,2
Weber,President,,Republican,OGD007,MATTHEW JOHN MATERN,4
Weber,President,,Republican,OGD007,BOB ELY,0
Weber,President,,Republican,OGD007,JOE WALSH,3
Weber,President,,Republican,OGD007,BILL WELD,2
Weber,President,,Republican,OGD007,DONALD J. TRUMP,62
Weber,President,,Republican,OGD008,ROBERT ARDINI,0
Weber,President,,Republican,OGD008,MATTHEW JOHN MATERN,4
Weber,President,,Republican,OGD008,BOB ELY,1
Weber,President,,Republican,OGD008,JOE WALSH,1
Weber,President,,Republican,OGD008,BILL WELD,4
Weber,President,,Republican,OGD008,DONALD J. TRUMP,99
Weber,President,,Republican,OGD009,ROBERT ARDINI,2
Weber,President,,Republican,OGD009,MATTHEW JOHN MATERN,5
Weber,President,,Republican,OGD009,BOB ELY,1
Weber,President,,Republican,OGD009,JOE WALSH,2
Weber,President,,Republican,OGD009,BILL WELD,7
Weber,President,,Republican,OGD009,DONALD J. TRUMP,116
Weber,President,,Republican,OGD010,ROBERT ARDINI,1
Weber,President,,Republican,OGD010,MATTHEW JOHN MATERN,1
Weber,President,,Republican,OGD010,BOB ELY,0
Weber,President,,Republican,OGD010,JOE WALSH,2
Weber,President,,Republican,OGD010,BILL WELD,2
Weber,President,,Republican,OGD010,DONALD J. TRUMP,105
Weber,President,,Republican,OGD011,ROBERT ARDINI,2
Weber,President,,Republican,OGD011,MATTHEW JOHN MATERN,1
Weber,President,,Republican,OGD011,BOB ELY,1
Weber,President,,Republican,OGD011,JOE WALSH,7
Weber,President,,Republican,OGD011,BILL WELD,17
Weber,President,,Republican,OGD011,DONALD J. TRUMP,87
Weber,President,,Republican,OGD012,ROBERT ARDINI,0
Weber,President,,Republican,OGD012,MATTHEW JOHN MATERN,5
Weber,President,,Republican,OGD012,BOB ELY,0
Weber,President,,Republican,OGD012,JOE WALSH,4
Weber,President,,Republican,OGD012,BILL WELD,2
Weber,President,,Republican,OGD012,DONALD J. TRUMP,85
Weber,President,,Republican,OGD013,ROBERT ARDINI,1
Weber,President,,Republican,OGD013,MATTHEW JOHN MATERN,1
Weber,President,,Republican,OGD013,BOB ELY,3
Weber,President,,Republican,OGD013,JOE WALSH,8
Weber,President,,Republican,OGD013,BILL WELD,8
Weber,President,,Republican,OGD013,DONALD J. TRUMP,90
Weber,President,,Republican,OGD014,ROBERT ARDINI,2
Weber,President,,Republican,OGD014,MATTHEW JOHN MATERN,2
Weber,President,,Republican,OGD014,BOB ELY,1
Weber,President,,Republican,OGD014,JOE WALSH,4
Weber,President,,Republican,OGD014,BILL WELD,5
Weber,President,,Republican,OGD014,DONALD J. TRUMP,146
Weber,President,,Republican,OGD015,ROBERT ARDINI,0
Weber,President,,Republican,OGD015,MATTHEW JOHN MATERN,1
Weber,President,,Republican,OGD015,BOB ELY,0
Weber,President,,Republican,OGD015,JOE WALSH,3
Weber,President,,Republican,OGD015,BILL WELD,7
Weber,President,,Republican,OGD015,DONALD J. TRUMP,68
Weber,President,,Republican,OGD016,ROBERT ARDINI,1
Weber,President,,Republican,OGD016,MATTHEW JOHN MATERN,0
Weber,President,,Republican,OGD016,BOB ELY,1
Weber,President,,Republican,OGD016,JOE WALSH,1
Weber,President,,Republican,OGD016,BILL WELD,2
Weber,President,,Republican,OGD016,DONALD J. TRUMP,51
Weber,President,,Republican,OGD017,ROBERT ARDINI,1
Weber,President,,Republican,OGD017,MATTHEW JOHN MATERN,4
Weber,President,,Republican,OGD017,BOB ELY,0
Weber,President,,Republican,OGD017,JOE WALSH,1
Weber,President,,Republican,OGD017,BILL WELD,1
Weber,President,,Republican,OGD017,DONALD J. TRUMP,80
Weber,President,,Republican,OGD018,ROBERT ARDINI,2
Weber,President,,Republican,OGD018,MATTHEW JOHN MATERN,4
Weber,President,,Republican,OGD018,BOB ELY,0
Weber,President,,Republican,OGD018,JOE WALSH,4
Weber,President,,Republican,OGD018,BILL WELD,4
Weber,President,,Republican,OGD018,DONALD J. TRUMP,136
Weber,President,,Republican,OGD019,ROBERT ARDINI,0
Weber,President,,Republican,OGD019,MATTHEW JOHN MATERN,0
Weber,President,,Republican,OGD019,BOB ELY,0
Weber,President,,Republican,OGD019,JOE WALSH,0
Weber,President,,Republican,OGD019,BILL WELD,0
Weber,President,,Republican,OGD019,DONALD J. TRUMP,27
Weber,President,,Republican,OGD020,ROBERT ARDINI,0
Weber,President,,Republican,OGD020,MATTHEW JOHN MATERN,1
Weber,President,,Republican,OGD020,BOB ELY,0
Weber,President,,Republican,OGD020,JOE WALSH,1
Weber,President,,Republican,OGD020,BILL WELD,2
Weber,President,,Republican,OGD020,DONALD J. TRUMP,26
Weber,President,,Republican,OGD021,ROBERT ARDINI,1
Weber,President,,Republican,OGD021,MATTHEW JOHN MATERN,3
Weber,President,,Republican,OGD021,BOB ELY,0
Weber,President,,Republican,OGD021,JOE WALSH,7
Weber,President,,Republican,OGD021,BILL WELD,6
Weber,President,,Republican,OGD021,DONALD J. TRUMP,66
Weber,President,,Republican,OGD022,ROBERT ARDINI,0
Weber,President,,Republican,OGD022,MATTHEW JOHN MATERN,1
Weber,President,,Republican,OGD022,BOB ELY,0
Weber,President,,Republican,OGD022,JOE WALSH,0
Weber,President,,Republican,OGD022,BILL WELD,2
Weber,President,,Republican,OGD022,DONALD J. TRUMP,69
Weber,President,,Republican,OGD023,ROBERT ARDINI,6
Weber,President,,Republican,OGD023,MATTHEW JOHN MATERN,7
Weber,President,,Republican,OGD023,BOB ELY,3
Weber,President,,Republican,OGD023,JOE WALSH,3
Weber,President,,Republican,OGD023,BILL WELD,11
Weber,President,,Republican,OGD023,DONALD J. TRUMP,102
Weber,President,,Republican,OGD024,ROBERT ARDINI,2
