county,pri_dem_BIDEN,pri_dem_CLINTON,pri_dem_DODD,pri_dem_EDWARDS,pri_dem_GRAVEL,pri_dem_KUCINICH,pri_dem_OBAMA,pri_dem_RICHARDSON,pri_rep_GIULIANI,pri_rep_HUCKABEE,pri_rep_HUNTER,pri_rep_KEYES,pri_rep_MCCAIN,pri_rep_PAUL,pri_rep_ROMNEY,pri_rep_TANCREDO,pri_rep_THOMPSON,gen_dem_OBAMA,gen_rep_MCCAIN,gen_wri_ALLEN,gen_wri_BALDWIN,gen_wri_BARR,gen_wri_BROWN,gen_wri_BYRNE,gen_wri_HARRIS,gen_wri_MCKINNEY,gen_wri_MOORE,gen_wri_NADER,gen_wri_PEROUTKA,rep_primary_total,dem_primary_total,rep_general_total,dem_general_total,wri_general_total
Clinch,0,208,2,21,0,2,214,2,3,219,1,0,201,10,69,0,2,989,1678,0,0,29,0,0,0,0,0,0,0,505,449,1678,989,29
Cobb,109,23761,32,1017,67,108,55695,75,698,25258,61,104,26280,2684,33622,26,223,141216,170957,0,127,2966,0,1,2,26,1,142,6,88956,80864,170957,141216,3271
Coffee,17,1048,4,84,5,9,1283,7,28,1251,2,3,924,59,598,1,14,4811,8872,0,2,57,0,0,0,0,0,5,0,2880,2457,8872,4811,64
Colquitt,24,1241,6,146,3,7,1204,20,32,1379,4,7,1597,137,875,0,27,4139,9185,0,3,105,0,0,0,1,0,2,0,4058,2651,9185,4139,111
Columbia,14,3568,8,174,12,12,5402,15,121,5686,8,26,6426,565,6122,3,72,15703,39322,0,12,298,0,0,0,1,0,15,0,19029,9205,39322,15703,326
Cook,10,500,2,52,1,5,616,5,12,530,1,1,472,22,280,0,12,2075,3782,0,0,46,0,0,0,0,0,0,0,1330,1191,3782,2075,46
Coweta,29,3621,13,219,6,23,5456,28,129,6641,14,30,5102,361,5571,6,64,15521,37571,0,22,410,0,0,0,1,0,24,0,17918,9395,37571,15521,457
Crawford,4,538,2,29,2,2,705,5,2,601,0,0,391,36,250,0,5,1832,3358,0,3,46,0,0,0,0,0,1,0,1285,1287,3358,1832,50
Crisp,3,563,1,38,2,4,956,7,13,523,2,3,747,19,378,1,12,3085,4424,0,2,36,0,0,0,0,2,1,0,1698,1574,4424,3085,41
Dade,3,916,0,45,3,2,227,6,9,907,2,7,517,106,252,0,13,1612,4703,0,0,93,0,0,0,0,0,0,0,1813,1202,4703,1612,93
Dawson,5,735,3,61,0,4,439,0,21,1465,1,7,1112,53,1276,0,17,1632,8242,0,4,93,0,0,0,0,0,3,0,3952,1247,8242,1632,100
Decatur,22,805,5,75,5,14,1468,14,17,743,2,7,974,68,434,0,3,4424,5890,0,1,56,0,0,0,0,0,3,0,2248,2408,5890,4424,60
Dekalb,182,34098,44,940,90,248,113278,114,348,7725,29,50,13214,1544,13558,11,102,254594,65581,0,53,1895,0,0,4,56,0,117,1,36581,148994,65581,254594,2126
Dodge,5,804,4,52,3,9,746,15,14,889,3,3,568,36,359,1,6,2595,5543,0,0,70,0,0,0,1,0,3,0,1879,1638,5543,2595,74
Dooly,14,338,3,23,2,10,797,6,8,264,1,1,316,26,165,0,1,2138,1991,0,2,29,0,0,0,0,0,0,0,782,1193,1991,2138,31
Dougherty,53,3327,16,243,10,23,11247,25,64,1572,8,9,2763,141,1562,4,31,26135,12547,0,5,150,0,0,0,3,0,6,0,6154,14944,12547,26135,164
