county,precinct,office,district,party,candidate,absentee,early_votes,election_day,votes
County of Hawaii,01-03,Molokai Resident Trustee,,,"ALAPA, Luana",0,8,226,234
County of Hawaii,01-03,Molokai Resident Trustee,,,"MACHADO, Colette (Piipii)",0,2,226,228
County of Hawaii,01-03,At-Large Trustee,,,"AKINA, Keli'i",0,5,260,265
County of Hawaii,01-03,At-Large Trustee,,,"SOUZA, Keoni",0,6,266,272
County of Hawaii,01-03,"Mayor, County of Hawaii",,,"MARZO, Ikaika",0,11,342,353
County of Hawaii,01-03,"Mayor, County of Hawaii",,,"ROTH, Mitch",0,11,440,451
County of Hawaii,01-03,Councilmember,"1, County of Hawaii",,"KIMBALL, Heather L.",0,11,471,482
County of Hawaii,01-03,Councilmember,"1, County of Hawaii",,"YAGONG, Dominic",0,7,278,285
County of Hawaii,01-03,"HAWAI'I: Technical, Linguistic, & Grammatical Revisions of the Charter",,,YES,0,14,529,543
County of Hawaii,01-03,"HAWAI'I: Technical, Linguistic, & Grammatical Revisions of the Charter",,,NO,0,5,167,172
County of Hawaii,01-03,HAWAI'I: Council Meeting Locations,,,YES,0,15,586,601
County of Hawaii,01-03,HAWAI'I: Council Meeting Locations,,,NO,0,4,138,142
County of Hawaii,01-03,HAWAI'I: Department of Research & Development,,,YES,0,12,577,589
County of Hawaii,01-03,HAWAI'I: Department of Research & Development,,,NO,0,5,123,128
County of Hawaii,01-03,HAWAI'I: Authority of Police & Fire Commissions,,,YES,0,15,575,590
County of Hawaii,01-03,HAWAI'I: Authority of Police & Fire Commissions,,,NO,0,5,140,145
County of Hawaii,01-03,HAWAI'I: Terms of Council Members,,,YES,0,9,344,353
County of Hawaii,01-03,HAWAI'I: Terms of Council Members,,,NO,0,11,383,394
County of Hawaii,01-03,"HAWAI'I: Public Access, Open Space, & Natural Resources Preservation Fund",,,YES,0,14,417,431
County of Hawaii,01-03,"HAWAI'I: Public Access, Open Space, & Natural Resources Preservation Fund",,,NO,0,6,287,293
County of Hawaii,01-03,HAWAI'I: Discipline of Council Members,,,YES,0,18,638,656
County of Hawaii,01-03,HAWAI'I: Discipline of Council Members,,,NO,0,1,80,81
County of Hawaii,01-03,HAWAI'I: Department of Information Technology,,,YES,0,8,323,331
County of Hawaii,01-03,HAWAI'I: Department of Information Technology,,,NO,0,8,363,371
County of Hawaii,01-03,HAWAI'I: Establishment of a Disaster & Emergency Fund,,,YES,0,13,379,392
County of Hawaii,01-03,HAWAI'I: Establishment of a Disaster & Emergency Fund,,,NO,0,5,322,327
County of Hawaii,01-03,"HAWAI'I: Public Access, Open Space, & Natural Resources Preservation Maintenance Fund",,,YES,0,9,356,365
County of Hawaii,01-03,"HAWAI'I: Public Access, Open Space, & Natural Resources Preservation Maintenance Fund",,,NO,0,9,335,344
County of Hawaii,01-03,HAWAI'I: Mandatory Charter Reviews,,,YES,0,15,544,559
County of Hawaii,01-03,HAWAI'I: Mandatory Charter Reviews,,,NO,0,3,136,139
County of Hawaii,01-03,HAWAI'I: Corporation Counsel,,,YES,0,13,559,572
County of Hawaii,01-03,HAWAI'I: Corporation Counsel,,,NO,0,4,134,138
County of Hawaii,01-03,HAWAI'I: Hawai'i Fire Department,,,YES,0,13,490,503
County of Hawaii,01-03,HAWAI'I: Hawai'i Fire Department,,,NO,0,4,193,197
County of Hawaii,01-03,HAWAI'I: Membership on Boards & Commissions,,,YES,0,10,383,393
County of Hawaii,01-03,HAWAI'I: Membership on Boards & Commissions,,,NO,0,7,301,308
County of Hawaii,01-03,HAWAI'I: Capital Budget & Capital Programs,,,YES,0,14,554,568
County of Hawaii,01-03,HAWAI'I: Capital Budget & Capital Programs,,,NO,0,4,127,131
County of Hawaii,01-03,HAWAI'I: Board of Ethics,,,YES,0,12,553,565
County of Hawaii,01-03,HAWAI'I: Board of Ethics,,,NO,0,5,145,150
County of Hawaii,01-04,President and Vice President,,C,Don Blankenship,0,0,0,0
County of Hawaii,01-04,President and Vice President,,D,Joseph R. Biden,0,8,178,186
County of Hawaii,01-04,President and Vice President,,G,Howie Hawkins,0,0,3,3
County of Hawaii,01-04,President and Vice President,,L,Jo Jorgensen,0,0,4,4
