town,ward,precinct,office,district,party,candidate,votes
Randolph,,10,President,,Democratic,Amy Klobuchar,5
Winchester,,1,President,,Democratic,Andrew Yang,2
Phillipston,,1,President,,Democratic,Tom Steyer,5
Chicopee,6,AN,President,,Republican,William F. Weld,2
Brookfield,,1,President,,Libertarian,Vermin Love Supreme,1
Arlington,,15,President,,Green-Rainbow,Skcm Curry,0
Newburyport,2,1,President,,Libertarian,Vermin Love Supreme,0
Newburyport,1,1,President,,Libertarian,Blanks,0
Stoughton,,7,President,,Libertarian,Total Votes Cast,0
Boston,21,6,President,,Democratic,Marianne Williamson,1
Athol,,2,President,,Democratic,Blanks,0
Chicopee,3,A,President,,Republican,Roque De La Fuente,0
Middleborough,,6,President,,Green-Rainbow,Total Votes Cast,0
Marblehead,,6,President,,Libertarian,All Others,1
Burlington,,6,President,,Democratic,Cory Booker,1
Georgetown,,1,President,,Libertarian,Adam Kokesh,0
Boston,1,8,President,,Democratic,Elizabeth A. Warren,100
Revere,4,2,President,,Democratic,Elizabeth A. Warren,39
Boston,13,4,President,,Democratic,Michael Bennet,1
Bellingham,,5,President,,Libertarian,Jo Jorgensen,1
Boston,19,7,President,,Democratic,Deval Patrick,2
Quincy,6,3,President,,Democratic,Blanks,5
Springfield,3,B,President,,Libertarian,Jacob George Hornberger,0
Savoy,,1,President,,Green-Rainbow,Dario Hunter,0
Boston,4,3,President,,Green-Rainbow,Howard Hawkins,0
Waltham,1,2,President,,Republican,Total Votes Cast,186
Greenfield,,1,President,,Democratic,Michael Bennet,1
Littleton,,1,President,,Democratic,Blanks,0
Rutland,,2,President,,Libertarian,Vermin Love Supreme,0
Amherst,,3,President,,Green-Rainbow,Dario Hunter,0
Ashland,,3,President,,Democratic,Pete Buttigieg,28
Chicopee,6,AS,President,,Democratic,Amy Klobuchar,3
Westhampton,,1,President,,Republican,All Others,1
Newbury,,1,President,,Democratic,Julian Castro,0
Foxborough,,5,President,,Republican,Donald J. Trump,213
Quincy,1,1,President,,Green-Rainbow,Total Votes Cast,0
Shrewsbury,,5,President,,Green-Rainbow,Dario Hunter,0
Medway,,1,President,,Democratic,Total Votes Cast,671
Brookline,,3,President,,Libertarian,Adam Kokesh,0
Rochester,,1,President,,Green-Rainbow,David Rolde,0
Worcester,7,5,President,,Republican,William F. Weld,8
Boston,6,5,President,,Republican,William F. Weld,5
Methuen,,7,President,,Libertarian,Jacob George Hornberger,0
Boston,19,2,President,,Green-Rainbow,Howard Hawkins,0
Bridgewater,,2,President,,Democratic,Total Votes Cast,725
Boston,9,3,President,,Republican,Joe Walsh,2
Boston,18,1,President,,Libertarian,All Others,0
Lynn,5,2,President,,Libertarian,Jacob George Hornberger,0
Wakefield,,7,President,,Green-Rainbow,No Preference,0
Lynn,6,4,President,,Green-Rainbow,Dario Hunter,0
Marblehead,,5,President,,Republican,No Preference,1
Boston,18,23,President,,Libertarian,Total Votes Cast,1
W. Bridgewater,,1,President,,Green-Rainbow,All Others,0
Cambridge,7,1,President,,Democratic,Pete Buttigieg,16
Bourne,,6,President,,Green-Rainbow,David Rolde,0
Newburyport,5,1,President,,Democratic,Deval Patrick,3
Gloucester,3,2,President,,Democratic,Tulsi Gabbard,2
Melrose,2,1,President,,Democratic,Bernie Sanders,125
Abington,,5,President,,Libertarian,Max Abramson,0
Cambridge,5,3,President,,Libertarian,All Others,1
Watertown,,12,President,,Libertarian,Kenneth Reed Armstrong,0
Boston,20,5,President,,Democratic,Blanks,2
Bridgewater,,1,President,,Libertarian,Kimberly Margaret Ruff,0
Brockton,4,D,President,,Green-Rainbow,Howard Hawkins,0
Dover,,1,President,,Democratic,Tulsi Gabbard,11
Grafton,,4,President,,Democratic,Total Votes Cast,640
Boston,18,3,President,,Democratic,"Joseph R. Biden, Jr.",255
Lawrence,A,3,President,,Democratic,Tom Steyer,0
Wilbraham,,C,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Chicopee,3,B,President,,Libertarian,Jo Jorgensen,0
Harwich,,2,President,,Democratic,John K. Delaney,1
Bedford,,2,President,,Libertarian,Blanks,0
Chicopee,3,A,President,,Green-Rainbow,Total Votes Cast,0
Springfield,1,C,President,,Democratic,John K. Delaney,0
Norton,,2,President,,Libertarian,Blanks,0
Southborough,,3,President,,Democratic,All Others,1
Cambridge,8,1,President,,Democratic,Blanks,1
Randolph,,9,President,,Green-Rainbow,Kent Mesplay,0
Lynn,4,1,President,,Democratic,John K. Delaney,1
Millbury,,2,President,,Republican,No Preference,1
Newton,3,4,President,,Democratic,Deval Patrick,5
Chelsea,4,2,President,,Libertarian,Arvin Vohra,0
Milford,,7,President,,Republican,All Others,0
Somerville,2,1,President,,Democratic,Deval Patrick,4
Bedford,,1,President,,Republican,No Preference,0
Natick,,3,President,,Democratic,Pete Buttigieg,24
Stoughton,,5,President,,Democratic,All Others,0
Haverhill,3,1,President,,Democratic,Michael R. Bloomberg,23
Springfield,1,D,President,,Republican,No Preference,0
Amherst,,6,President,,Libertarian,Jo Jorgensen,1
Southbridge,,4,President,,Republican,Blanks,2
Boston,22,1,President,,Democratic,Julian Castro,0
Boston,6,4,President,,Green-Rainbow,No Preference,0
Plymouth,,10,President,,Democratic,Elizabeth A. Warren,71
Lynn,5,1,President,,Democratic,Total Votes Cast,463
Springfield,5,G,President,,Democratic,Blanks,0
Boston,17,10,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Pittsfield,4,A,President,,Libertarian,Adam Kokesh,0
Boston,1,11,President,,Green-Rainbow,David Rolde,0
Duxbury,,1,President,,Green-Rainbow,David Rolde,0
Revere,1,2,President,,Green-Rainbow,Dario Hunter,0
Natick,,3,President,,Republican,Blanks,2
Southbridge,,4,President,,Libertarian,Total Votes Cast,3
Seekonk,,3,President,,Libertarian,Jo Jorgensen,0
Malden,8,1,President,,Green-Rainbow,Dario Hunter,0
Springfield,6,C,President,,Libertarian,All Others,0
Newburyport,1,1,President,,Libertarian,Adam Kokesh,0
Greenfield,,6,President,,Democratic,All Others,0
Boston,13,9,President,,Democratic,No Preference,0
Webster,,2,President,,Democratic,"Joseph R. Biden, Jr.",79
Boston,1,15,President,,Libertarian,Vermin Love Supreme,0
Plymouth,,6,President,,Republican,Blanks,5
Boston,16,4,President,,Republican,William F. Weld,1
Springfield,3,F,President,,Libertarian,Jacob George Hornberger,0
Melrose,1,2,President,,Libertarian,Max Abramson,0
W. Springfield,,8,President,,Republican,Roque De La Fuente,0
Milford,,8,President,,Democratic,No Preference,1
Worcester,2,2,President,,Green-Rainbow,Skcm Curry,0
Chelsea,3,4,President,,Democratic,Marianne Williamson,0
Springfield,8,B,President,,Democratic,"Joseph R. Biden, Jr.",132
Boston,4,4,President,,Democratic,Blanks,1
Medway,,4,President,,Democratic,Julian Castro,0
Boston,12,9,President,,Democratic,All Others,1
Easton,,5,President,,Democratic,No Preference,4
Northborough,,1,President,,Green-Rainbow,No Preference,0
Randolph,,4,President,,Democratic,Deval Patrick,6
Wilmington,,2,President,,Democratic,Julian Castro,1
Cambridge,6,3,President,,Republican,Joe Walsh,0
Auburn,,5,President,,Libertarian,Kimberly Margaret Ruff,2
Brockton,7,D,President,,Democratic,All Others,1
Boston,18,9,President,,Green-Rainbow,No Preference,0
Fall River,7,B,President,,Libertarian,No Preference,0
Weymouth,,8,President,,Green-Rainbow,Dario Hunter,0
New Marlborough,,1,President,,Democratic,Deval Patrick,2
Becket,,1,President,,Democratic,Amy Klobuchar,2
Ayer,,2,President,,Democratic,"Joseph R. Biden, Jr.",294
Everett,1,2,President,,Democratic,No Preference,7
Lynn,3,4,President,,Republican,All Others,1
Boston,18,5,President,,Libertarian,No Preference,0
Chelmsford,,2,President,,Libertarian,Arvin Vohra,0
Holyoke,4,A,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Walpole,,7,President,,Green-Rainbow,Kent Mesplay,0
Sutton,,3,President,,Republican,William F. Weld,12
Arlington,,10,President,,Democratic,Michael Bennet,0
Boston,9,4,President,,Democratic,Deval Patrick,8
Williamstown,,3,President,,Libertarian,Adam Kokesh,0
Lunenburg,,C,President,,Democratic,Total Votes Cast,590
Waltham,1,2,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Acton,,6,President,,Libertarian,Vermin Love Supreme,1
Barnstable,,3,President,,Green-Rainbow,No Preference,0
Southwick,,2,President,,Democratic,Blanks,3
Westport,,C,President,,Democratic,"Joseph R. Biden, Jr.",200
Montague,,2,President,,Libertarian,No Preference,0
Cambridge,2,2,President,,Green-Rainbow,All Others,0
Brookline,,13,President,,Libertarian,Kenneth Reed Armstrong,0
Webster,,4,President,,Democratic,Michael Bennet,0
Westfield,1,A,President,,Democratic,Pete Buttigieg,14
Holliston,,3,President,,Republican,Roque De La Fuente,0
Lynn,1,2,President,,Green-Rainbow,No Preference,0
Agawam,,8,President,,Green-Rainbow,Dario Hunter,1
Lawrence,F,4,President,,Democratic,Total Votes Cast,306
Norton,,2,President,,Libertarian,Adam Kokesh,0
Canton,,4,President,,Democratic,All Others,1
Falmouth,,8,President,,Green-Rainbow,Skcm Curry,0
Lawrence,B,4,President,,Democratic,Tulsi Gabbard,0
Raynham,,2A,President,,Democratic,Tulsi Gabbard,1
Southbridge,,3,President,,Libertarian,Blanks,0
Stoughton,,7,President,,Libertarian,Max Abramson,0
Taunton,4,B,President,,Libertarian,Vermin Love Supreme,0
Boston,15,8,President,,Libertarian,Kimberly Margaret Ruff,0
Salem,2,1,President,,Libertarian,Jacob George Hornberger,1
Boston,1,4,President,,Republican,Roque De La Fuente,0
Billerica,,8,President,,Democratic,Amy Klobuchar,8
Reading,,7,President,,Democratic,Cory Booker,0
Cambridge,8,1,President,,Republican,Joe Walsh,1
Boston,7,7,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Beverly,6,2,President,,Green-Rainbow,Blanks,0
Plymouth,,11,President,,Green-Rainbow,All Others,0
Arlington,,20,President,,Republican,Blanks,0
Revere,6,2,President,,Libertarian,Vermin Love Supreme,0
Athol,,1,President,,Green-Rainbow,Howard Hawkins,1
Boston,12,8,President,,Democratic,No Preference,1
Lowell,5,1,President,,Democratic,Bernie Sanders,164
Middleborough,,4,President,,Democratic,Pete Buttigieg,7
Arlington,,8,President,,Green-Rainbow,Blanks,0
Westport,,A,President,,Democratic,Deval Patrick,2
Lynn,6,2,President,,Libertarian,All Others,0
Boston,16,2,President,,Green-Rainbow,Blanks,0
Somerville,5,3,President,,Democratic,Julian Castro,0
Somerville,5,3,President,,Libertarian,Kenneth Reed Armstrong,0
Revere,3,3,President,,Democratic,John K. Delaney,0
Taunton,4,A,President,,Libertarian,Arvin Vohra,0
Attleboro,2,B,President,,Democratic,Michael R. Bloomberg,58
Cummington,,1,President,,Republican,William F. Weld,6
Boston,22,8,President,,Democratic,Bernie Sanders,155
Somerville,1,3,President,,Green-Rainbow,Dario Hunter,0
Fitchburg,1,A,President,,Libertarian,Max Abramson,0
Franklin,,5,President,,Republican,No Preference,5
Boston,18,5,President,,Libertarian,Kimberly Margaret Ruff,0
Chicopee,4,A,President,,Libertarian,Kenneth Reed Armstrong,0
Wilmington,,5,President,,Libertarian,Samuel Joseph Robb,0
Brockton,7,C,President,,Green-Rainbow,Total Votes Cast,0
Boston,2,2,President,,Libertarian,Adam Kokesh,0
Boston,1,10,President,,Libertarian,Total Votes Cast,1
Lexington,,3,President,,Democratic,Pete Buttigieg,25
Fairhaven,,4,President,,Republican,Blanks,0
Lincoln,,1,President,,Republican,Roque De La Fuente,1
Palmer,,3,President,,Democratic,Total Votes Cast,395
Holyoke,4,A,President,,Democratic,Tulsi Gabbard,2
Holliston,,3,President,,Green-Rainbow,Total Votes Cast,0
Haverhill,3,1,President,,Democratic,Michael Bennet,1
Dartmouth,,8,President,,Republican,Roque De La Fuente,0
Southbridge,,1,President,,Republican,William F. Weld,6
Weymouth,,9,President,,Libertarian,Kimberly Margaret Ruff,0
Montague,,2,President,,Libertarian,Kimberly Margaret Ruff,0
Raynham,,2A,President,,Democratic,John K. Delaney,0
Winchester,,8,President,,Libertarian,Kimberly Margaret Ruff,0
Springfield,7,B,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Peabody,5,1,President,,Libertarian,Vermin Love Supreme,0
Norwood,,5,President,,Democratic,Andrew Yang,0
E. Bridgewater,,2,President,,Democratic,Michael R. Bloomberg,73
Brookline,,5,President,,Libertarian,All Others,0
Dighton,,2,President,,Libertarian,Arvin Vohra,0
Athol,,1,President,,Libertarian,Total Votes Cast,0
Sturbridge,,2,President,,Green-Rainbow,Howard Hawkins,0
Shutesbury,,1,President,,Green-Rainbow,Kent Mesplay,0
Monterey,,1,President,,Libertarian,Jacob George Hornberger,0
Worcester,5,3,President,,Democratic,Andrew Yang,1
Haverhill,4,1,President,,Democratic,Deval Patrick,2
Boston,20,20,President,,Green-Rainbow,David Rolde,0
Stoughton,,2,President,,Libertarian,Jacob George Hornberger,0
Mansfield,,3,President,,Democratic,Bernie Sanders,223
Dartmouth,,3,President,,Democratic,Tom Steyer,0
Boston,5,4,President,,Republican,William F. Weld,20
Agawam,,8,President,,Libertarian,Kenneth Reed Armstrong,0
Cambridge,5,3,President,,Libertarian,Kimberly Margaret Ruff,0
Boston,13,8,President,,Green-Rainbow,Howard Hawkins,1
Quincy,6,2,President,,Democratic,No Preference,3
Brookline,,12,President,,Green-Rainbow,Skcm Curry,0
Quincy,6,5,President,,Libertarian,Vermin Love Supreme,0
Cambridge,9,1,President,,Democratic,Blanks,0
Southbridge,,5,President,,Democratic,Marianne Williamson,0
Milton,,5,President,,Democratic,Andrew Yang,1
Burlington,,2,President,,Democratic,Tom Steyer,2
Malden,5,2,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Lexington,,3,President,,Libertarian,Samuel Joseph Robb,0
Boston,13,6,President,,Democratic,"Joseph R. Biden, Jr.",125
Framingham,,15,President,,Democratic,All Others,0
Cambridge,9,1,President,,Libertarian,Jo Jorgensen,0
Worcester,1,4,President,,Libertarian,Kenneth Reed Armstrong,0
Attleboro,2,B,President,,Libertarian,Kenneth Reed Armstrong,0
Williamstown,,2,President,,Libertarian,All Others,0
Boston,18,13,President,,Democratic,Michael R. Bloomberg,12
Lenox,,1,President,,Democratic,All Others,2
Monson,,C,President,,Libertarian,Samuel Joseph Robb,0
Brockton,6,A,President,,Green-Rainbow,Total Votes Cast,0
New Bedford,4,B,President,,Democratic,Bernie Sanders,114
Boston,7,9,President,,Democratic,Elizabeth A. Warren,117
Northbridge,,2,President,,Democratic,Tom Steyer,1
N. Andover,,8,President,,Republican,All Others,0
Weymouth,,6,President,,Libertarian,Kimberly Margaret Ruff,0
Springfield,2,A,President,,Libertarian,Arvin Vohra,0
Worcester,8,3,President,,Democratic,Tulsi Gabbard,0
Lawrence,D,2,President,,Libertarian,Adam Kokesh,0
Lexington,,9,President,,Libertarian,No Preference,0
Quincy,1,2,President,,Libertarian,Total Votes Cast,3
Easthampton,,1,President,,Libertarian,Arvin Vohra,0
N. Reading,,1,President,,Democratic,Michael R. Bloomberg,148
Fall River,8,C,President,,Republican,Blanks,3
New Bedford,5,B,President,,Republican,No Preference,0
Hawley,,1,President,,Democratic,Tom Steyer,0
Winchendon,,3,President,,Democratic,All Others,2
Winthrop,,2,President,,Democratic,Total Votes Cast,653
Arlington,,17,President,,Democratic,Michael Bennet,1
Danvers,,1,President,,Libertarian,Kimberly Margaret Ruff,1
Haverhill,4,1,President,,Democratic,Tulsi Gabbard,9
Norton,,1,President,,Democratic,Bernie Sanders,200
Charlton,,1,President,,Libertarian,Adam Kokesh,0
Hingham,,4,President,,Libertarian,Blanks,0
Sturbridge,,3,President,,Green-Rainbow,Total Votes Cast,6
Lynn,7,4,President,,Green-Rainbow,All Others,0
Norton,,2,President,,Democratic,Deval Patrick,2
Boston,4,8,President,,Democratic,Michael Bennet,1
Arlington,,3,President,,Democratic,Marianne Williamson,0
Arlington,,5,President,,Democratic,Pete Buttigieg,12
Boston,6,9,President,,Libertarian,No Preference,0
Leicester,,3,President,,Democratic,Michael Bennet,0
Rowe,,1,President,,Libertarian,Max Abramson,0
Amherst,,4,President,,Democratic,John K. Delaney,1
Worcester,5,3,President,,Green-Rainbow,David Rolde,0
Holyoke,5,A,President,,Green-Rainbow,Skcm Curry,0
Milford,,7,President,,Libertarian,Max Abramson,0
Boston,3,1,President,,Republican,Donald J. Trump,87
Brockton,2,D,President,,Libertarian,Samuel Joseph Robb,0
Boston,14,9,President,,Libertarian,Adam Kokesh,0
Holden,,3,President,,Democratic,"Joseph R. Biden, Jr.",302
Winthrop,,4,President,,Green-Rainbow,David Rolde,0
Boston,20,8,President,,Democratic,John K. Delaney,0
Dracut,,2,President,,Green-Rainbow,David Rolde,0
Newburyport,1,P,President,,Green-Rainbow,Total Votes Cast,1
Worcester,4,5,President,,Democratic,"Joseph R. Biden, Jr.",181
Charlton,,1,President,,Democratic,Blanks,0
Watertown,,11,President,,Green-Rainbow,Skcm Curry,0
Natick,,10,President,,Republican,Total Votes Cast,163
Haverhill,1,1,President,,Libertarian,All Others,1
Holden,,5,President,,Green-Rainbow,David Rolde,0
Springfield,8,A,President,,Green-Rainbow,Dario Hunter,0
Bellingham,,4,President,,Libertarian,Kenneth Reed Armstrong,0
Boston,21,8,President,,Libertarian,All Others,0
Salem,7,1,President,,Democratic,Tom Steyer,3
Boston,14,1,President,,Democratic,All Others,0
Gloucester,4,2,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Bedford,,1,President,,Republican,All Others,1
Hanover,,2,President,,Libertarian,Samuel Joseph Robb,0
Springfield,7,D,President,,Democratic,Michael Bennet,0
W. Boylston,,1,President,,Green-Rainbow,No Preference,0
Reading,,1,President,,Democratic,Marianne Williamson,1
Watertown,,12,President,,Democratic,"Joseph R. Biden, Jr.",217
Littleton,,2,President,,Democratic,Pete Buttigieg,21
Lowell,5,3,President,,Democratic,All Others,1
Leominster,1,A,President,,Libertarian,All Others,1
Quincy,1,1,President,,Republican,Roque De La Fuente,0
Lawrence,F,4,President,,Green-Rainbow,Howard Hawkins,0
Brookline,,5,President,,Democratic,All Others,0
Bellingham,,4A,President,,Democratic,"Joseph R. Biden, Jr.",32
Peabody,5,2,President,,Democratic,Tulsi Gabbard,10
Brockton,4,D,President,,Libertarian,Blanks,0
Boston,22,10,President,,Green-Rainbow,Total Votes Cast,3
Norfolk,,2,President,,Libertarian,Total Votes Cast,3
Framingham,,2,President,,Green-Rainbow,All Others,2
Sudbury,,1A,President,,Democratic,Marianne Williamson,0
Marlborough,1,1,President,,Republican,Blanks,8
Reading,,4,President,,Democratic,All Others,1
Waltham,8,1,President,,Democratic,Marianne Williamson,0
Boston,6,9,President,,Libertarian,Kimberly Margaret Ruff,0
Malden,5,2,President,,Democratic,Marianne Williamson,1
Oxford,,1,President,,Democratic,Marianne Williamson,1
Brookline,,15,President,,Libertarian,Vermin Love Supreme,0
Chicopee,5,B,President,,Green-Rainbow,No Preference,0
Montague,,3,President,,Republican,Roque De La Fuente,0
Boston,21,9,President,,Democratic,Pete Buttigieg,5
Fall River,7,A,President,,Green-Rainbow,Howard Hawkins,0
Holyoke,3,A,President,,Democratic,Michael R. Bloomberg,47
Scituate,,2,President,,Democratic,John K. Delaney,1
Cambridge,3,1,President,,Democratic,Tulsi Gabbard,5
Quincy,2,4,President,,Libertarian,Blanks,0
Malden,8,2,President,,Republican,William F. Weld,4
Weymouth,,14,President,,Green-Rainbow,Skcm Curry,0
Douglas,,2,President,,Republican,All Others,0
Hinsdale,,1,President,,Democratic,Cory Booker,0
Westborough,,5,President,,Democratic,Cory Booker,1
Weymouth,,3,President,,Libertarian,Blanks,0
Leominster,1,C,President,,Republican,All Others,2
Westborough,,1,President,,Republican,No Preference,2
Boston,7,1,President,,Green-Rainbow,Kent Mesplay,0
Gloucester,3,1,President,,Libertarian,Jacob George Hornberger,0
Lynn,1,1,President,,Democratic,Elizabeth A. Warren,99
Quincy,6,1,President,,Republican,Total Votes Cast,103
Plymouth,,9,President,,Green-Rainbow,Dario Hunter,0
Lynn,7,2,President,,Democratic,No Preference,2
Leominster,1,A,President,,Republican,Joe Walsh,2
Rehoboth,,2,President,,Green-Rainbow,Blanks,0
Hanson,,1,President,,Republican,Donald J. Trump,285
Revere,2,2,President,,Green-Rainbow,Howard Hawkins,0
Boston,2,4,President,,Democratic,Total Votes Cast,571
Wilmington,,3,President,,Republican,Donald J. Trump,238
Reading,,5,President,,Green-Rainbow,Skcm Curry,0
Westford,,6,President,,Green-Rainbow,Total Votes Cast,0
Revere,1,1,President,,Libertarian,Jo Jorgensen,0
Boston,21,2,President,,Democratic,John K. Delaney,0
Greenfield,,7,President,,Libertarian,Vermin Love Supreme,0
Medford,4,2,President,,Green-Rainbow,Total Votes Cast,30
Seekonk,,1,President,,Green-Rainbow,Dario Hunter,0
Manchester-by-the-Sea,,1,President,,Democratic,Pete Buttigieg,66
Leicester,,2,President,,Democratic,Total Votes Cast,407
Rockland,,4,President,,Green-Rainbow,Skcm Curry,0
Barnstable,,6,President,,Republican,Joe Walsh,0
Cambridge,6,3,President,,Libertarian,Total Votes Cast,2
N. Reading,,1,President,,Republican,Blanks,1
Springfield,7,B,President,,Libertarian,Kimberly Margaret Ruff,0
Boston,8,7,President,,Green-Rainbow,Skcm Curry,0
Richmond,,1,President,,Democratic,Total Votes Cast,501
Boston,6,5,President,,Libertarian,Vermin Love Supreme,0
Brockton,6,A,President,,Republican,Donald J. Trump,42
Revere,6,2,President,,Republican,No Preference,0
Boston,7,3,President,,Libertarian,No Preference,1
Northampton,4,B,President,,Libertarian,Vermin Love Supreme,0
Boston,9,2,President,,Libertarian,Blanks,0
Westborough,,3,President,,Democratic,Tom Steyer,3
Worcester,8,5,President,,Republican,Donald J. Trump,51
Wareham,,3,President,,Green-Rainbow,All Others,0
Fall River,4,C,President,,Republican,Blanks,1
Somerville,3,1,President,,Democratic,John K. Delaney,0
Boston,19,9,President,,Libertarian,Blanks,0
Boston,18,18,President,,Republican,Donald J. Trump,49
Boston,14,7,President,,Republican,Donald J. Trump,0
Falmouth,,1,President,,Green-Rainbow,Howard Hawkins,0
S. Hadley,,D,President,,Republican,Blanks,0
Boston,10,8,President,,Republican,Donald J. Trump,11
Malden,5,2,President,,Libertarian,Kimberly Margaret Ruff,0
Falmouth,,9,President,,Democratic,"Joseph R. Biden, Jr.",346
Lee,,1,President,,Democratic,Total Votes Cast,1280
Whitman,,3,President,,Democratic,Deval Patrick,9
Boston,5,6,President,,Green-Rainbow,Blanks,0
Springfield,2,G,President,,Green-Rainbow,Blanks,0
Dalton,,2,President,,Republican,Total Votes Cast,82
Melrose,4,2,President,,Republican,No Preference,5
Chelsea,4,3,President,,Democratic,Elizabeth A. Warren,55
Concord,,5,President,,Green-Rainbow,David Rolde,0
Easton,,1,President,,Democratic,Bernie Sanders,104
Franklin,,5,President,,Republican,All Others,6
Revere,4,2,President,,Green-Rainbow,Total Votes Cast,0
Newton,4,2,President,,Democratic,Julian Castro,0
Sutton,,2,President,,Democratic,Blanks,0
Southwick,,3,President,,Republican,Donald J. Trump,181
Mashpee,,3,President,,Green-Rainbow,No Preference,0
Millbury,,4,President,,Republican,Donald J. Trump,138
Boston,12,3,President,,Republican,Donald J. Trump,1
Springfield,7,A,President,,Democratic,Michael Bennet,0
Boston,4,8,President,,Democratic,"Joseph R. Biden, Jr.",78
Falmouth,,3,President,,Democratic,Cory Booker,0
Chelmsford,,6,President,,Green-Rainbow,David Rolde,0
Chelmsford,,5,President,,Libertarian,Jacob George Hornberger,0
Dudley,,2,President,,Libertarian,Samuel Joseph Robb,0
Dartmouth,,8,President,,Democratic,Andrew Yang,1
Springfield,4,H,President,,Green-Rainbow,No Preference,0
Clinton,,3,President,,Democratic,John K. Delaney,1
New Bedford,2,F,President,,Republican,Donald J. Trump,59
Salem,7,1,President,,Democratic,Deval Patrick,1
Cambridge,11,2,President,,Libertarian,Blanks,0
Medford,4,2,President,,Democratic,Michael Bennet,0
Wilbraham,,D,President,,Democratic,Michael Bennet,0
Belmont,,1,President,,Democratic,Marianne Williamson,0
Plympton,,1,President,,Green-Rainbow,All Others,0
Southbridge,,4,President,,Democratic,Julian Castro,0
Tewksbury,,2A,President,,Green-Rainbow,Blanks,0
Boston,7,1,President,,Democratic,John K. Delaney,0
Westborough,,1,President,,Democratic,Marianne Williamson,0
Blackstone,,1,President,,Libertarian,No Preference,1
Fall River,4,A,President,,Libertarian,Samuel Joseph Robb,0
Walpole,,6,President,,Republican,Donald J. Trump,213
Burlington,,5,President,,Democratic,Tulsi Gabbard,10
New Bedford,2,C,President,,Green-Rainbow,Howard Hawkins,0
Fall River,2,B,President,,Republican,All Others,0
Hopkinton,,4,President,,Libertarian,All Others,1
Andover,,2,President,,Democratic,Blanks,1
Holliston,,4,President,,Libertarian,Max Abramson,0
Cambridge,4,1,President,,Libertarian,Jacob George Hornberger,1
Lawrence,E,4,President,,Democratic,No Preference,0
Marlborough,7,2,President,,Republican,Joe Walsh,3
Goshen,,1,President,,Green-Rainbow,Blanks,0
Worcester,3,4,President,,Libertarian,Vermin Love Supreme,0
Andover,,2,President,,Democratic,Amy Klobuchar,14
Barnstable,,10,President,,Libertarian,Total Votes Cast,2
Cambridge,7,3,President,,Democratic,Michael Bennet,0
Chelmsford,,1,President,,Libertarian,Max Abramson,0
Westfield,6,A,President,,Libertarian,Kenneth Reed Armstrong,0
Chelmsford,,9,President,,Libertarian,Max Abramson,0
Boston,21,1,President,,Libertarian,Max Abramson,0
Boston,3,5,President,,Democratic,Julian Castro,0
Tyngsborough,,3,President,,Libertarian,All Others,0
Southbridge,,5,President,,Libertarian,All Others,0
Medford,7,1,President,,Democratic,Amy Klobuchar,4
Stoneham,,7,President,,Libertarian,Jacob George Hornberger,0
Somerville,3,3,President,,Democratic,Bernie Sanders,630
Leicester,,1,President,,Libertarian,Blanks,0
Spencer,,4,President,,Democratic,Bernie Sanders,114
Raynham,,1,President,,Green-Rainbow,All Others,1
Reading,,8,President,,Green-Rainbow,Kent Mesplay,0
Attleboro,1,B,President,,Democratic,Tulsi Gabbard,3
Boston,9,2,President,,Libertarian,Adam Kokesh,0
Quincy,6,1,President,,Democratic,Tulsi Gabbard,10
Walpole,,3,President,,Democratic,All Others,2
Gloucester,4,2,President,,Libertarian,Kimberly Margaret Ruff,0
Palmer,,1A,President,,Libertarian,Samuel Joseph Robb,0
Leominster,1,A,President,,Libertarian,Kimberly Margaret Ruff,0
Brookline,,13,President,,Democratic,Julian Castro,0
Walpole,,7,President,,Republican,Joe Walsh,1
Boston,13,5,President,,Libertarian,Kenneth Reed Armstrong,0
Springfield,4,E,President,,Democratic,Bernie Sanders,59
Harwich,,4,President,,Democratic,Amy Klobuchar,13
Amherst,,3,President,,Green-Rainbow,Total Votes Cast,1
Boston,20,7,President,,Libertarian,Jacob George Hornberger,0
Boston,5,1,President,,Republican,Joe Walsh,3
Everett,3,2,President,,Republican,Roque De La Fuente,0
Montague,,1,President,,Green-Rainbow,Skcm Curry,0
Everett,3,1,President,,Democratic,Michael R. Bloomberg,68
Waltham,6,2,President,,Republican,Blanks,2
Taunton,8,A,President,,Democratic,Amy Klobuchar,4
Blackstone,,1,President,,Libertarian,Kimberly Margaret Ruff,1
Sterling,,1,President,,Libertarian,Jo Jorgensen,0
Worcester,9,4,President,,Green-Rainbow,All Others,0
Fairhaven,,4,President,,Democratic,Tom Steyer,0
Malden,5,2,President,,Democratic,Amy Klobuchar,6
Revere,2,1,President,,Libertarian,Samuel Joseph Robb,0
Beverly,5,1,President,,Republican,All Others,0
Dartmouth,,1,President,,Libertarian,Jo Jorgensen,0
Sandwich,,2,President,,Libertarian,Max Abramson,0
Groveland,,1,President,,Democratic,Deval Patrick,1
