town,ward,precinct,office,district,party,candidate,votes
Lawrence,D,4,President,,Democratic,Marianne Williamson,3
Leominster,1,B,President,,Democratic,Cory Booker,0
Boston,5,11,President,,Republican,William F. Weld,9
Salem,2,2,President,,Democratic,Pete Buttigieg,47
Shrewsbury,,5,President,,Green-Rainbow,All Others,0
Ashland,,4,President,,Democratic,Andrew Yang,2
Woburn,4,1,President,,Green-Rainbow,All Others,0
Millis,,2,President,,Green-Rainbow,Total Votes Cast,1
Shelburne,,1,President,,Green-Rainbow,Dario Hunter,0
Peabody,5,1,President,,Republican,Roque De La Fuente,1
Greenfield,,2,President,,Green-Rainbow,Kent Mesplay,0
Northampton,5,B,President,,Democratic,"Joseph R. Biden, Jr.",157
Lowell,10,2,President,,Libertarian,Samuel Joseph Robb,0
Boston,15,4,President,,Democratic,"Joseph R. Biden, Jr.",141
Peabody,3,2,President,,Democratic,Total Votes Cast,410
Millbury,,3,President,,Libertarian,No Preference,0
Greenfield,,6,President,,Libertarian,No Preference,0
Randolph,,5,President,,Democratic,Amy Klobuchar,8
Marshfield,,1,President,,Democratic,Bernie Sanders,200
Sturbridge,,1,President,,Libertarian,Arvin Vohra,0
Boston,1,9,President,,Libertarian,Arvin Vohra,0
Saugus,,7,President,,Democratic,Total Votes Cast,448
Braintree,,3B,President,,Republican,Total Votes Cast,207
Northampton,7,A,President,,Libertarian,Jo Jorgensen,0
Malden,5,1,President,,Republican,Joe Walsh,1
Revere,1,3,President,,Republican,Joe Walsh,0
Kingston,,3,President,,Democratic,Total Votes Cast,682
Dracut,,7,President,,Democratic,"Joseph R. Biden, Jr.",172
Gardner,3,B,President,,Republican,Blanks,0
Franklin,,8,President,,Republican,William F. Weld,25
Springfield,7,G,President,,Libertarian,Dan Taxation Is Theft Behrman,0
N. Reading,,1,President,,Democratic,Amy Klobuchar,7
Boston,16,8,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Attleboro,5,A,President,,Green-Rainbow,Dario Hunter,0
Boston,6,5,President,,Green-Rainbow,Total Votes Cast,0
Melrose,1,1,President,,Green-Rainbow,Total Votes Cast,1
Attleboro,2,B,President,,Democratic,Tulsi Gabbard,1
Framingham,,18,President,,Green-Rainbow,All Others,0
Melrose,3,1,President,,Democratic,Michael Bennet,0
New Bedford,1,E,President,,Libertarian,Blanks,0
Gloucester,2,2,President,,Democratic,Bernie Sanders,177
Everett,1,1,President,,Green-Rainbow,Blanks,0
Peabody,5,1,President,,Democratic,Cory Booker,0
Lawrence,C,4,President,,Libertarian,Kimberly Margaret Ruff,0
Amesbury,,4,President,,Democratic,Total Votes Cast,630
Burlington,,7,President,,Democratic,Blanks,0
Boston,18,10,President,,Democratic,Tulsi Gabbard,9
Pittsfield,2,A,President,,Republican,No Preference,1
Scituate,,6,President,,Republican,William F. Weld,16
Winchendon,,3,President,,Democratic,Deval Patrick,1
Lawrence,B,4,President,,Green-Rainbow,Howard Hawkins,0
Boston,2,2,President,,Green-Rainbow,David Rolde,0
Boston,11,8,President,,Green-Rainbow,David Rolde,0
Norwood,,3,President,,Democratic,Marianne Williamson,0
