county,town,office,district,party,candidate,votes
Bristol,Barrington,President,,Democratic,Barack Obama,6075
Bristol,Barrington,President,,Republican,John McCain,3666
Bristol,Barrington,President,,Independent,Ralph Nader,78
Bristol,Barrington,President,,Libertarian,Bob Barr,31
Bristol,Barrington,President,,Green,Cynthia McKinney,15
Bristol,Barrington,President,,Constitution,Chuck Baldwin,12
Bristol,Barrington,President,,Socialism and Liberation,Glora La Riva,1
Bristol,Barrington,U.S. Senate,,Democratic,John F. Reed,6627
Bristol,Barrington,U.S. Senate,,Republican,Robert G. Tingle,2816
Bristol,Barrington,U.S. Representative,1,Democratic,Patrick J. Kennedy,5610
Bristol,Barrington,U.S. Representative,1,Republican,Jonathan P. Scott,3169
Bristol,Barrington,U.S. Representative,1,Independent,Kenneth A. Capalbo,620
Bristol,Barrington,State Senate,32,Republican,David E. Bates,4843
Bristol,Barrington,State Senate,32,Democratic,Lawrence J. Signore,4400
Bristol,Barrington,State House,66,Democratic,Joy Hearn,3865
Bristol,Barrington,State House,66,Republican,Margaret E. Kane,3217
Bristol,Barrington,State House,67,Democratic,Jan Malik,1596
Bristol,Barrington,State Question 1,,,Approve,7684
Bristol,Barrington,State Question 1,,,Reject,1459
Bristol,Barrington,State Question 2,,,Approve,6767
Bristol,Barrington,State Question 2,,,Reject,2357
Bristol,Bristol,President,,Democratic,Barack Obama,6833
Bristol,Bristol,President,,Republican,John McCain,3834
Bristol,Bristol,President,,Independent,Ralph Nader,112
Bristol,Bristol,President,,Libertarian,Bob Barr,25
Bristol,Bristol,President,,Constitution,Chuck Baldwin,13
Bristol,Bristol,President,,Green,Cynthia McKinney,11
Bristol,Bristol,President,,Socialism and Liberation,Glora La Riva,5
Bristol,Bristol,U.S. Senate,,Democratic,John F. Reed,7272
Bristol,Bristol,U.S. Senate,,Republican,Robert G. Tingle,2638
Bristol,Bristol,U.S. Representative,1,Democratic,Patrick J. Kennedy,6694
Bristol,Bristol,U.S. Representative,1,Republican,Jonathan P. Scott,2597
Bristol,Bristol,U.S. Representative,1,Independent,Kenneth A. Capalbo,689
Bristol,Bristol,State Senate,10,Democratic,"Walter S. Felag, Jr.",1594
Bristol,Bristol,State Senate,11,Democratic,Charles J. Levesque,1789
Bristol,Bristol,State Senate,11,Republican,Christopher Scott Ottiano,1065
Bristol,Bristol,State Senate,11,Independent,John Stephen Vitkevich,349
Bristol,Bristol,State Senate,32,Democratic,Lawrence J. Signore,2247
Bristol,Bristol,State Senate,32,Republican,David E. Bates,2146
Bristol,Bristol,State House,68,Democratic,Douglas W. Gablinske,3427
Bristol,Bristol,State House,68,Independent,Matthew R. Pion,2354
Bristol,Bristol,State House,69,Democratic,"Raymond E. Gallison, Jr.",2838
Bristol,Bristol,State House,69,Republican,William L. Grapentine,1007
Bristol,Bristol,State Question 1,,,Approve,7735
Bristol,Bristol,State Question 1,,,Reject,1880
Bristol,Bristol,State Question 2,,,Approve,6779
Bristol,Bristol,State Question 2,,,Reject,2739
Providence,Burrillville,President,,Democratic,Barack Obama,3730
Providence,Burrillville,President,,Republican,John McCain,3160
Providence,Burrillville,President,,Independent,Ralph Nader,104
Providence,Burrillville,President,,Libertarian,Bob Barr,31
Providence,Burrillville,President,,Constitution,Chuck Baldwin,15
Providence,Burrillville,President,,Green,Cynthia McKinney,13
Providence,Burrillville,President,,Socialism and Liberation,Glora La Riva,2
Providence,Burrillville,U.S. Senate,,Democratic,John F. Reed,4744
Providence,Burrillville,U.S. Senate,,Republican,Robert G. Tingle,1942
Providence,Burrillville,U.S. Representative,1,Democratic,Patrick J. Kennedy,4276
Providence,Burrillville,U.S. Representative,1,Republican,Jonathan P. Scott,1906
Providence,Burrillville,U.S. Representative,1,Independent,Kenneth A. Capalbo,552
Providence,Burrillville,State Senate,23,Democratic,Paul W. Fogarty,3557
Providence,Burrillville,State Senate,23,Republican,Scott P. Rabideau,3101
Providence,Burrillville,State House,47,Democratic,Edwin R. Pacheco,4354
Providence,Burrillville,State House,48,Democratic,Raymond C. Church,531
Providence,Burrillville,State House,48,Republican,Brian C. Newberry,499
Providence,Burrillville,State House,48,Independent,Gary S. Ezovski,204
Providence,Burrillville,State Question 1,,,Approve,4521
Providence,Burrillville,State Question 1,,,Reject,1840
Providence,Burrillville,State Question 2,,,Approve,4133
Providence,Burrillville,State Question 2,,,Reject,2221
Providence,Central Falls,President,,Democratic,Barack Obama,3191
Providence,Central Falls,President,,Republican,John McCain,661
Providence,Central Falls,President,,Independent,Ralph Nader,28
Providence,Central Falls,President,,Libertarian,Bob Barr,6
Providence,Central Falls,President,,Green,Cynthia McKinney,4
Providence,Central Falls,President,,Constitution,Chuck Baldwin,3
Providence,Central Falls,President,,Socialism and Liberation,Glora La Riva,1
Providence,Central Falls,U.S. Senate,,Democratic,John F. Reed,2902
Providence,Central Falls,U.S. Senate,,Republican,Robert G. Tingle,385
Providence,Central Falls,U.S. Representative,1,Democratic,Patrick J. Kennedy,2912
Providence,Central Falls,U.S. Representative,1,Republican,Jonathan P. Scott,312
Providence,Central Falls,U.S. Representative,1,Independent,Kenneth A. Capalbo,127
Providence,Central Falls,State Senate,16,Democratic,Elizabeth A. Crowley,2885
Providence,Central Falls,State Senate,16,Republican,Albert Paul Larivee,419
Providence,Central Falls,State House,56,Democratic,Agostinho F. Silva,2065
Providence,Central Falls,State House,57,Democratic,Kenneth A. Vaudreuil,815
Providence,Central Falls,State House,57,Republican,Mark C. Chapin,130
Providence,Central Falls,State Question 1,,,Approve,1904
Providence,Central Falls,State Question 1,,,Reject,506
Providence,Central Falls,State Question 2,,,Approve,1725
Providence,Central Falls,State Question 3,,,Reject,605
Washington,Charlestown,President,,Democratic,Barack Obama,2670
Washington,Charlestown,President,,Republican,John McCain,1693
Washington,Charlestown,President,,Independent,Ralph Nader,57
Washington,Charlestown,President,,Libertarian,Bob Barr,16
Washington,Charlestown,President,,Green,Cynthia McKinney,12
Washington,Charlestown,President,,Constitution,Chuck Baldwin,6
Washington,Charlestown,President,,Socialism and Liberation,Glora La Riva,1
Washington,Charlestown,U.S. Senate,,Democratic,John F. Reed,2953
Washington,Charlestown,U.S. Senate,,Republican,Robert G. Tingle,1262
Washington,Charlestown,U.S. Representative,2,Democratic,James R. Langevin,2793
Washington,Charlestown,U.S. Representative,2,Republican,Mark S. Zaccaria,1373
Washington,Charlestown,State Senate,34,Republican,"Francis T. Maher, Jr.",480
Washington,Charlestown,State Senate,34,Socialist,Jonathan R. Osborne,180
Washington,Charlestown,State Senate,38,Republican,Dennis L. Algiere,2268
Washington,Charlestown,State House,36,Democratic,Donna M. Walsh,1271
Washington,Charlestown,State House,36,Independent,Matthew J. McHugh,861
Washington,Charlestown,State House,36,Republican,David A. Cote,674
Washington,Charlestown,State House,39,Democratic,Rod Driver,775
Washington,Charlestown,State House,39,Republican,David B. Hathaway,593
Washington,Charlestown,State Question 1,,,Approve,3194
Washington,Charlestown,State Question 1,,,Reject,936
Washington,Charlestown,State Question 2,,,Approve,3105
Washington,Charlestown,State Question 2,,,Reject,1037
Kent,Coventry,President,,Democratic,Barack Obama,9622
Kent,Coventry,President,,Republican,John McCain,7367
Kent,Coventry,President,,Independent,Ralph Nader,214
Kent,Coventry,President,,Libertarian,Bob Barr,49
Kent,Coventry,President,,Green,Cynthia McKinney,27
Kent,Coventry,President,,Constitution,Chuck Baldwin,21
Kent,Coventry,President,,Socialism and Liberation,Glora La Riva,5
Kent,Coventry,U.S. Senate,,Democratic,John F. Reed,11410
Kent,Coventry,U.S. Senate,,Republican,Robert G. Tingle,5104
Kent,Coventry,U.S. Representative,2,Democratic,James R. Langevin,11161
Kent,Coventry,U.S. Representative,2,Republican,Mark S. Zaccaria,5361
Kent,Coventry,State Senate,21,Republican,Leo R. Blais,3422
Kent,Coventry,State Senate,21,Democratic,Salvatore Lombardi,2668
Kent,Coventry,State Senate,33,Democratic,Leonidas P. Raptakis,7888
Kent,Coventry,State House,25,Democratic,Timothy A. Williamson,651
Kent,Coventry,State House,26,Democratic,William J. Murphy,1053
Kent,Coventry,State House,27,Democratic,Patricia A. Serpa,491
Kent,Coventry,State House,27,Republican,Ericka Joy Atwell,373
Kent,Coventry,State House,27,Independent,David Michael,60
Kent,Coventry,State House,28,Democratic,Scott J. Guthrie,4044
Kent,Coventry,State House,28,Republican,Steven J. Hart,3307
Kent,Coventry,State House,29,Democratic,"Raymond J. Sullivan, Jr.",2511
Kent,Coventry,State House,29,Republican,Ian K. Lonngren,1768
Kent,Coventry,State House,40,Republican,Nicholas Gorham,719
Kent,Coventry,State House,40,Democratic,Scott M. Pollard,585
Kent,Coventry,State Question 1,,,Approve,11270
Kent,Coventry,State Question 1,,,Reject,4670
Kent,Coventry,State Question 2,,,Approve,10066
Kent,Coventry,State Question 2,,,Reject,5739
Providence,Cranston,President,,Democratic,Barack Obama,22520
Providence,Cranston,President,,Republican,John McCain,13981
Providence,Cranston,President,,Independent,Ralph Nader,374
Providence,Cranston,President,,Libertarian,Bob Barr,100
Providence,Cranston,President,,Green,Cynthia McKinney,52
Providence,Cranston,President,,Constitution,Chuck Baldwin,33
Providence,Cranston,President,,Socialism and Liberation,Glora La Riva,2
Providence,Cranston,U.S. Senate,,Democratic,John F. Reed,25186
Providence,Cranston,U.S. Senate,,Republican,Robert G. Tingle,9665
Providence,Cranston,U.S. Representative,2,Democratic,James R. Langevin,24597
Providence,Cranston,U.S. Representative,2,Republican,Mark S. Zaccaria,10174
Providence,Cranston,State Senate,26,Democratic,Beatrice A. Lanzi,6887
Providence,Cranston,State Senate,26,Republican,Sean P. Gately,4725
Providence,Cranston,State Senate,27,Democratic,Hanna M. Gallo,9254
Providence,Cranston,State Senate,28,Democratic,Joshua Miller,6337
Providence,Cranston,State Senate,28,Republican,Robert J. Clarkin,3542
Providence,Cranston,State House,14,Democratic,Charlene Lima,3268
Providence,Cranston,State House,14,Republican,Ivan G. Marte,1093
Providence,Cranston,State House,15,Democratic,Nicholas A. Mattiello,3898
Providence,Cranston,State House,15,Republican,Robert J. Coupe,2328
Providence,Cranston,State House,15,Independent,Charles Edward Frappier,749
Providence,Cranston,State House,16,Democratic,Peter G. Palumbo,3170
Providence,Cranston,State House,16,Independent,Michael P. McManaman,2642
Providence,Cranston,State House,17,Democratic,Robert B. Jacquard,3856
Providence,Cranston,State House,17,Republican,Jasper P. Bedrosian,2154
Providence,Cranston,State House,18,Democratic,Arthur Handy,4076
Providence,Cranston,State House,18,Republican,Richard S. Nordlund,1819
Providence,Cranston,State House,19,Democratic,Joseph McNamara,463
Providence,Cranston,State House,19,Republican,Robert A. Paquin III,263
Providence,Cranston,State House,41,Democratic,Michael J. Marcello,1210
Providence,Cranston,State House,41,Republican,Christopher S. Caluori,1034
Providence,Cranston,State House,42,Democratic,Stephen R. Ucci,1270
Providence,Cranston,State Question 1,,,Approve,23909
Providence,Cranston,State Question 1,,,Reject,9316
Providence,Cranston,State Question 2,,,Approve,19829
Providence,Cranston,State Question 2,,,Reject,13128
Providence,Cumberland,President,,Democratic,Barack Obama,9707
Providence,Cumberland,President,,Republican,John McCain,6941
Providence,Cumberland,President,,Independent,Ralph Nader,184
Providence,Cumberland,President,,Libertarian,Bob Barr,42
Providence,Cumberland,President,,Constitution,Chuck Baldwin,29
Providence,Cumberland,President,,Green,Cynthia McKinney,22
Providence,Cumberland,President,,Socialism and Liberation,Glora La Riva,6
Providence,Cumberland,U.S. Senate,,Democratic,John F. Reed,11047
Providence,Cumberland,U.S. Senate,,Republican,Robert G. Tingle,4853
Providence,Cumberland,U.S. Representative,1,Democratic,Patrick J. Kennedy,10126
Providence,Cumberland,U.S. Representative,1,Republican,Jonathan P. Scott,4748
Providence,Cumberland,U.S. Representative,1,Independent,Kenneth A. Capalbo,1156
Providence,Cumberland,State Senate,16,Democratic,Elizabeth A. Crowley,782
Providence,Cumberland,State Senate,16,Republican,Albert Paul Larivee,185
Providence,Cumberland,State Senate,19,Democratic,Daniel P. Connors,5000
Providence,Cumberland,State Senate,19,Republican,Kathleen E. McCurdy Dennen,4421
Providence,Cumberland,State Senate,20,Democratic,Roger A. Picard,3947
Providence,Cumberland,State House,45,Democratic,Rene R. Menard,2599
Providence,Cumberland,State House,52,Democratic,Karen L. MacBeth,5214
Providence,Cumberland,State House,52,Republican,Michael Tusoni,2950
Providence,Cumberland,State House,57,Democratic,Kenneth A. Vaudreuil,2720
Providence,Cumberland,State House,57,Republican,Mark C. Chapin,1190
Providence,Cumberland,State Question 1,,,Approve,11528
Providence,Cumberland,State Question 1,,,Reject,3504
Providence,Cumberland,State Question 2,,,Approve,10031
Providence,Cumberland,State Question 2,,,Reject,4903
Kent,East Greenwich,President,,Democratic,Barack Obama,3916
Kent,East Greenwich,President,,Republican,John McCain,2570
Kent,East Greenwich,President,,Independent,Ralph Nader,72
Kent,East Greenwich,President,,Libertarian,Bob Barr,31
Kent,East Greenwich,President,,Constitution,Chuck Baldwin,7
Kent,East Greenwich,President,,Green,Cynthia McKinney,7
Kent,East Greenwich,President,,Socialism and Liberation,Glora La Riva,1
Kent,East Greenwich,U.S. Senate,,Democratic,John F. Reed,4435
Kent,East Greenwich,U.S. Senate,,Republican,Robert G. Tingle,2818
Kent,East Greenwich,U.S. Representative,2,Democratic,James R. Langevin,4225
Kent,East Greenwich,U.S. Representative,2,Republican,Mark S. Zaccaria,3012
Kent,East Greenwich,State Senate,33,Democratic,Leonidas P. Raptakis,948
Kent,East Greenwich,State Senate,35,Democratic,J. Michael Lenihan,2878
Kent,East Greenwich,State Senate,35,Republican,"John A. Pagliarini, Jr.",2704
Kent,East Greenwich,State House,30,Republican,Robert A. Watson,3828
Kent,East Greenwich,State House,30,Democratic,Jean Ann W. Guliano,3171
Kent,East Greenwich,State Question 1,,,Approve,5315
Kent,East Greenwich,State Question 1,,,Reject,1763
Kent,East Greenwich,State Question 2,,,Approve,4537
Kent,East Greenwich,State Question 3,,,Reject,2493
Providence,East Providence,President,,Democratic,Barack Obama,15380
Providence,East Providence,President,,Republican,John McCain,6216
Providence,East Providence,President,,Independent,Ralph Nader,249
Providence,East Providence,President,,Libertarian,Bob Barr,59
Providence,East Providence,President,,Constitution,Chuck Baldwin,34
Providence,East Providence,President,,Green,Cynthia McKinney,31
Providence,East Providence,President,,Socialism and Liberation,Glora La Riva,6
Providence,East Providence,U.S. Senate,,Democratic,John F. Reed,15916
Providence,East Providence,U.S. Senate,,Republican,Robert G. Tingle,4528
Providence,East Providence,U.S. Representative,1,Democratic,Patrick J. Kennedy,15205
Providence,East Providence,U.S. Representative,1,Republican,Jonathan P. Scott,4075
Providence,East Providence,U.S. Representative,1,Independent,Kenneth A. Capalbo,1456
Providence,East Providence,State Senate,14,Democratic,Daniel DaPonte,6577
Providence,East Providence,State Senate,18,Democratic,"Frank A. Devall, Jr.",6411
Providence,East Providence,State Senate,18,Independent,Lynn M. Vargas,3975
Providence,East Providence,State Senate,18,Republican,Marcel L. Robert,1470
Providence,East Providence,State House,2,Democratic,David A. Segal,946
Providence,East Providence,State House,62,Democratic,Elizabeth M. Dennigan,989
