precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
FULTONSC09A,604,1,95,0,0,6,0,12,1,0,0,3,0,0,11,0,11,1752,25,81,700,44,1752,81
FULTONSC09B,390,0,62,0,0,6,0,5,0,0,0,0,0,0,6,0,3,1038,19,33,452,20,1038,33
FULTONSC10,215,1,53,0,1,0,0,1,0,0,0,1,1,0,1,0,7,784,14,27,269,12,784,27
FULTONSC11A,316,1,71,1,0,3,0,4,0,0,0,1,1,0,3,0,6,828,8,23,389,18,828,23
FULTONSC11B,402,0,50,0,1,4,0,2,0,1,0,0,0,0,2,0,3,930,12,24,452,13,930,24
FULTONSC14,152,0,39,0,0,3,0,1,0,0,0,0,0,0,1,0,7,528,7,18,191,12,528,18
FULTONSC16,1157,2,267,0,0,6,0,6,0,0,0,9,0,1,12,0,19,2873,24,63,1426,53,2873,63
FULTONSC17A,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,12,0,35,0
FULTONSC17C,263,0,55,0,0,0,0,2,0,0,0,2,0,0,3,0,7,647,9,28,318,14,647,28
FULTONSC18A,114,0,11,0,0,1,0,0,0,0,0,0,0,0,1,0,2,305,5,11,125,4,305,11
FULTONSC18B,1290,2,257,1,2,6,0,12,0,0,0,12,0,0,18,0,28,3184,39,101,1550,78,3184,101
FULTONSC19A,52,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1,113,1,3,66,2,113,3
FULTONSC19B,284,0,51,2,0,1,0,4,0,0,1,0,0,0,4,0,2,696,1,23,337,12,696,23
FULTONSC211,224,0,63,0,0,2,0,5,0,0,0,0,0,0,5,0,5,744,8,30,287,17,744,30
FULTONSC212,467,0,124,0,0,4,0,6,0,0,0,5,0,0,11,0,22,1744,31,112,591,48,1744,112
FULTONSC23A,970,1,224,1,1,9,0,11,0,0,0,0,0,0,11,0,20,2951,34,92,1196,52,2951,92
FULTONSC23B,99,0,22,0,0,0,0,0,0,0,0,0,0,0,6,0,5,294,1,8,121,11,294,8
FULTONSC27,569,1,74,0,1,4,0,5,0,0,0,0,1,1,3,0,7,1276,11,40,644,22,1276,40
FULTONSC29A,676,0,115,2,0,3,0,5,0,0,0,0,0,1,5,0,9,1635,21,51,793,23,1635,51
FULTONSC30A,42,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,91,2,2,49,1,91,2
FULTONSC30B,275,0,78,0,0,1,0,1,0,0,0,0,0,0,5,0,1,570,11,10,353,8,570,10
FULTONSS01,212,0,88,0,5,26,0,137,1,0,0,180,0,4,481,1,252,852,90,1278,300,1087,852,1278
FULTONSS02A,64,0,81,0,5,6,0,34,1,0,0,35,0,1,101,1,63,414,43,316,145,247,414,316
FULTONSS02B,93,1,90,0,0,4,0,20,0,0,0,28,0,0,65,2,37,539,43,197,184,156,539,197
FULTONSS03,114,0,75,0,2,9,0,42,0,0,0,50,0,2,137,0,103,492,61,430,189,345,492,430
FULTONSS04,264,1,155,0,2,18,0,65,1,0,0,58,0,3,174,0,131,1225,113,675,420,452,1225,675
FULTONSS05,174,0,90,0,3,12,0,91,1,0,0,82,0,1,272,0,144,652,66,657,264,606,652,657
FULTONSS06,107,0,40,0,2,9,2,60,2,0,0,69,0,1,204,1,102,465,44,523,147,452,465,523
FULTONSS07A,62,0,26,1,4,6,2,35,0,0,1,58,0,0,119,0,61,265,29,361,89,286,265,361
FULTONSS07B,41,0,22,0,1,7,1,16,1,1,1,13,0,0,33,0,23,180,28,152,63,97,180,152
FULTONSS07C,43,0,26,0,1,9,0,19,0,0,0,24,0,0,54,0,40,246,18,234,69,147,246,234
FULTONSS08A,97,0,59,0,1,7,0,26,0,0,0,15,0,0,62,0,67,502,39,266,156,178,502,266
FULTONSS08B,39,0,14,0,1,4,0,31,1,0,0,31,0,1,74,0,37,210,18,210,53,180,210,210
FULTONSS08C,48,0,30,0,1,2,0,10,1,0,0,8,0,0,34,0,27,230,21,133,78,83,230,133
FULTONSS08D,111,0,52,0,0,7,0,18,0,0,0,22,0,0,63,0,50,431,36,280,163,160,431,280
FULTONSS09A,244,0,66,0,10,21,0,81,0,1,0,154,0,1,434,0,251,969,92,1122,310,953,969,1122
FULTONSS09B,260,1,106,0,7,21,1,91,1,0,1,187,0,1,495,1,219,1122,97,1266,367,1025,1122,1266
FULTONSS11A,249,0,194,1,6,14,1,73,1,0,0,76,0,1,326,0,146,1383,124,914,444,644,1383,914
FULTONSS11B,87,0,69,1,1,4,0,25,0,0,0,22,0,0,54,0,35,489,42,224,157,141,489,224
FULTONSS11C,24,0,12,0,0,0,0,3,0,0,0,1,0,0,4,0,5,117,6,33,36,13,117,33
FULTONSS11D,27,0,13,0,1,2,0,10,0,0,0,11,0,0,35,0,21,103,15,130,40,80,103,130
FULTONSS12,195,1,74,0,3,9,0,74,1,0,0,99,0,4,346,0,123,896,110,837,270,659,896,837
FULTONSS13A,103,0,90,0,4,12,2,51,1,0,0,59,0,0,189,0,62,487,49,462,193,380,487,462
FULTONSS13B,45,0,20,0,1,3,0,22,0,0,0,23,0,0,67,0,35,303,24,237,65,151,303,237
FULTONSS14,98,1,41,0,2,14,0,61,1,0,2,82,0,0,196,0,86,390,54,578,140,444,390,578
FULTONSS15A,168,0,133,1,1,6,0,19,0,0,1,7,0,1,48,0,32,974,71,198,302,115,974,198
FULTONSS15B,102,1,108,0,0,8,0,35,0,0,0,19,0,0,65,0,63,608,38,308,211,190,608,308
FULTONSS16,148,0,63,0,6,19,1,79,0,0,0,156,0,0,382,0,152,655,75,834,211,795,655,834
FULTONSS17,219,0,142,0,1,22,0,114,1,0,1,128,0,1,340,0,215,1089,84,1169,361,823,1089,1169
FULTONSS18A,45,0,20,0,2,5,0,38,0,0,0,30,0,0,100,1,48,226,15,247,65,224,226,247
FULTONSS18B,23,0,7,0,1,0,0,9,0,0,0,6,0,0,20,0,29,78,7,98,30,65,78,98
FULTONSS19A,218,1,170,1,0,4,0,38,1,0,1,40,0,1,122,0,79,1251,77,447,390,286,1251,447
FULTONSS19B,168,0,108,0,2,5,0,35,2,0,1,54,0,0,128,0,61,909,68,334,276,288,909,334
FULTONSS20,146,1,83,0,2,5,0,37,1,0,0,36,0,1,119,0,53,742,45,393,230,254,742,393
FULTONSS22,190,0,125,0,6,16,2,63,1,0,0,73,0,0,220,0,133,983,55,655,315,514,983,655
FULTONSS25,94,0,55,0,2,10,0,69,0,0,0,76,0,2,215,0,137,453,47,622,149,511,453,622
FULTONSS26,259,0,210,1,2,4,0,42,0,0,0,19,1,3,74,0,46,1478,92,332,470,191,1478,332
FULTONSS29A,206,4,132,0,4,4,0,91,0,0,1,82,0,1,217,0,124,966,86,681,342,524,966,681
FULTONSS31,105,0,38,0,3,4,0,21,0,0,0,41,0,0,110,0,86,382,22,333,143,265,382,333
FULTONUC01A,483,0,125,0,0,7,0,13,0,0,0,5,0,0,6,0,9,1698,40,81,608,40,1698,81
FULTONUC01B,42,0,13,0,0,2,0,0,0,0,0,0,0,0,1,0,0,204,5,3,55,3,204,3
FULTONUC01E,14,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,2,2,23,0,69,2
FULTONUC02A,1222,3,293,2,4,22,0,22,0,0,1,5,0,0,11,0,41,3879,53,167,1520,106,3879,167
FULTONUC02B,3,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10,0,6,4,4,10,6
FULTONUC031,323,2,66,0,1,16,1,50,1,0,1,9,0,0,41,0,60,1019,25,281,391,180,1019,281
FULTONUC032,13,0,4,0,0,0,0,1,0,0,0,0,0,0,5,0,4,77,1,13,17,10,77,13
GILMERBIG CREEK,34,0,29,0,3,28,0,105,1,0,4,19,0,1,75,0,223,152,22,728,63,459,152,728
GILMERBOARDTOWN,28,0,31,0,1,31,2,115,1,0,2,10,0,1,100,0,237,136,26,738,59,500,136,738
GILMERCARTECAY,40,1,33,0,3,20,0,120,1,0,1,14,0,0,109,0,281,124,16,864,74,549,124,864
GILMERCHERRY LOG,56,1,14,1,1,17,0,58,0,0,0,17,0,0,67,0,146,129,11,458,72,306,129,458
GILMEREAST ELLIJAY,28,0,35,1,2,27,0,98,0,0,3,22,0,0,100,1,244,151,23,803,64,497,151,803
GILMERELLIJAY NORTH,26,0,35,2,6,24,0,108,0,1,1,19,0,1,82,0,250,154,31,763,63,492,154,763
GILMERELLIJAY NORTHEAST,55,0,31,0,2,25,1,127,0,0,1,28,0,2,119,0,283,207,12,951,86,588,207,951
GILMERELLIJAY SOUTH,76,0,69,1,3,38,0,159,0,0,2,27,0,3,146,0,450,306,40,1372,146,828,306,1372
GILMERLEACHES,56,1,50,3,3,44,0,146,3,0,1,36,0,2,116,1,371,225,39,1235,110,723,225,1235
GILMERMOUNTAINTOWN,17,0,25,0,5,17,0,91,0,0,1,7,0,1,72,1,175,106,17,576,42,370,106,576
GILMERNAN,490,3,423,9,35,319,3,1332,6,2,21,232,0,14,1159,4,3340,1965,293,10477,925,6467,1965,10477
GILMERTAILS CREEK,25,0,24,0,1,19,0,71,0,0,1,9,0,2,53,1,291,115,18,787,49,448,115,787
GILMERTOWN CREEK,22,0,24,0,2,15,0,57,0,0,2,15,0,1,52,0,165,82,12,555,46,309,82,555
GILMERYUKON,27,0,23,1,3,14,0,77,0,1,2,9,0,0,68,0,224,78,26,647,51,398,78,647
GLASCOCKEDGEHILL,1,0,1,0,0,6,0,8,0,0,0,0,0,0,14,0,22,6,0,90,2,50,6,90
GLASCOCKGIBSON,15,2,5,1,5,11,0,38,2,1,1,5,0,0,34,0,140,46,9,410,23,237,46,410
GLASCOCKMILL,9,0,6,1,4,11,0,51,0,0,0,1,0,0,34,0,146,33,5,473,16,247,33,473
GLASCOCKMITCHELL,13,0,7,0,1,14,1,32,1,0,0,4,0,1,6,0,97,53,3,262,20,157,53,262
GLASCOCKNAN,38,2,19,2,10,42,1,129,3,1,1,10,0,1,88,0,405,138,17,1235,61,691,138,1235
GLYNNABUNDANT LIFE,194,1,54,0,5,18,1,70,0,0,2,9,0,0,36,1,137,761,27,569,249,279,761,569
GLYNNBALLARD COMPLEX,110,1,50,2,6,43,1,126,1,0,1,23,1,0,93,0,274,499,51,1129,163,569,499,1129
GLYNNBURROUGHS,322,4,49,2,1,9,0,9,0,0,0,4,0,0,4,0,21,1371,21,132,377,48,1371,132
GLYNNC B GREER SCHOOL,117,1,55,0,6,58,1,179,1,1,1,34,0,0,154,0,328,475,36,1328,173,763,475,1328
GLYNNCAREER ACADEMY,86,0,63,2,4,57,1,185,1,0,0,32,0,2,107,0,337,396,54,1256,151,726,396,1256
GLYNNCHRISTIAN RENEWAL,146,1,103,0,16,78,2,199,1,0,1,127,0,3,341,1,389,612,72,1755,250,1158,612,1755
GLYNNCOLLEGE PLACE,198,0,58,0,1,20,2,43,0,0,1,20,0,0,53,0,142,724,28,488,256,282,724,488
GLYNNFIRST BAPTIST,237,1,148,0,18,73,0,215,1,0,0,155,1,0,346,0,550,860,87,1926,386,1359,860,1926
GLYNNGLYNDALE SCHOOL,34,0,37,0,2,47,1,144,0,0,1,27,0,1,92,1,361,195,33,1302,71,677,195,1302
GLYNNHOWARD COFFIN PARK,193,1,125,1,2,26,0,78,1,1,1,29,0,2,54,0,124,911,58,513,320,318,911,513
GLYNNJEKYLL ISLAND,81,1,25,0,3,12,2,27,0,0,0,43,0,0,63,0,86,200,11,270,107,236,200,270
GLYNNMARSHES OF GLYNN,145,1,58,0,1,55,1,180,0,0,3,16,0,2,96,0,294,467,23,1312,204,648,467,1312
GLYNNNAN,2881,21,1282,12,100,853,19,2569,8,4,23,944,4,31,2543,8,5536,11775,825,21512,4196,12642,11775,21512
GLYNNNORTHSIDE CHURCH,254,2,66,1,2,29,0,81,0,1,1,19,1,0,66,0,176,966,41,689,323,376,966,689
GLYNNOGLETHORPE POINT,114,0,53,1,7,53,3,150,0,0,0,119,0,6,251,0,349,450,40,1366,168,938,450,1366
GLYNNSATILLA MARSH SCHOOL,80,0,43,1,1,61,1,172,0,0,2,41,0,2,100,0,310,381,41,1190,124,690,381,1190
GLYNNSE BAPTIST BLDG,56,1,30,0,2,26,0,103,0,0,2,5,0,3,57,1,238,262,25,774,87,437,262,774
GLYNNSELDEN PARK,77,0,13,1,0,6,0,18,0,0,0,4,0,0,11,1,41,378,7,190,91,81,378,190
GLYNNST WILLIAMS CHURCH,216,2,139,1,12,74,1,232,1,1,3,161,1,5,400,2,521,856,83,2094,358,1414,856,2094
GLYNNSTERLING CHURCH OF GOD,119,3,69,0,3,45,1,126,0,0,3,23,0,1,77,1,327,546,44,1313,191,607,546,1313
GLYNNSTERLING ELEM SCHOOL,102,1,44,0,8,63,1,232,1,0,1,53,0,4,142,0,531,465,43,1916,147,1036,465,1916
GORDONCALHOUN CITY,252,1,157,3,16,157,5,278,3,0,4,133,0,5,432,1,870,1137,146,3247,413,1904,1137,3247
GORDONFAIRMOUNT,26,0,35,0,2,34,0,113,0,0,0,12,0,1,69,0,318,105,29,967,61,549,105,967
GORDONGORDON COUNTY,136,3,91,1,11,113,0,225,1,0,10,51,0,3,192,2,753,589,68,2588,231,1361,589,2588
GORDONLILY POND,35,1,24,0,5,49,0,100,0,0,2,19,0,0,100,0,241,141,24,847,60,516,141,847
GORDONNAN,778,10,554,10,54,736,9,1607,6,0,33,356,1,17,1427,5,4347,3181,507,15191,1352,8598,3181,15191
GORDONOAKMAN,27,0,35,1,1,28,0,56,0,0,0,14,0,1,41,0,149,95,18,552,63,290,95,552
GORDONOOSTANAULA,36,0,8,0,1,21,0,31,0,0,0,8,0,0,35,0,102,80,8,315,44,198,80,315
GORDONPINE CHAPEL,16,0,8,1,1,14,0,86,0,0,4,11,0,0,36,0,123,63,7,488,25,275,63,488
GORDONPLAINVILLE,37,1,34,1,3,53,2,99,0,0,0,12,0,1,61,0,254,131,28,872,73,485,131,872
GORDONRED BUD,56,1,40,2,2,67,0,128,0,0,4,20,1,2,143,1,337,256,44,1283,99,705,256,1283
GORDONRESACA,25,0,23,0,1,25,0,92,1,0,4,15,0,0,53,1,197,112,22,669,48,389,112,669
GORDONSONORAVILLE,109,3,68,1,9,143,1,311,0,0,4,45,0,3,219,0,761,388,93,2625,181,1496,388,2625
GORDONSUGAR VALLEY,23,0,31,0,2,32,1,88,1,0,1,16,0,1,46,0,242,84,20,738,54,430,84,738
GRADYBLOWING CAVE,18,1,14,2,3,13,0,48,0,0,0,8,0,0,29,0,100,79,5,416,35,201,79,416
GRADYCAIRO 4TH DISTRICT,374,3,47,1,2,11,0,24,0,0,0,3,0,0,23,0,52,1096,17,269,425,115,1096,269
GRADYCAIRO 5TH DISTRICT,167,1,43,0,7,46,1,114,0,0,1,14,0,1,85,0,187,615,26,846,211,456,615,846
GRADYDUNCANVILLE,42,0,13,0,0,12,0,31,0,0,0,9,0,0,24,0,49,118,7,202,55,125,118,202
GRADYHIGDON,67,0,12,1,2,16,0,51,0,0,1,3,0,0,30,0,73,171,9,352,80,176,171,352
GRADYLIMESINK,9,0,3,0,0,5,0,26,0,0,1,1,0,0,15,0,45,27,1,165,12,93,27,165
GRADYMIDWAY,44,1,32,0,2,29,0,85,0,0,0,9,0,0,65,0,159,177,13,666,77,349,177,666
GRADYNAN,887,12,262,8,32,259,3,805,1,0,9,109,0,5,555,1,1422,3013,135,6053,1169,3201,3013,6053
GRADYPINE PARK,36,0,14,0,2,13,1,49,0,0,0,5,0,0,24,0,90,159,8,364,50,184,159,364
GRADYRAGAN,32,0,12,1,1,8,0,37,0,0,1,4,0,0,17,0,63,93,3,241,45,131,93,241
GRADYSPENCE,13,3,15,0,0,16,0,60,0,0,1,6,0,3,33,0,110,40,10,411,31,229,40,411
GRADYSPRING HILL,11,1,8,0,1,15,0,45,0,0,0,8,0,0,43,0,81,43,5,335,20,193,43,335
GRADYWHIGHAM,33,1,20,1,2,17,0,66,0,0,0,9,0,0,45,0,124,180,11,543,55,263,180,543
GRADYWOODLAND,41,1,29,2,10,58,1,169,1,0,4,30,0,1,122,1,289,215,20,1243,73,686,215,1243
GREENEGREENSBORO,441,1,50,0,3,25,1,100,2,1,3,13,1,0,76,0,201,1257,37,708,492,426,1257,708
GREENEGRESHAMVILLE,35,1,8,0,0,24,0,65,0,0,0,14,0,0,58,0,106,110,6,420,44,267,110,420
GREENENAN,1077,5,169,4,29,181,7,637,4,3,7,364,1,2,982,2,1555,3199,151,5490,1255,3774,3199,5490
GREENEOLD SALEM,128,0,39,0,14,75,4,245,1,2,1,260,0,1,583,1,675,547,59,2386,167,1862,547,2386
GREENESILOAM,137,0,17,3,5,11,0,37,1,0,0,6,0,0,21,0,72,360,5,296,157,153,360,296
GREENEUNION POINT,139,2,26,1,0,9,1,37,0,0,1,7,0,1,30,0,105,386,16,359,168,191,386,359
GREENEWALKER,67,0,16,0,4,31,1,111,0,0,0,61,0,0,196,1,301,233,25,1007,83,706,233,1007
GREENEWHITE PLAINS,55,0,7,0,3,3,0,11,0,0,0,0,0,0,4,0,44,122,1,125,62,65,122,125
GREENEWOODVILLE,75,1,6,0,0,3,0,31,0,0,2,3,0,0,14,0,51,184,2,189,82,104,184,189
GWINNETTBAYCREEK A,227,0,83,0,4,52,1,201,1,0,0,39,0,2,250,0,216,755,62,1011,310,766,755,1011
GWINNETTBAYCREEK B,591,1,194,1,2,32,0,221,2,0,1,21,0,2,163,0,264,2069,72,1189,787,708,2069,1189
GWINNETTBAYCREEK C,551,0,192,1,5,58,0,274,0,1,4,36,0,3,275,1,345,2116,104,1562,744,1002,2116,1562
GWINNETTBAYCREEK D,324,2,136,0,4,43,1,337,1,0,2,43,0,0,291,0,316,1262,80,1547,462,1038,1262,1547
GWINNETTBAYCREEK E,203,1,75,1,2,37,0,175,0,0,0,19,0,1,123,0,216,871,57,898,280,573,871,898
GWINNETTBAYCREEK F,390,3,127,0,1,37,0,174,1,0,1,23,0,2,206,0,232,1574,65,989,520,677,1574,989
GWINNETTBAYCREEK G,405,3,97,1,3,57,0,242,0,0,0,35,1,0,224,0,251,1634,86,1319,506,813,1634,1319
GWINNETTBAYCREEK H,266,1,123,1,2,63,1,395,1,0,1,53,0,1,343,0,474,1296,107,2090,391,1334,1296,2090
GWINNETTBAYCREEK I,405,3,183,0,0,46,0,248,0,0,2,34,0,1,214,0,305,1797,97,1343,591,850,1797,1343
GWINNETTBAYCREEK J,433,1,135,0,0,37,0,191,1,1,0,38,0,3,203,2,216,1578,72,955,569,692,1578,955
GWINNETTBAYCREEK K,278,1,114,2,4,34,1,216,1,1,1,36,0,2,211,0,223,1111,54,1158,395,730,1111,1158
GWINNETTBERKSHIRE A,168,0,92,0,1,8,0,75,0,1,0,13,0,0,71,0,83,839,52,383,260,252,839,383
GWINNETTBERKSHIRE B,410,1,247,1,3,21,0,106,0,0,2,30,0,4,139,0,160,2100,102,709,659,465,2100,709
GWINNETTBERKSHIRE D,185,4,138,1,2,43,3,192,0,0,0,49,0,1,261,1,194,837,81,930,328,746,837,930
GWINNETTBERKSHIRE E,126,0,83,0,1,23,1,133,2,0,0,49,0,1,197,1,155,598,60,716,209,563,598,716
GWINNETTBERKSHIRE F,137,0,80,1,5,13,0,70,0,0,0,5,0,6,56,0,102,628,39,410,218,257,628,410
GWINNETTBERKSHIRE G,174,1,131,1,1,27,1,156,0,0,1,38,0,5,197,0,221,695,72,794,307,647,695,794
GWINNETTBERKSHIRE H,105,1,85,0,1,13,0,56,0,0,0,13,0,1,46,0,78,587,38,325,191,208,587,325
GWINNETTBERKSHIRE J,181,1,144,1,2,47,1,197,1,1,1,76,1,3,303,0,224,802,95,1030,327,857,802,1030
GWINNETTBERKSHIRE L,197,0,114,1,2,16,0,76,0,0,1,17,0,0,68,0,91,1174,59,397,312,271,1174,397
GWINNETTBERKSHIRE M,116,0,75,0,3,19,2,139,0,0,1,26,0,1,150,0,148,461,50,605,191,489,461,605
GWINNETTBERKSHIRE N,239,2,103,1,8,49,2,215,4,0,2,56,1,2,339,0,304,836,69,1202,345,982,836,1202
GWINNETTBERKSHIRE O,155,2,93,1,5,49,0,182,1,0,0,59,0,1,247,0,216,663,64,986,251,760,663,986
GWINNETTBERKSHIRE P,94,0,53,0,0,15,0,62,0,0,1,9,0,0,41,1,80,416,19,285,147,209,416,285
GWINNETTBERKSHIRE Q,99,0,78,1,2,9,0,123,0,0,0,22,1,1,154,0,128,468,56,587,178,440,468,587
GWINNETTCATES A,157,0,66,0,4,26,0,184,1,1,0,15,0,0,140,0,249,520,55,934,223,620,520,934
GWINNETTCATES B,72,1,95,1,1,25,2,141,1,0,0,28,0,0,199,1,158,371,78,679,169,556,371,679
GWINNETTCATES C,262,0,82,0,0,31,0,146,0,0,1,19,0,2,118,0,145,964,37,678,344,462,964,678
GWINNETTCATES D - 04,147,4,119,1,2,22,0,187,0,0,0,30,0,3,157,2,282,191,12,181,271,685,191,181
GWINNETTCATES E,199,0,159,1,6,46,1,203,0,0,1,54,0,2,276,1,227,869,80,1010,359,817,869,1010
GWINNETTCATES F,88,2,65,0,5,24,0,144,0,0,1,24,0,0,153,1,197,403,59,789,155,549,403,789
GWINNETTCATES G,140,1,92,1,2,59,1,232,2,0,0,78,0,0,347,1,266,644,75,1217,234,988,644,1217
GWINNETTCATES H,324,0,119,4,4,26,0,155,2,0,4,8,1,4,86,0,167,1307,54,683,447,457,1307,683
GWINNETTCATES I,256,0,145,0,7,34,0,232,0,0,2,52,1,4,277,2,240,1107,89,1111,401,851,1107,1111
GWINNETTCATES J,235,0,166,0,1,22,0,172,0,0,0,29,0,1,198,0,214,1109,97,910,401,637,1109,910
GWINNETTCATES K,118,1,121,0,6,39,1,196,4,0,3,39,0,0,276,1,209,627,102,932,240,774,627,932
GWINNETTCATES L,364,0,146,0,6,34,0,244,0,0,0,35,0,6,201,0,255,1344,74,1076,510,781,1344,1076
GWINNETTCATES M,222,0,143,0,5,62,2,320,1,0,1,78,0,1,423,0,312,1022,145,1581,365,1205,1022,1581
GWINNETTCATES N,131,0,56,0,3,39,1,207,1,1,1,40,0,0,255,1,289,506,57,1196,187,838,506,1196
GWINNETTCATES O,92,0,53,0,0,14,0,98,0,0,0,19,0,1,127,0,99,382,30,488,145,358,382,488
GWINNETTDACULA,374,0,123,1,4,43,0,248,0,0,1,36,0,0,219,0,303,1368,109,1303,498,854,1368,1303
GWINNETTDULUTH A,314,1,164,0,1,44,0,196,2,0,0,74,1,2,331,0,264,1469,138,1309,479,915,1469,1309
GWINNETTDULUTH B,173,1,140,2,3,38,3,164,1,0,1,35,0,2,209,1,246,867,81,1018,316,703,867,1018
GWINNETTDULUTH C,153,0,123,0,3,20,0,94,0,0,2,22,0,2,140,0,168,691,93,625,276,451,691,625
GWINNETTDULUTH D,290,0,195,0,4,30,2,132,0,0,2,35,2,2,185,0,209,1393,121,876,485,603,1393,876
GWINNETTDULUTH E,376,2,180,1,7,30,1,110,1,0,1,32,0,1,158,0,156,1665,101,782,559,497,1665,782
GWINNETTDULUTH F,340,1,163,0,0,8,0,71,0,0,0,16,0,1,92,0,104,1867,78,581,504,292,1867,581
GWINNETTDULUTH G,170,1,114,0,3,32,0,162,2,0,2,35,0,1,230,0,209,761,66,971,285,676,761,971
GWINNETTDULUTH H,160,0,87,0,2,17,0,105,2,0,0,44,0,1,166,0,183,784,58,779,247,520,784,779
GWINNETTDULUTH I,227,1,79,1,3,19,1,165,0,0,1,75,0,0,316,0,315,1216,59,1508,308,895,1216,1508
GWINNETTDULUTH K,169,0,86,0,1,5,0,21,0,0,0,6,0,1,27,1,37,880,36,248,255,99,880,248
GWINNETTDUNCANS A,200,0,101,0,2,70,2,322,2,0,1,67,1,1,437,0,465,814,108,2109,301,1370,814,2109
GWINNETTDUNCANS B,134,1,88,2,2,66,2,356,2,0,4,60,0,1,311,0,451,769,108,2119,225,1255,769,2119
GWINNETTDUNCANS C,115,0,54,0,3,36,0,217,0,0,1,60,0,0,343,0,315,497,78,1509,169,975,497,1509
GWINNETTDUNCANS D,190,0,109,3,1,95,2,406,2,0,0,105,0,4,485,0,582,1028,152,2675,302,1682,1028,2675
GWINNETTGARNERS A,208,3,167,0,6,71,3,262,1,1,4,76,0,2,344,0,298,889,121,1325,378,1068,889,1325
GWINNETTGARNERS B,364,5,160,0,4,30,1,147,1,0,1,32,0,1,167,1,157,1219,55,713,529,542,1219,713
GWINNETTGARNERS C,129,1,100,0,4,20,0,98,2,0,3,16,0,1,102,0,126,604,60,552,230,372,604,552
GWINNETTGARNERS D,428,1,175,0,4,19,1,117,0,0,0,23,0,1,111,0,114,1337,45,534,604,390,1337,534
GWINNETTGARNERS F,112,2,78,0,0,28,2,116,0,0,1,22,0,2,112,0,119,467,49,523,192,402,467,523
GWINNETTGOODWINS A,282,1,171,2,1,21,2,167,2,2,0,41,0,0,208,1,234,1215,99,940,456,679,1215,940
GWINNETTGOODWINS B,221,0,134,2,2,61,2,267,1,0,1,45,0,5,330,1,295,933,120,1419,357,1010,933,1419
GWINNETTGOODWINS C,376,0,199,3,0,31,0,184,1,0,1,46,0,0,183,0,232,1765,106,1034,578,678,1765,1034
GWINNETTGOODWINS D,252,0,196,0,1,44,1,228,3,0,3,21,0,0,239,2,267,1165,147,1165,448,809,1165,1165
GWINNETTGOODWINS E,287,0,180,0,5,41,0,237,1,0,1,62,1,2,359,0,334,1479,148,1506,467,1043,1479,1506
GWINNETTGOODWINS F,190,2,108,0,3,32,0,149,0,0,0,41,0,2,165,0,164,908,102,843,300,556,908,843
GWINNETTGOODWINS G,237,0,114,0,1,12,0,73,0,0,0,15,0,2,81,0,82,936,47,433,351,266,936,433
GWINNETTGOODWINS H,192,0,118,0,3,21,0,158,0,0,1,35,0,5,201,0,171,816,88,794,310,595,816,794
GWINNETTGOODWINS I,184,0,103,0,2,21,0,144,0,1,0,70,0,2,264,1,214,731,78,895,287,719,731,895
GWINNETTHARBINS A,337,0,121,2,1,73,0,390,0,0,2,47,0,6,286,0,467,1470,156,2026,460,1272,1470,2026
GWINNETTHARBINS B,161,1,116,1,6,68,1,293,1,0,3,38,0,2,238,0,377,897,106,1683,279,1027,897,1683
GWINNETTHARBINS C,84,0,51,1,2,50,0,203,0,0,2,15,0,1,160,0,246,468,58,1076,136,679,468,1076
GWINNETTHOG MOUNTAIN A,285,3,175,2,3,40,1,195,1,0,0,30,0,2,201,0,200,1351,119,1177,465,673,1351,1177
GWINNETTHOG MOUNTAIN B,274,0,115,0,6,69,0,289,1,0,0,53,0,0,338,1,433,1097,107,1767,389,1190,1097,1767
GWINNETTHOG MOUNTAIN C,169,2,124,0,7,45,0,265,0,1,1,36,0,0,207,1,298,910,109,1372,295,861,910,1372
GWINNETTHOG MOUNTAIN D,158,1,86,2,3,33,0,231,0,0,0,23,0,3,164,1,232,706,98,1107,247,690,706,1107
GWINNETTLAWRENCEVILLE A,224,1,79,0,5,28,1,149,0,0,0,31,0,1,133,1,215,1052,70,891,304,564,1052,891
GWINNETTLAWRENCEVILLE B,451,0,160,0,5,29,0,145,0,0,3,27,0,1,163,0,228,1754,71,926,611,601,1754,926
GWINNETTLAWRENCEVILLE C,141,0,91,2,7,41,1,194,0,0,0,25,0,3,160,0,271,624,107,1064,234,702,624,1064
GWINNETTLAWRENCEVILLE D,333,2,120,1,2,17,1,81,0,0,1,16,0,2,61,0,127,1753,69,548,456,308,1753,548
