precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
EMANUELCROSS-GREEN,46,0,6,0,0,2,0,9,0,0,1,0,0,0,1,0,12,93,0,41,52,25,93,41
EMANUELGARFIELD,20,1,5,0,2,10,0,33,0,0,0,8,0,0,20,0,79,53,5,261,26,152,53,261
EMANUELNAN,758,5,145,4,13,198,2,695,3,2,12,87,1,5,463,0,1496,2435,75,5335,912,2977,2435,5335
EMANUELNUNEZ,13,0,7,0,0,7,0,15,0,0,0,3,0,0,5,0,56,54,1,162,20,86,54,162
EMANUELOAK PARK,10,1,5,0,0,11,0,54,0,0,0,3,0,0,23,0,101,21,4,352,16,192,21,352
EMANUELSTILLMORE,51,0,4,0,1,3,1,25,0,0,0,2,0,1,15,0,39,145,3,170,55,87,145,170
EMANUELSUMMERTOWN,41,0,9,1,1,10,0,32,0,0,0,0,0,0,15,0,75,90,1,230,51,133,90,230
EMANUELSWAINSBORO,399,2,82,1,5,88,1,307,0,2,6,44,0,3,252,0,635,1484,41,2345,484,1343,1484,2345
EMANUELTWIN CITY,108,0,12,2,1,19,0,73,1,0,2,11,0,0,34,0,156,322,11,571,122,297,322,571
EVANSNAN,347,5,85,5,18,80,2,329,2,0,4,42,0,1,309,0,481,1130,68,2404,442,1268,1130,2404
EVANSVETERAN'S COMM CTR,347,5,85,5,18,80,2,329,2,0,4,42,0,1,309,0,481,1130,68,2404,442,1268,1130,2404
FANNINCOLWELL,32,0,29,0,1,26,1,78,0,0,0,19,0,0,54,0,207,122,13,562,61,386,122,562
FANNINFAIRPLAY,30,0,13,0,0,19,0,58,0,0,0,6,1,0,46,0,179,107,12,532,43,309,107,532
FANNINFLINTHILL,87,1,64,3,6,51,1,179,0,0,3,21,0,1,104,0,423,287,40,1483,155,789,287,1483
FANNINHEMPTOWN,36,0,20,0,1,35,1,80,0,0,3,14,0,0,58,0,180,122,13,630,56,372,122,630
FANNINHOTHOUSE,30,0,28,0,2,25,1,70,0,0,1,9,0,0,53,0,209,108,13,611,58,370,108,611
FANNINMINERAL BLUFF,43,1,20,0,4,26,1,98,1,0,4,12,0,0,67,0,320,143,12,922,64,533,143,922
FANNINMOBILE,30,0,23,0,3,18,0,64,0,0,2,11,0,0,38,0,196,93,14,573,53,332,93,573
FANNINMORGANTON,61,0,25,0,2,44,0,117,1,0,1,26,0,0,89,0,329,225,12,985,86,609,225,985
FANNINNAN,547,4,356,5,31,351,8,1143,5,0,22,215,2,4,863,0,3006,1923,222,9632,912,5650,1923,9632
FANNINNOONTOOTLA,26,1,16,0,0,19,0,62,0,0,0,16,0,0,39,0,148,94,2,443,43,284,94,443
FANNINSKENIAH,10,0,12,0,3,8,0,23,0,0,0,6,0,0,29,0,53,50,3,165,22,122,50,165
FANNINSUGAR CREEK,69,1,47,1,2,32,2,130,0,0,3,28,0,0,104,0,357,222,34,1161,118,658,222,1161
FANNINTOCCOA,93,0,59,1,7,48,1,184,3,0,5,47,1,3,182,0,405,350,54,1565,153,886,350,1565
FAYETTEABERDEEN,74,0,54,0,4,30,0,98,0,0,0,66,1,1,186,0,253,338,44,845,128,639,338,845
FAYETTEANTIOCH,116,0,73,0,1,55,1,179,1,2,4,28,0,0,155,0,224,423,62,854,189,650,423,854
FAYETTEBANKS,165,0,61,1,3,23,0,102,0,0,2,27,0,1,98,0,159,491,39,599,227,415,491,599
FAYETTEBLACKROCK,476,1,107,0,3,34,0,129,4,1,4,35,1,1,142,1,123,1215,56,628,584,478,1215,628
FAYETTEBRAELINN,77,1,46,3,6,60,1,148,2,0,1,65,0,0,283,2,248,278,60,1097,127,816,278,1097
FAYETTEBROOKS,42,0,26,0,1,61,1,263,0,0,1,38,0,0,198,2,409,194,62,1468,68,974,194,1468
FAYETTECAMP CREEK,79,0,73,0,3,45,0,122,1,0,0,56,0,1,219,0,230,382,53,953,152,677,382,953
FAYETTEDOGWOOD-03,112,0,57,1,6,25,1,199,3,0,0,24,0,0,187,0,228,409,46,929,170,673,409,929
FAYETTEDOGWOOD-13,58,0,21,0,3,11,0,81,0,0,0,27,0,0,96,0,104,199,20,404,79,322,199,404
FAYETTEEUROPE,903,3,172,2,4,16,0,48,1,0,0,14,0,1,53,1,80,1903,36,286,1080,218,1903,286
FAYETTEFAYETTEVILLE EAST,202,0,80,0,1,24,2,100,1,0,1,23,0,1,114,0,148,634,38,611,282,415,634,611
FAYETTEFAYETTEVILLE WEST,125,3,64,0,0,42,2,117,0,0,0,16,0,0,84,0,137,489,32,628,192,398,489,628
FAYETTEFIELDING RIDGE,188,3,108,0,9,59,0,185,0,0,0,124,0,1,455,2,322,789,117,1655,299,1157,789,1655
FAYETTEFLAT CREEK,115,0,74,1,4,47,0,116,1,0,1,60,0,3,218,0,163,491,65,806,190,613,491,806
FAYETTEFLINT,186,0,56,0,1,19,2,104,0,0,0,17,0,0,65,0,142,562,27,493,242,350,562,493
FAYETTEHARPS CROSSING,110,0,46,0,3,37,0,191,3,0,0,41,0,2,157,0,185,359,29,837,156,619,359,837
FAYETTEHOPEFUL,338,0,78,1,0,37,0,108,1,0,1,15,0,2,72,0,195,731,44,612,417,431,731,612
FAYETTEJEFF DAVIS,318,2,77,1,3,28,0,97,1,0,0,22,0,1,102,0,185,985,44,714,398,439,985,714
FAYETTEKEDRON,184,1,123,0,3,46,0,163,2,0,0,65,0,2,239,1,286,899,87,1284,308,807,899,1284
FAYETTEKENWOOD,244,0,62,0,1,6,1,34,0,0,0,7,0,2,26,2,39,519,16,156,306,118,519,156
FAYETTEMCINTOSH,174,3,89,1,2,50,1,203,0,0,1,130,0,1,385,0,323,714,73,1549,267,1096,714,1549
FAYETTEMORNING CREEK,407,1,125,0,3,35,0,177,0,0,0,39,1,2,193,1,215,1088,51,919,533,666,1088,919
FAYETTEMURPHY,264,0,99,0,5,59,2,231,1,0,1,32,0,2,233,0,267,883,68,1215,363,833,883,1215
FAYETTENAN,7267,22,2925,15,125,1511,23,5813,33,4,35,1741,3,40,7258,16,8060,23284,2103,35048,10229,24662,23284,35048
