precinct,pri_dem_CLINTON,pri_dem_O'MAILEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_ind_CASTLE,gen_ind_FOX,gen_ind_FUENTE,gen_ind_HOEFLING,gen_ind_JOHNSON,gen_ind_KENNEDY,gen_ind_KOTLIKOFF,gen_ind_MCMULLIN,gen_ind_SCHOENKE,gen_ind_SMITH,gen_ind_STEIN,gen_rep_TRUMP,gen_unk_LIMBAUGH,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
SHELBYMEMPHIS 41-3,641,2,86,0,2,0,8,0,0,0,0,2,0,0,5,0,2,1558,0,0,7,0,11,3,0,2,0,3,13,32,0,729,19,1558,32
SHELBYMEMPHIS 42-1,622,4,48,0,1,1,2,0,0,0,0,0,0,0,0,0,4,1610,0,0,4,0,6,1,0,1,0,3,7,35,0,674,8,1610,35
SHELBYMEMPHIS 44-1,222,0,209,5,28,0,176,0,0,0,1,87,0,2,311,1,189,1122,3,0,8,0,129,4,0,41,0,7,29,1215,0,431,800,1122,1215
SHELBYMEMPHIS 44-5,397,0,132,17,15,1,54,1,0,0,2,52,1,0,104,0,78,1190,1,0,4,0,47,2,0,19,0,6,8,440,0,529,325,1190,440
SHELBYMEMPHIS 45-2,809,0,111,1,1,0,10,0,0,0,0,4,0,2,3,0,9,2145,0,0,4,0,9,4,0,0,0,1,6,75,0,920,30,2145,75
SHELBYMEMPHIS 45-4,475,3,325,6,26,1,102,0,0,0,1,138,0,2,318,2,146,1946,0,0,7,0,141,4,0,24,0,3,40,983,0,803,742,1946,983
SHELBYMEMPHIS 46-2,264,1,246,9,43,1,172,0,1,0,2,70,0,5,234,0,155,1174,0,0,2,0,108,2,0,35,0,9,30,1039,0,511,692,1174,1039
SHELBYMEMPHIS 47,684,2,64,0,4,0,1,0,0,0,0,1,0,0,0,0,6,1816,0,0,2,0,8,4,0,0,0,5,1,31,0,750,12,1816,31
SHELBYMEMPHIS 49,797,0,60,0,0,0,0,1,1,0,0,0,0,0,0,0,5,1824,0,0,2,0,9,1,0,0,0,3,8,25,0,857,7,1824,25
SHELBYMEMPHIS 50-1,308,0,29,0,1,0,1,0,0,0,1,0,0,0,1,0,2,756,0,0,3,0,4,0,0,0,0,0,1,12,0,337,6,756,12
SHELBYMEMPHIS 50-2,532,1,44,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1328,0,0,7,0,2,3,0,0,0,0,3,24,0,577,5,1328,24
SHELBYMEMPHIS 52-1,380,0,40,2,0,0,5,0,0,0,0,0,0,0,4,0,5,912,0,0,2,0,12,0,0,1,0,2,10,37,0,420,16,912,37
SHELBYMEMPHIS 53-1,246,2,108,2,19,1,102,0,0,0,2,10,0,0,46,0,175,968,1,0,4,0,43,2,0,5,0,9,7,611,0,356,357,968,611
SHELBYMEMPHIS 54,231,1,183,11,36,1,206,1,1,0,4,28,0,1,103,0,314,1083,8,0,4,0,54,5,0,19,0,8,41,1324,0,415,706,1083,1324
SHELBYMEMPHIS 55-2,194,0,137,7,26,1,189,1,1,0,2,162,1,2,396,0,171,888,3,0,0,0,141,1,0,40,0,4,18,1317,0,331,959,888,1317
SHELBYMEMPHIS 57,268,2,169,16,36,0,206,0,0,0,0,259,0,0,576,1,293,1216,0,0,5,0,119,1,0,40,0,8,16,1924,0,439,1387,1216,1924
SHELBYMEMPHIS 58-1,448,1,125,2,12,0,47,0,0,1,0,8,0,0,21,0,47,1355,2,0,3,0,13,4,0,5,0,1,12,232,0,574,138,1355,232
SHELBYMEMPHIS 58-4,395,2,92,3,9,0,62,0,0,0,1,10,0,0,33,0,62,1337,2,0,6,0,24,1,0,4,0,2,12,325,0,489,180,1337,325
SHELBYMEMPHIS 59-5,839,6,70,1,7,0,3,0,0,0,1,1,1,0,0,0,10,1968,1,0,5,0,2,2,0,0,0,0,4,54,0,915,24,1968,54
SHELBYMEMPHIS 60-3,566,0,48,1,2,0,3,1,0,0,0,0,0,0,1,0,3,1332,0,0,4,0,7,2,0,0,0,5,1,30,0,614,11,1332,30
SHELBYMEMPHIS 60-5,248,0,36,0,2,0,6,0,0,0,0,0,0,0,1,0,11,790,0,0,1,0,8,2,0,0,0,3,6,45,0,284,20,790,45
SHELBYMEMPHIS 60-6,439,0,32,0,2,0,6,0,0,0,0,0,0,0,1,0,7,1033,0,0,1,0,4,1,0,0,0,5,5,43,0,471,16,1033,43
SHELBYMEMPHIS 60-7,828,3,68,1,8,0,15,1,0,2,3,0,0,0,3,0,16,2225,0,0,2,0,16,2,0,0,0,2,7,111,0,899,49,2225,111
SHELBYMEMPHIS 60-9,471,3,36,1,5,0,0,0,0,0,0,0,0,0,1,0,2,1239,0,0,3,0,5,2,0,1,0,0,5,18,0,510,9,1239,18
SHELBYMEMPHIS 61,412,2,33,0,2,0,1,0,0,0,0,2,0,1,3,0,2,1043,0,0,4,0,9,2,0,2,0,2,5,15,0,447,11,1043,15
SHELBYMEMPHIS 62,123,0,42,4,8,1,64,1,0,0,1,5,0,0,35,0,99,553,2,0,6,0,8,1,0,2,0,2,7,407,0,165,218,553,407
SHELBYMEMPHIS 64,229,1,147,8,32,1,187,1,0,0,0,116,0,2,307,0,160,911,1,0,2,0,116,4,0,38,0,4,20,1210,0,377,814,911,1210
SHELBYMEMPHIS 66,326,1,203,4,39,0,189,0,0,0,3,38,0,4,166,0,177,1230,4,0,3,0,106,7,0,17,0,10,26,979,0,530,620,1230,979
SHELBYMEMPHIS 67-1,198,0,151,5,32,0,178,2,0,1,0,71,0,0,179,0,230,877,0,0,4,0,112,2,0,29,0,2,23,1127,0,349,698,877,1127
SHELBYMEMPHIS 67-3,126,0,98,2,38,0,179,0,0,1,0,45,0,1,177,1,153,513,0,0,0,0,62,0,0,19,0,7,16,937,0,224,597,513,937
SHELBYMEMPHIS 68-1,171,2,119,10,31,1,120,0,0,0,1,49,0,2,172,0,156,695,3,0,5,1,60,3,0,18,0,3,24,793,0,292,542,695,793
SHELBYMEMPHIS 68-3,186,1,128,8,24,0,158,0,0,0,1,115,0,1,314,1,177,902,0,0,0,0,62,2,0,22,0,4,17,1215,0,315,799,902,1215
SHELBYMEMPHIS 69-2,180,1,30,0,5,0,26,0,0,0,0,3,0,0,8,0,40,665,1,0,4,0,3,2,0,2,0,2,3,149,0,211,82,665,149
SHELBYMEMPHIS 70-1,395,0,39,0,5,1,35,0,0,0,0,2,0,0,10,0,46,1343,0,0,4,0,4,1,0,0,0,0,5,162,0,434,99,1343,162
SHELBYMEMPHIS 70-2,392,0,57,0,4,0,10,0,0,0,1,0,0,0,14,0,29,1286,0,0,1,0,9,0,0,3,0,2,7,115,0,449,58,1286,115
SHELBYMEMPHIS 71-4,835,4,65,4,7,0,16,0,0,0,1,0,0,1,10,0,37,2367,0,0,5,0,18,4,0,1,0,3,7,141,0,904,76,2367,141
SHELBYMEMPHIS 72-3,589,0,56,1,6,1,19,0,0,0,2,2,0,0,6,0,41,1751,0,0,5,0,7,5,0,0,0,4,7,150,0,645,78,1751,150
SHELBYMEMPHIS 72-7,593,2,67,2,8,1,39,0,0,0,0,3,1,1,11,1,47,1541,0,0,7,0,18,1,0,2,0,3,16,179,0,662,114,1541,179
SHELBYMEMPHIS 73-1,291,1,26,1,0,0,5,0,0,0,0,4,0,0,3,0,18,816,0,0,0,0,3,3,0,1,0,0,4,61,0,318,31,816,61
SHELBYMEMPHIS 73-3,517,3,55,1,5,0,14,0,0,0,0,0,0,0,7,1,18,1692,0,0,5,0,7,0,0,0,0,2,5,132,0,575,46,1692,132
SHELBYMEMPHIS 74-1,576,4,91,2,5,0,41,0,0,0,0,6,0,1,21,0,40,1954,0,0,1,0,21,4,0,0,0,4,10,193,0,671,116,1954,193
SHELBYMEMPHIS 74-2,727,5,80,0,9,0,20,0,0,0,1,4,0,1,26,1,23,2005,1,0,3,0,15,3,0,1,0,4,8,153,0,812,85,2005,153
SHELBYMEMPHIS 74-5,483,2,59,0,9,0,34,0,0,0,1,5,0,0,28,0,33,1354,0,0,4,0,7,1,0,3,0,3,8,209,0,544,110,1354,209
SHELBYMEMPHIS 74-9,394,0,40,0,4,0,8,0,0,0,0,0,0,0,5,1,9,1291,0,0,1,0,7,0,0,0,0,2,16,75,0,434,27,1291,75
SHELBYMEMPHIS 75-1,514,0,34,1,0,0,2,0,0,0,0,0,0,0,0,0,6,1308,0,0,1,0,11,1,0,0,0,0,6,23,0,548,9,1308,23
SHELBYMEMPHIS 75-11,1025,3,87,0,1,1,3,0,0,0,2,1,0,0,1,0,5,2437,0,0,3,0,6,3,0,0,0,1,10,48,0,1115,14,2437,48
SHELBYMEMPHIS 75-6,1119,6,89,0,3,1,3,0,0,0,0,0,0,1,4,0,8,2587,0,0,6,2,9,3,0,0,0,5,6,35,0,1214,20,2587,35
SHELBYMEMPHIS 75-7,772,3,67,0,1,0,2,1,0,0,0,0,0,0,1,0,5,2098,0,0,5,0,9,0,0,0,0,3,6,28,0,842,10,2098,28
SHELBYMEMPHIS 76-4,745,1,64,0,4,0,7,0,0,1,0,0,0,0,4,0,4,1592,0,0,6,0,12,0,0,3,0,0,6,31,0,810,20,1592,31
SHELBYMEMPHIS 76-5,512,2,27,0,2,0,2,0,0,0,0,1,0,0,0,0,0,1352,0,0,0,0,7,1,0,1,0,1,4,22,0,541,5,1352,22
SHELBYMEMPHIS 76-6,910,5,56,2,9,0,8,0,0,0,0,3,0,0,6,0,6,2157,0,0,3,0,12,5,0,0,0,3,7,51,0,971,34,2157,51
SHELBYMEMPHIS 77-1,1013,3,127,1,9,0,6,0,0,0,1,2,0,0,6,0,22,2239,0,0,3,0,11,0,0,0,0,2,6,80,0,1143,47,2239,80
SHELBYMEMPHIS 77-3,600,0,84,0,1,0,11,0,0,0,0,0,0,0,3,0,17,1648,0,0,3,0,5,3,0,0,0,0,9,79,0,684,32,1648,79
SHELBYMEMPHIS 78-3,648,0,61,3,2,0,4,0,0,0,0,1,0,0,5,0,16,1858,0,0,2,0,13,2,0,0,0,1,5,64,0,709,31,1858,64
SHELBYMEMPHIS 79-1,879,7,76,0,2,0,4,0,0,0,1,3,0,0,2,0,19,2444,0,0,7,0,11,5,0,0,0,3,5,67,0,962,31,2444,67
SHELBYMEMPHIS 79-2,849,2,72,0,2,0,16,0,0,0,0,3,0,0,9,0,15,1819,0,0,2,0,7,0,0,0,0,5,4,77,0,923,45,1819,77
SHELBYMEMPHIS 79-3,880,3,87,2,7,0,11,0,0,0,0,3,0,0,8,0,14,2101,0,0,1,0,8,1,0,2,0,3,7,74,0,970,45,2101,74
SHELBYMEMPHIS 79-7,586,1,44,0,2,0,2,0,0,0,0,0,0,0,2,0,2,1347,0,0,3,0,8,2,0,2,0,3,6,35,0,631,8,1347,35
SHELBYMEMPHIS 80-2,291,4,112,16,30,0,165,0,0,1,4,118,0,0,342,1,216,1107,1,0,6,0,78,0,1,10,0,4,10,1277,0,407,893,1107,1277
SHELBYMEMPHIS 81-1,236,1,93,8,25,1,130,1,0,0,1,93,0,1,344,0,180,1043,3,0,1,0,71,1,0,15,0,7,14,1233,0,330,784,1043,1233
SHELBYMEMPHIS 81-3,188,0,82,6,31,1,194,1,0,0,1,90,0,0,303,0,214,838,3,0,1,0,76,4,0,26,0,1,6,1317,0,270,841,838,1317
SHELBYMEMPHIS 81-5,451,0,87,4,19,1,58,0,0,0,0,31,0,1,73,0,74,1307,1,0,4,0,30,5,0,0,0,0,8,403,0,538,261,1307,403
SHELBYMEMPHIS 81-7,546,2,236,7,46,2,199,1,1,0,0,64,0,1,188,1,199,1881,4,0,3,0,71,1,0,16,0,4,30,1049,0,784,709,1881,1049
SHELBYMEMPHIS 82-2,263,1,25,0,0,0,1,0,0,0,0,1,0,0,5,0,15,560,0,0,0,0,4,0,0,0,0,3,1,54,0,289,22,560,54
SHELBYMEMPHIS 83,196,2,18,0,7,0,5,0,0,0,0,1,0,0,2,0,9,606,1,0,3,0,4,1,0,1,0,0,2,54,0,216,24,606,54
SHELBYMEMPHIS 84-2,241,0,30,0,2,0,8,0,0,0,0,1,0,0,5,0,6,587,0,1,0,0,4,0,0,1,0,2,4,25,0,271,22,587,25
SHELBYMEMPHIS 86,724,1,99,6,13,0,68,0,1,0,1,14,0,1,26,0,67,2060,1,0,8,0,25,5,0,3,0,3,11,319,0,824,197,2060,319
SHELBYMEMPHIS 87-2,442,0,81,3,7,0,21,1,0,0,0,2,0,0,9,1,27,1515,0,0,2,0,19,3,0,0,0,0,8,140,0,523,71,1515,140
SHELBYMEMPHIS 87-3,699,5,126,7,28,1,129,0,0,0,1,18,0,0,65,0,130,2141,1,0,1,0,39,6,0,3,0,4,10,614,0,830,379,2141,614
SHELBYMEMPHIS 87-4,351,0,89,0,15,0,87,0,0,0,1,10,0,1,50,0,115,1224,0,0,2,0,29,0,0,5,0,2,11,603,0,440,279,1224,603
SHELBYMEMPHIS 88-2,341,0,54,2,10,0,52,0,1,0,0,9,0,0,26,1,30,869,0,0,2,0,24,1,0,3,0,2,7,204,0,395,131,869,204
SHELBYMEMPHIS 88-3,404,3,100,4,15,0,81,0,0,0,2,6,0,1,51,0,84,1514,0,0,8,0,35,0,0,5,0,5,27,367,0,507,244,1514,367
SHELBYMEMPHIS 88-4,231,0,44,0,5,0,19,0,0,0,0,3,0,0,13,0,40,921,0,0,3,0,2,1,0,0,0,0,13,147,0,275,80,921,147
SHELBYMEMPHIS 89-1,184,1,86,0,17,2,94,0,0,0,0,9,0,1,54,1,107,735,1,0,5,0,21,5,0,5,0,0,6,559,0,271,285,735,559
SHELBYMEMPHIS 89-2,218,0,109,0,15,0,109,0,0,0,1,9,0,0,69,0,102,1020,7,0,1,0,35,1,0,10,0,3,18,598,0,327,305,1020,598
SHELBYMEMPHIS 90-2,570,0,87,0,12,0,31,0,0,0,0,7,0,1,16,0,43,1875,1,0,6,0,15,4,0,1,0,3,13,227,0,657,110,1875,227
SHELBYMEMPHIS 90-3,533,1,65,0,4,0,25,0,0,0,2,5,0,0,15,0,43,1585,0,0,3,0,8,2,0,4,0,4,11,168,0,599,94,1585,168
SHELBYMEMPHIS 91-1,371,1,169,9,63,0,241,0,0,0,2,38,0,1,230,0,255,1451,9,0,2,1,71,5,0,18,0,5,17,1376,0,541,839,1451,1376
SHELBYMEMPHIS 91-2,387,2,137,4,41,0,214,0,0,0,3,52,0,0,200,0,203,1336,1,0,6,0,74,7,0,11,0,6,17,1128,0,526,717,1336,1128
SHELBYMEMPHIS 91-4,324,0,171,4,45,2,292,0,0,0,1,69,0,3,233,0,272,1283,2,0,1,0,80,4,0,8,0,8,23,1565,0,495,921,1283,1565
SHELBYMEMPHIS 92-1,278,1,28,1,2,0,3,0,0,0,1,1,0,0,1,1,10,763,0,0,1,0,6,1,0,0,0,0,1,38,0,307,20,763,38
SHELBYMEMPHIS 93-1,452,0,66,0,4,0,15,0,1,0,0,3,0,0,6,0,14,1597,1,0,3,0,6,1,0,1,0,1,6,118,0,518,43,1597,118
SHELBYMEMPHIS 93-3,276,0,49,17,8,0,28,0,0,0,5,18,0,0,39,1,51,1061,0,0,6,0,9,2,0,3,0,2,6,269,0,325,167,1061,269
SHELBYMEMPHIS 94-3,761,2,124,2,14,0,33,0,0,0,1,5,0,0,13,0,29,2284,1,0,7,0,19,2,0,8,0,3,12,162,0,887,97,2284,162
SHELBYMEMPHIS 94-6,418,0,53,3,7,0,16,0,0,0,0,1,0,0,15,0,11,1250,0,0,2,0,4,0,0,1,0,3,3,91,0,471,53,1250,91
SHELBYMEMPHIS 94-7,814,0,85,1,10,0,23,0,0,1,1,4,0,0,13,0,32,2477,0,0,4,0,23,3,0,1,0,5,15,167,0,899,85,2477,167
SHELBYMEMPHIS 94-8,611,2,95,3,8,0,35,0,0,0,0,3,0,0,18,1,32,1773,1,0,4,0,17,2,0,1,0,3,5,200,0,708,100,1773,200
SHELBYMEMPHIS 95-1,314,1,139,2,40,0,174,1,0,0,1,16,0,3,94,0,187,1278,5,0,6,0,60,5,0,2,0,8,20,1037,0,454,518,1278,1037
SHELBYMEMPHIS 95-5,247,1,89,5,49,3,232,0,0,1,2,44,0,0,151,0,202,914,1,0,2,0,50,4,0,11,0,9,13,1008,0,337,689,914,1008
SHELBYMEMPHIS 95-6,273,2,99,3,33,0,136,0,0,0,0,28,0,3,121,0,147,996,1,0,3,0,44,3,0,9,0,6,17,861,0,374,471,996,861
SHELBYMEMPHIS 95-7,226,0,90,0,21,1,137,0,0,0,1,13,0,3,76,1,142,929,1,0,4,1,41,0,0,5,0,4,14,672,0,316,395,929,672
SHELBYMEMPHIS 95-8,445,1,126,7,50,4,209,0,0,0,2,39,0,0,180,1,222,1631,1,0,2,1,48,2,0,8,0,5,11,1144,0,572,714,1631,1144
SHELBYMEMPHIS 96-1,300,1,103,3,37,1,145,1,0,0,0,24,0,0,86,0,113,1211,0,0,6,0,49,1,0,7,0,6,13,739,0,404,410,1211,739
SHELBYMEMPHIS 96-2,319,0,139,5,43,0,236,0,0,0,1,41,0,1,142,0,242,1301,2,0,2,0,57,0,0,9,0,4,15,1209,0,458,711,1301,1209
SHELBYMILLINGTON 01,369,1,91,11,93,1,355,0,0,2,2,33,0,0,144,0,522,1006,1,0,4,0,81,4,0,11,0,9,13,1994,0,461,1163,1006,1994
SHELBYMILLINGTON 02,389,3,116,18,72,3,285,0,0,0,2,33,0,3,139,0,444,1230,4,0,6,0,85,7,0,6,0,9,24,1720,0,508,999,1230,1720
SHELBYMORNING SUN 01,560,2,143,0,43,0,124,1,0,0,1,14,0,1,101,0,150,2292,4,0,6,0,57,1,0,12,0,9,14,972,0,705,435,2292,972
SHELBYMORNING SUN 02,201,0,70,7,38,2,177,1,0,0,1,31,0,1,134,0,205,783,4,0,4,0,35,1,0,16,0,7,10,990,0,271,597,783,990
SHELBYROSS 05,849,0,92,0,18,0,53,0,0,0,1,7,0,0,22,0,35,2256,2,0,3,0,21,3,0,0,0,1,9,209,0,941,136,2256,209
SHELBYROSS 13,993,3,132,2,12,1,35,0,0,0,0,4,0,0,21,0,47,2877,0,0,4,0,24,3,0,0,0,0,14,217,0,1128,122,2877,217
SHELBYROSS 14,638,1,87,1,6,0,22,0,0,0,0,3,0,0,12,0,19,1990,0,0,2,0,12,1,0,2,0,2,6,116,0,726,63,1990,116
SHELBYROSS 15,481,1,78,1,11,0,15,0,0,0,1,8,0,1,9,0,18,1662,0,0,1,0,14,5,0,3,0,4,9,108,0,560,64,1662,108
SHELBYROSS 16,1036,1,137,1,11,0,25,0,0,0,0,5,0,0,21,0,48,2966,0,0,3,0,14,3,0,4,0,8,7,196,0,1174,111,2966,196
SHELBYSTEWARTVILLE,224,0,75,8,81,0,372,0,0,0,2,43,1,2,192,0,462,697,0,0,2,0,47,1,0,6,0,7,21,2200,0,299,1163,697,2200
SMITH01 DEFEATED,64,1,32,0,44,0,132,0,0,0,3,9,1,2,42,0,218,170,0,0,0,0,24,1,0,0,0,3,6,749,1,97,451,170,749
SMITH02 TANGLEWOOD,107,1,41,4,31,0,128,0,0,1,1,21,0,1,52,0,189,263,2,0,0,0,30,1,0,2,0,3,3,733,0,149,428,263,733
SMITH03 NEW MIDDLETON,75,0,33,3,32,1,164,1,1,0,0,15,0,2,40,1,200,213,0,0,0,0,20,2,0,1,0,2,2,854,0,108,460,213,854
SMITH04 ROCK CITY,68,1,24,3,31,0,108,0,0,0,3,0,0,0,41,0,187,168,0,0,0,0,29,1,0,0,0,1,4,715,0,93,373,168,715
SMITH05 GORDONSVILLE,86,2,15,2,33,1,121,0,0,0,3,3,0,0,40,1,198,246,0,0,1,0,21,2,0,0,0,2,6,832,0,103,402,246,832
SMITH06 CARTHAGE,100,2,40,1,23,0,58,0,0,0,1,8,0,0,28,0,99,235,0,0,2,0,9,2,0,0,0,4,5,425,0,142,218,235,425
SMITH07 SOUTH CARTHAGE,87,1,36,5,21,0,72,0,0,0,1,3,0,0,43,0,166,211,0,0,1,1,23,1,0,0,0,3,2,619,0,124,311,211,619
SMITH08 ELMWOOD,67,0,32,5,18,1,83,0,0,0,1,5,0,0,30,0,162,183,0,0,2,0,15,1,0,0,0,1,2,567,0,99,305,183,567
STEWART1-1 INDIAN MOUND,65,2,24,1,12,1,51,0,0,0,0,15,0,0,39,0,130,151,3,0,1,0,19,0,0,1,0,1,5,468,0,91,249,151,468
STEWART2-1 BIG ROCK,46,2,18,3,17,0,56,0,0,0,1,7,0,0,33,0,142,131,0,0,1,0,17,0,0,3,0,1,5,541,0,66,259,131,541
STEWART3-1 BUMPUS MILLS,55,2,29,3,14,0,85,0,0,0,1,6,0,0,56,0,93,129,0,0,1,0,22,2,0,3,0,2,3,479,0,86,258,129,479
STEWART4-1 CHURCH STREET,63,0,29,2,20,0,50,0,0,0,1,7,0,0,58,0,136,138,0,0,0,0,21,1,0,0,0,2,1,550,0,92,274,138,550
STEWART5-1 VISITORS CENTER,116,1,44,1,27,0,73,0,0,0,0,10,0,0,37,1,161,228,0,0,3,0,24,1,0,2,0,4,3,565,0,161,310,228,565
STEWART6-1 PUBLIC LIBRARY,74,1,41,2,19,1,64,0,1,0,0,9,0,1,40,0,120,181,1,0,4,0,18,0,0,1,0,1,1,599,0,116,257,181,599
STEWART7-1 CUMBERLAND CITY,64,4,47,1,20,1,56,0,0,0,0,8,0,2,36,1,148,178,0,0,3,0,19,0,0,2,0,1,2,520,0,115,273,178,520
STEWARTPAPER BALLOTS,44,2,12,2,1,0,8,0,0,1,0,1,0,0,2,0,23,86,0,0,0,0,7,0,0,0,0,0,1,142,0,58,38,86,142
SULLIVAN10A,151,4,101,33,97,6,304,0,1,1,2,129,0,1,351,1,424,768,0,0,4,0,134,8,0,7,0,7,13,2349,0,256,1350,768,2349
SULLIVAN10B,89,1,59,8,66,0,149,0,0,0,2,23,0,1,118,0,294,335,2,0,3,0,33,0,0,3,0,3,7,1466,0,149,661,335,1466
SULLIVAN11A,257,4,203,29,131,2,300,2,1,1,6,123,0,5,348,3,577,1314,1,0,9,1,168,7,0,14,0,19,22,2953,0,464,1528,1314,2953
SULLIVAN11B,110,2,105,9,23,0,123,0,0,0,2,24,0,0,111,0,205,605,0,0,5,0,62,2,0,1,0,4,19,1121,0,217,497,605,1121
SULLIVAN1A,77,1,72,2,38,1,183,0,1,0,2,14,0,2,112,0,313,322,1,0,5,1,49,2,0,1,0,16,18,1661,0,150,668,322,1661
SULLIVAN2A,171,5,157,13,62,1,247,0,0,0,1,45,0,7,138,1,406,786,3,0,3,0,122,6,0,4,0,10,30,2107,0,333,921,786,2107
SULLIVAN2B,121,2,84,4,86,1,244,1,1,0,2,69,1,4,242,0,339,577,7,0,3,0,87,1,0,10,0,5,10,1756,0,207,994,577,1756
SULLIVAN2C,82,2,70,5,51,1,225,0,0,1,0,21,0,1,125,1,284,390,2,0,2,0,31,3,0,8,0,4,7,1493,0,154,715,390,1493
SULLIVAN3A,112,0,126,6,51,1,195,1,1,1,2,36,0,1,146,1,310,504,1,0,9,0,75,1,0,8,0,4,20,1641,0,238,752,504,1641
SULLIVAN4A,175,5,132,13,106,5,531,2,0,0,6,52,0,1,263,3,659,811,6,0,9,2,82,5,0,16,0,11,23,3623,0,312,1641,811,3623
SULLIVAN4B,67,0,61,11,43,2,277,0,0,0,1,41,0,3,121,0,312,336,0,0,1,0,54,2,0,5,0,4,6,1789,0,128,811,336,1789
SULLIVAN4C,56,0,59,2,43,2,160,2,0,1,1,25,0,1,110,0,252,230,1,0,2,0,39,1,0,3,0,3,11,1302,0,115,599,230,1302
SULLIVAN5A,145,0,101,9,82,3,330,3,0,0,3,59,0,0,212,2,464,565,2,0,4,0,59,1,0,6,0,3,14,2331,0,246,1167,565,2331
SULLIVAN5B,89,2,62,3,42,1,191,1,0,1,2,16,0,3,95,0,309,323,2,0,1,0,52,2,0,9,0,4,4,1373,0,153,664,323,1373
SULLIVAN5C,23,0,13,0,19,0,100,0,0,1,0,7,0,0,30,0,159,98,0,0,0,0,22,1,0,0,0,2,4,666,0,36,316,98,666
SULLIVAN6A,145,2,103,19,172,1,536,1,0,0,2,88,0,3,391,1,561,706,10,0,4,4,134,1,0,13,0,15,20,3349,0,250,1775,706,3349
SULLIVAN6B,100,2,79,12,69,1,287,0,1,0,3,45,0,1,182,2,393,494,1,0,5,0,68,3,0,3,0,7,20,2287,0,181,996,494,2287
SULLIVAN6C,66,2,42,5,35,0,158,0,0,0,0,9,0,0,73,0,243,237,1,0,5,0,20,5,0,3,0,7,7,1239,0,110,523,237,1239
SULLIVAN7A,144,1,104,24,115,1,294,1,0,0,1,83,0,5,306,1,449,615,1,0,7,0,86,5,0,11,0,14,20,2114,0,249,1280,615,2114
SULLIVAN7B,99,1,73,5,93,1,248,2,0,0,3,37,0,2,208,0,274,418,1,0,1,1,95,3,0,14,0,3,14,1706,0,173,873,418,1706
SULLIVAN7C,63,1,35,6,55,0,115,1,0,0,1,29,0,2,92,1,207,230,0,0,1,0,32,1,0,6,0,2,7,1013,0,99,509,230,1013
SULLIVAN8A,140,0,110,16,101,0,356,1,0,0,7,71,0,3,294,0,506,641,3,0,5,0,103,3,0,4,0,10,15,2738,0,250,1355,641,2738
SULLIVAN8B,61,1,49,7,51,1,204,0,0,1,0,19,0,1,140,0,234,286,4,0,4,0,38,3,0,3,0,7,6,1358,0,111,658,286,1358
SULLIVAN9A,87,1,118,8,68,2,279,0,0,0,3,36,0,4,175,0,445,582,3,0,1,0,84,7,0,6,0,6,26,2491,0,206,1020,582,2491
SULLIVAN9B,96,1,63,14,39,1,117,0,0,0,1,75,0,1,203,0,223,405,2,0,3,0,64,0,0,13,0,0,12,1053,0,160,674,405,1053
SUMNER1-1 WESTMORELAND,125,0,67,3,71,0,211,0,0,1,5,14,0,0,116,0,352,372,0,0,3,0,55,1,0,5,0,5,8,1588,0,192,773,372,1588
SUMNER1-3 CORINTH,102,2,56,2,94,0,274,1,0,0,4,25,0,3,102,1,341,390,0,0,5,0,52,4,0,2,0,4,11,1660,0,160,847,390,1660
SUMNER10-1 WALTON FERRY,140,0,104,3,54,1,189,0,0,0,1,34,0,2,140,0,246,722,2,0,2,0,79,3,0,6,0,6,20,1282,0,244,670,722,1282
SUMNER10-2 MERROL HYDE,208,3,127,1,104,0,348,1,0,0,1,44,0,1,284,0,439,968,0,0,5,0,118,3,0,23,0,8,23,2197,0,338,1223,968,2197
SUMNER11-3 MILLERSVILLE,97,1,51,2,46,0,170,0,1,0,2,17,0,1,65,1,209,388,0,0,5,0,53,4,0,2,0,2,5,1038,0,149,514,388,1038
SUMNER12-1 OAKMONT,120,2,56,2,120,0,375,0,0,0,2,39,0,2,177,0,426,514,0,0,4,0,67,3,0,1,0,14,14,2362,0,178,1143,514,2362
SUMNER12-3 WHITE HOUSE,111,0,94,5,125,1,331,0,0,0,1,23,1,4,177,1,357,508,0,0,6,0,93,0,0,8,0,8,19,2386,0,205,1026,508,2386
SUMNER2-1 PORTLAND,104,1,52,5,67,0,202,1,0,0,1,23,0,2,129,1,278,468,0,0,6,2,65,1,0,14,0,2,15,1680,0,157,709,468,1680
SUMNER2-2 WISEMAN,141,1,73,3,87,1,175,0,0,1,3,22,0,1,91,0,265,460,0,0,4,0,47,7,0,1,0,8,13,1453,0,215,649,460,1453
SUMNER3-1 CIVIC CENTER,188,2,58,5,121,4,330,0,0,1,4,45,0,2,195,0,438,679,2,0,4,0,70,3,0,27,0,4,13,2137,0,248,1145,679,2137
