precinct,pri_dem_CLINTON,pri_dem_O'MAILEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_ind_CASTLE,gen_ind_FOX,gen_ind_FUENTE,gen_ind_HOEFLING,gen_ind_JOHNSON,gen_ind_KENNEDY,gen_ind_KOTLIKOFF,gen_ind_MCMULLIN,gen_ind_SCHOENKE,gen_ind_SMITH,gen_ind_STEIN,gen_rep_TRUMP,gen_unk_LIMBAUGH,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
PERRY1-1 CEDAR CREEK,23,0,9,0,10,0,21,0,0,0,0,6,0,0,10,0,43,46,0,0,0,0,7,1,0,0,0,0,1,240,0,32,90,46,240
PERRY1-2 MARSH CREEK,10,2,1,0,1,0,21,0,0,0,0,1,0,0,2,0,39,37,0,0,0,0,5,0,0,0,0,0,0,146,0,13,64,37,146
PERRY2-1 PINEVIEW,22,0,13,1,12,0,12,2,0,0,0,2,0,0,11,0,63,76,0,0,0,0,4,0,0,0,0,0,4,229,0,35,103,76,229
PERRY2-2 POPE,17,0,7,0,3,0,22,0,0,0,0,2,0,0,12,0,47,46,0,0,0,0,4,0,0,0,0,0,4,164,0,24,86,46,164
PERRY3-1 COON CREEK,18,1,14,1,4,0,27,0,0,0,0,2,0,0,12,0,57,61,0,0,0,0,8,0,0,0,0,0,2,254,0,33,103,61,254
PERRY3-2 FLATWOODS,9,0,9,1,3,0,9,0,0,0,0,1,0,0,5,0,37,31,0,0,0,0,4,0,0,0,0,1,0,168,0,18,56,31,168
PERRY4-1 BRUSH CREEK,9,0,9,1,1,0,10,0,0,0,0,0,0,1,5,0,25,28,0,0,0,0,4,1,0,0,0,0,2,110,0,18,43,28,110
PERRY4-3 LOBELVILLE,26,0,13,3,7,1,31,0,0,0,0,2,0,1,19,0,64,59,0,0,1,0,10,0,0,0,0,0,1,257,0,39,128,59,257
PERRY5-1 LINDEN,57,1,23,0,5,0,32,0,0,0,1,9,0,1,35,0,94,105,0,0,2,0,9,0,0,0,0,0,6,305,0,81,177,105,305
PERRY6-1 LOBELVILLE,26,1,10,0,5,0,32,0,0,0,0,5,0,0,19,0,73,108,0,0,0,0,4,2,0,0,0,1,3,294,0,37,134,108,294
PICKETTBARNES RIDGE 4-3,14,0,2,0,6,0,17,0,0,0,1,1,0,0,4,0,30,21,0,0,0,0,0,0,0,0,0,0,0,85,0,16,59,21,85
PICKETTBOLESTOWN 4-4,7,0,1,2,3,0,5,0,0,0,0,0,0,0,6,0,21,18,0,0,0,0,1,1,0,0,0,0,0,65,0,8,37,18,65
PICKETTBOOM 4-1,14,0,6,1,10,0,36,0,0,0,0,4,0,0,8,0,50,32,0,0,0,0,3,1,0,0,0,0,0,156,0,20,109,32,156
PICKETTCHANUTE 3-1,17,0,4,3,16,0,36,0,0,0,0,1,0,0,29,0,118,53,0,0,0,0,6,0,0,0,0,0,1,341,0,21,203,53,341
PICKETTCOMMUNITY CENTER 1-1,39,1,12,6,10,0,39,0,0,0,2,6,0,0,29,0,110,94,0,0,0,0,5,0,0,1,0,1,0,369,0,52,202,94,369
PICKETTHIGH SCHOOL 2-1,61,0,10,6,16,0,63,0,0,0,1,19,0,1,35,0,95,168,0,0,1,0,10,0,0,0,0,3,1,437,0,71,236,168,437
PICKETTMOODYVILLE 1-2,12,1,8,3,7,0,30,0,0,0,0,0,0,0,14,0,39,35,0,0,0,0,2,0,0,0,0,0,1,162,0,21,93,35,162
PICKETTOAK HILL 4-2,33,0,18,2,17,0,38,0,0,0,0,14,0,0,15,0,81,82,2,0,0,0,6,0,0,1,0,3,3,271,0,51,167,82,271
PICKETTTRAVISVILLE 3-2,17,0,3,1,5,0,13,0,0,0,0,2,0,0,3,0,52,33,0,0,0,0,3,0,0,0,0,1,1,135,0,20,76,33,135
POLK1 DELANO,88,1,58,1,19,0,66,0,0,0,0,15,0,0,40,0,126,158,0,0,0,0,18,1,0,0,0,2,3,557,0,147,267,158,557
POLK1A POLK CO HIGH,78,7,49,0,5,0,42,0,0,0,1,3,0,0,33,0,110,152,0,0,0,0,15,0,0,0,0,2,4,550,0,134,194,152,550
POLK1B CHILHOWEE,145,6,92,1,25,0,56,0,0,0,1,7,0,1,51,1,151,263,0,0,2,0,13,2,0,0,0,5,3,872,0,243,294,263,872
POLK2 GREASY CREEK,21,1,19,0,2,0,12,0,0,0,0,1,0,0,3,0,33,36,0,0,0,0,1,0,0,0,0,0,1,156,0,41,51,36,156
POLK2A SPRINGTOWN,15,2,17,0,11,0,11,3,0,0,0,2,0,0,12,0,30,37,0,0,0,0,0,0,0,0,0,2,1,117,0,34,69,37,117
POLK2C SOUTH POLK,89,3,78,1,21,0,70,0,0,0,4,10,0,0,41,0,172,158,0,0,0,0,15,0,0,0,0,5,1,765,0,170,319,158,765
POLK2D SHILOH BAPTIST,102,10,93,0,33,0,59,0,0,0,1,8,0,0,65,1,175,175,0,0,0,0,22,0,0,0,0,5,10,752,0,205,342,175,752
POLK3 DUCKTOWN,90,4,51,3,21,0,68,0,0,0,0,6,0,0,27,0,132,88,0,0,0,0,10,1,0,0,0,0,2,384,0,145,257,88,384
