precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_grn_CHERNEY,pri_grn_CURRY,pri_grn_KREML,pri_grn_MESPLAY,pri_grn_STEIN,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_FEEGBEH,gen_ind_KOTLIKOFF,gen_ind_MCMULLIN,gen_ind_MOOREHEAD,gen_ind_SANDERS,gen_ind_SCHOENKE,gen_lib_JOHNSON,gen_rep_TRUMP,gen_unk_BLUMBERG,gen_unk_KASICH,gen_unk_ROMNEY,gen_unk_RYAN,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
WEYMOUTH14,206,2,2,271,0,0,0,0,0,5,8,0,24,1,0,0,35,1,0,44,0,153,776,13,0,0,3,0,0,0,30,533,0,0,0,0,481,271,776,533
WEYMOUTH15,309,2,9,322,0,0,0,0,0,4,8,0,34,0,1,0,64,0,2,67,0,206,904,25,0,0,4,0,0,0,77,716,0,0,0,0,642,386,904,716
WEYMOUTH16,321,0,6,371,0,0,0,0,0,4,12,1,47,0,0,1,71,0,1,93,0,264,917,22,0,0,5,0,0,0,77,858,0,0,0,0,698,494,917,858
WEYMOUTH17,198,1,2,252,0,0,0,0,0,6,7,0,32,0,0,0,37,0,1,48,0,166,733,23,0,0,2,0,0,0,70,499,0,0,0,0,453,297,733,499
WEYMOUTH18,346,0,4,348,0,0,0,0,0,9,16,1,53,3,2,0,109,0,1,74,0,303,1042,30,0,0,4,0,0,0,92,938,0,0,0,0,698,571,1042,938
WEYMOUTH2,325,0,4,343,0,0,0,0,0,5,13,1,37,3,0,0,58,0,0,72,0,270,931,19,0,0,10,0,0,0,68,747,0,0,0,0,672,459,931,747
WEYMOUTH3,319,1,9,344,0,0,0,0,0,4,8,0,36,0,0,0,56,0,2,71,1,292,850,31,0,0,0,0,0,0,78,829,0,0,0,0,673,470,850,829
WEYMOUTH4,256,0,4,279,0,0,0,0,0,9,5,2,46,0,1,0,63,1,2,51,2,253,837,18,0,0,1,0,0,0,75,695,0,0,0,0,539,435,837,695
WEYMOUTH5,277,0,4,275,0,0,0,0,0,7,6,1,22,0,0,1,40,1,0,40,0,130,843,27,0,0,0,0,0,0,60,495,0,0,0,0,556,248,843,495
WEYMOUTH6,362,2,3,365,0,0,0,0,1,5,4,3,29,0,1,0,66,0,0,72,0,218,960,20,0,0,5,0,0,0,68,692,0,0,0,0,732,398,960,692
WEYMOUTH7,260,3,3,251,0,0,0,0,3,3,8,0,31,1,0,0,46,0,0,63,0,203,834,17,0,0,1,0,0,0,65,619,0,0,0,0,517,355,834,619
WEYMOUTH8,288,2,5,319,1,0,0,0,0,7,9,0,30,0,0,2,43,1,1,46,0,201,870,25,0,0,1,0,0,0,67,618,0,0,0,0,614,340,870,618
WEYMOUTH9,308,0,5,344,0,0,0,0,0,4,11,0,41,1,0,0,55,0,1,75,0,277,921,12,0,0,2,0,0,0,77,758,0,0,0,0,657,465,921,758
WHATELY1,153,0,1,311,0,0,0,0,3,1,3,0,19,0,2,0,43,0,0,21,2,98,582,30,0,0,1,0,0,0,55,328,0,0,0,0,465,189,582,328
WHITMAN1,289,2,2,378,0,0,0,0,1,9,21,0,47,1,1,0,67,0,1,87,0,310,940,26,0,0,9,0,0,0,131,939,0,0,0,0,671,544,940,939
WHITMAN2,197,1,2,300,0,0,0,0,0,4,15,1,39,1,1,0,63,0,3,65,0,322,766,21,0,0,4,0,0,0,97,938,0,0,0,0,500,514,766,938
WHITMAN3,243,0,3,364,0,0,0,0,0,11,12,2,50,1,0,1,72,0,2,75,1,305,838,26,0,0,3,0,0,0,113,1052,0,0,0,0,610,532,838,1052
WHITMAN4,241,0,4,372,0,0,0,0,2,0,4,2,50,1,0,0,64,1,2,65,0,305,849,25,0,0,6,0,0,0,116,886,0,0,0,0,617,494,849,886
WILBRAHAMA,286,1,2,256,0,0,0,0,0,1,19,1,67,0,1,1,96,0,0,92,1,246,982,29,0,0,0,0,0,0,84,999,0,0,0,0,545,525,982,999
WILBRAHAMB,260,1,2,296,0,0,0,0,0,3,16,0,67,2,1,0,105,0,0,107,0,222,955,31,0,0,5,0,0,0,94,929,0,0,0,0,559,523,955,929
WILBRAHAMC,226,1,2,262,0,0,0,0,0,2,15,0,57,0,0,1,117,1,5,106,0,242,863,15,0,0,4,0,0,0,86,1029,0,0,0,0,491,546,863,1029
WILBRAHAMD,275,1,1,328,0,0,0,0,0,2,19,2,82,1,0,0,127,1,1,135,0,275,944,29,0,0,0,0,0,0,105,1053,0,0,0,0,605,645,944,1053
WILLIAMSBURG1,371,0,1,627,0,0,0,0,3,0,4,0,16,2,0,1,53,1,0,42,0,99,1207,58,0,0,0,0,0,0,69,347,0,0,0,0,999,218,1207,347
WILLIAMSTOWN1,463,1,3,351,0,0,0,0,0,4,7,0,23,0,1,0,46,0,3,64,0,55,1162,19,0,0,1,0,0,0,31,224,0,0,0,0,818,203,1162,224
WILLIAMSTOWN2,203,0,0,293,0,0,0,0,1,1,1,3,7,0,0,0,11,0,0,16,0,12,580,19,0,0,0,0,0,0,14,51,0,0,0,0,496,51,580,51
WILLIAMSTOWN3,460,0,1,436,0,0,0,0,0,1,8,0,20,0,0,1,46,0,2,37,0,56,1174,21,0,0,5,0,0,0,38,203,0,0,0,0,897,171,1174,203
WILMINGTON1,273,1,4,389,0,0,0,0,0,7,15,4,51,0,1,2,56,0,0,68,1,333,1000,17,0,0,0,0,0,0,103,980,0,0,0,0,667,538,1000,980
WILMINGTON2,280,0,2,360,0,0,0,0,0,3,8,0,53,0,0,0,90,0,0,102,0,339,995,16,0,0,0,0,0,0,86,1010,0,0,0,0,642,595,995,1010
WILMINGTON3,269,1,1,310,0,0,0,0,1,7,8,4,47,2,0,1,96,1,0,109,0,322,993,21,0,0,0,0,0,0,95,987,0,0,0,0,581,597,993,987
WILMINGTON4,305,0,3,390,0,0,0,0,0,6,12,2,79,0,1,0,91,1,4,77,0,382,1073,26,0,0,0,0,0,0,117,1093,0,0,0,0,698,655,1073,1093
WILMINGTON5,328,1,4,409,0,0,0,0,0,6,7,1,54,1,1,0,63,1,1,82,0,345,1078,20,0,0,0,0,0,0,101,1048,0,0,0,0,742,562,1078,1048
WILMINGTON6,341,1,3,351,0,0,0,0,0,6,14,0,67,0,1,0,67,1,1,88,0,358,1066,25,0,0,0,0,0,0,110,1049,0,0,0,0,696,603,1066,1049
WINCHENDON1,93,0,0,192,0,0,0,0,1,2,24,1,44,1,1,3,16,1,1,27,0,166,398,21,0,0,5,0,0,0,71,602,0,0,0,0,285,287,398,602
WINCHENDON1A,41,0,0,62,0,0,0,0,0,2,9,0,9,0,0,1,3,0,0,11,0,33,166,8,0,0,0,0,0,0,18,156,0,0,0,0,103,68,166,156
WINCHENDON2,136,0,1,232,0,0,0,0,0,4,16,3,35,0,0,0,32,0,0,36,0,205,618,31,0,0,4,0,0,0,109,786,0,0,0,0,369,331,618,786
WINCHENDON3,138,0,1,228,0,0,0,0,0,5,23,0,51,0,0,0,38,0,3,46,0,189,607,31,0,0,3,0,0,0,94,768,0,0,0,0,367,355,607,768
WINCHESTER1,392,1,3,317,0,0,0,0,0,4,3,2,32,2,0,0,87,0,0,71,0,165,1066,16,0,0,5,0,0,0,57,459,0,0,0,0,713,366,1066,459
WINCHESTER2,328,1,7,251,0,0,0,0,0,1,3,0,19,0,0,0,65,0,0,55,0,152,938,30,0,0,4,0,0,0,55,399,0,0,0,0,587,295,938,399
WINCHESTER3,494,0,4,323,0,0,0,0,0,4,4,0,17,0,1,0,130,1,1,88,1,127,1245,15,0,0,0,0,0,0,87,341,0,0,0,0,821,374,1245,341
WINCHESTER4,451,1,2,249,0,0,0,0,0,0,1,2,22,2,0,0,171,0,0,112,0,181,1131,10,0,0,4,0,0,0,87,477,0,0,0,0,703,491,1131,477
WINCHESTER5,324,0,0,179,0,0,0,0,1,4,2,2,36,1,0,0,115,0,2,119,0,175,924,15,0,0,4,0,0,0,70,584,0,0,0,0,503,456,924,584
WINCHESTER6,334,1,2,186,0,0,0,0,0,6,3,4,33,1,0,0,140,0,0,120,1,208,935,14,0,0,2,0,0,0,79,553,0,0,0,0,523,516,935,553
WINCHESTER7,418,1,1,222,0,0,0,0,1,8,3,2,26,1,0,1,168,1,0,125,1,133,1069,12,0,0,2,0,0,0,104,484,0,0,0,0,642,469,1069,484
WINCHESTER8,250,0,1,240,0,0,0,0,0,3,5,0,24,1,0,1,47,0,2,56,0,145,754,16,0,0,1,0,0,0,45,404,0,0,0,0,491,284,754,404
WINDSOR1,77,0,0,137,0,0,0,0,1,0,4,2,9,0,1,0,14,0,0,14,0,45,313,11,0,0,0,0,0,0,36,159,0,0,0,0,214,89,313,159
WINTHROP1,304,1,2,316,0,0,0,0,0,1,6,1,33,0,0,1,45,1,4,47,0,227,860,12,0,0,0,0,0,0,57,754,0,0,0,0,623,366,860,754
WINTHROP2,284,1,4,250,0,0,0,0,1,2,7,0,27,0,0,0,54,0,0,46,1,205,803,23,0,0,0,0,0,0,64,665,0,0,0,0,539,342,803,665
WINTHROP3,272,0,2,327,0,0,0,0,0,2,7,2,28,0,1,0,29,1,2,29,0,175,924,28,0,0,0,0,0,0,55,610,0,0,0,0,601,276,924,610
