precinct,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
Cullman-CULLMAN CO BLDG BA,148,5,35,1046,37,0,0,26,1,89,1,122,0,0,1,37,0,179,2,257,1234,689,63
Cullman-CULLMAN CO HEALTH DEPT,36,1,12,387,13,1,0,15,1,23,1,47,0,0,2,10,0,44,0,144,436,272,29
Cullman-DODGE CITY TOWN HALL,38,4,12,558,12,0,0,8,2,51,0,66,1,0,0,4,1,46,1,209,612,381,20
Cullman-EAST POINT COMM CTR,57,2,8,468,26,0,0,12,3,37,0,49,0,0,1,13,0,74,0,145,535,322,38
Cullman-FAIRVIEW FIRE DEPT AK,49,0,12,505,19,0,0,8,3,25,0,68,0,0,1,3,3,50,0,162,566,315,27
Cullman-FAIRVIEW TOWN HALL LZ,44,0,9,421,14,0,0,7,1,32,0,70,0,0,2,5,1,39,0,126,474,276,21
Cullman-FRIENDSHIP METH CH,80,8,18,919,24,0,0,11,1,66,1,98,0,0,1,14,1,68,1,330,1025,581,35
Cullman-GARDEN CITY TOWN HALL,44,0,9,464,16,0,0,10,1,13,0,81,0,0,1,2,1,40,0,148,517,287,26
Cullman-GOLD RIDGE COMM CTR,82,4,14,868,44,0,1,10,1,58,0,112,0,0,1,14,3,74,1,267,968,531,55
Cullman-GOOD HOPE CITY HALL,116,6,19,1084,32,0,1,31,4,102,0,108,0,0,4,20,2,87,0,366,1225,693,64
Cullman-GRANDVIEW COMM CTR,28,4,4,352,12,0,0,7,0,27,0,30,0,0,0,6,1,34,0,105,388,203,19
Cullman-HANCEVILLE CITY HALL,143,1,26,1017,53,1,1,26,1,63,1,151,0,0,2,9,0,53,2,292,1187,574,81
Cullman-HANCEVILLE REC CTR,85,2,18,746,27,0,0,11,0,50,0,110,1,0,2,5,0,55,0,227,851,450,38
Cullman-HOLLY POND FIRE DEPT,98,6,14,1426,38,0,0,27,6,100,2,219,1,1,2,25,3,110,1,502,1544,972,65
Cullman-JONES CHAPEL FIRE DEPT,98,5,12,841,35,0,0,19,3,54,2,140,0,0,2,6,0,59,1,297,956,564,54
Cullman-JOPPA FIRE DEPT,54,3,5,424,16,0,0,15,0,29,0,36,0,0,1,6,0,42,1,179,486,294,31
Cullman-KELLEY COMM CTR,93,0,16,765,28,0,0,19,0,48,1,109,0,0,2,24,2,106,1,253,874,546,47
Cullman-LOGAN FIRE DEPT,36,2,3,380,17,0,0,6,1,23,0,68,0,0,0,3,1,15,0,124,421,235,23
Cullman-MOODY TOWN UNION HILL CH,15,4,1,77,12,1,0,2,0,6,1,14,0,0,0,3,0,1,0,21,97,46,15
Cullman-NEW CANAAN SR CTR,50,0,2,558,16,0,0,15,0,37,0,77,1,0,2,5,1,43,0,180,610,346,31
Cullman-PROVIDENCE FIRE DEPT,79,1,18,727,32,0,2,19,3,53,0,79,0,0,0,16,1,57,0,222,825,431,53
Cullman-PROVISIONAL,3,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0
Cullman-SIMCOE COMM CTR,46,1,11,596,13,0,0,10,1,45,2,74,0,0,0,4,0,64,1,210,654,401,23
Cullman-STOUTS MOUNTAIN CH,19,1,3,139,10,0,0,6,0,6,0,34,0,0,1,0,0,7,0,48,162,96,16
Cullman-TRIMBLE FIRE STN,46,2,13,481,24,0,0,10,0,34,0,63,0,0,5,16,0,23,0,192,542,333,34
Cullman-VINEMONT FIRE DEPT,137,5,24,1232,53,0,1,22,0,92,1,139,0,0,4,11,1,70,3,406,1398,727,76
Cullman-VLY GROVE COMM CTR,73,2,6,808,29,0,0,20,0,52,1,94,0,0,1,10,0,45,0,330,889,533,49
Cullman-WALTER COMM CTR,54,0,11,550,19,0,0,15,2,51,0,69,0,0,0,5,2,27,1,198,615,355,34
Cullman-WELTI MT ZION CH,44,0,7,285,17,0,0,3,3,29,2,35,0,0,2,2,1,32,0,88,336,194,20
Cullman-WEST POINT COMM CTR,82,3,23,1176,34,1,0,16,0,104,1,152,0,0,2,23,1,80,0,381,1284,744,51
Cullman-WHITE CITY COMM CTR,80,2,18,792,24,0,0,17,1,54,0,104,0,0,2,12,0,68,0,266,892,507,41
Dale-ABSENTEE,180,1,22,613,5,0,0,3,4,12,1,40,0,0,4,7,0,22,0,61,816,151,8
Dale-ARGUTA COMM CTR,18,1,2,173,7,0,0,1,0,18,0,34,0,0,0,6,2,15,0,48,194,123,8
Dale-ARITON CITY HALL,82,1,7,479,35,1,1,4,1,59,1,89,0,1,10,5,0,35,1,169,569,371,41
Dale-BERTHA VOTING HALL,22,0,3,228,8,0,0,1,2,29,0,41,1,0,0,5,2,18,0,77,253,175,9
Dale-CLAYHATCHEE COMM HS,53,3,8,376,18,0,0,16,1,31,1,62,0,0,0,16,0,34,1,119,440,265,34
Dale-CLOPTON COMM HS,16,0,2,127,1,0,0,1,0,15,0,23,1,0,0,3,0,10,0,40,145,92,2
Dale-DALEVILLE CULTURAL & CONV,566,9,49,1147,190,1,3,82,9,68,0,139,2,0,5,30,2,94,2,350,1771,701,276
Dale-ECHO FIRE/RESCUE COMM,47,0,9,801,11,0,0,4,5,86,0,149,0,0,3,14,2,72,0,283,857,614,15
Dale-EWELL FIRE STN,195,2,9,841,104,0,1,15,1,68,0,149,0,1,4,14,3,64,0,276,1047,580,120
Dale-GRIMES COMM CTR,179,7,9,530,45,0,1,14,2,41,0,78,0,0,3,9,0,32,1,143,725,309,60
Dale-LEVEL PLAINS COMM CTR,410,9,28,1043,120,0,1,51,4,82,4,164,0,0,1,20,3,99,0,251,1490,628,172
Dale-MARLEY MILL FORESTRY,184,1,10,750,73,0,0,21,2,64,0,87,1,0,2,23,2,94,0,260,945,535,94
Dale-MIDLAND CITY VOTING HALL,282,3,17,559,99,0,1,23,1,48,1,74,0,0,1,5,2,35,0,166,861,333,123
Dale-NEWTON TOWN HALL,125,2,10,789,44,0,0,20,4,58,0,109,0,1,6,13,1,63,0,253,926,508,64
Dale-OZARK CIVIC CTR,1704,15,111,3039,692,1,1,127,17,258,2,445,4,0,12,126,7,306,0,972,4869,2149,821
Dale-PINCKARD TOWN HALL,142,3,20,939,48,0,0,16,2,72,0,126,0,0,2,16,1,72,0,246,1104,537,64
Dale-PROVISIONAL,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
Dale-ROCKY HD COMM HS,35,0,8,557,10,0,0,1,1,69,1,85,0,0,1,9,3,57,1,205,600,432,11
Dale-ROCKY HEAD FT RUCKER ELEM,74,3,20,154,4,0,0,8,0,9,0,10,0,0,0,1,0,10,0,13,251,43,12
Dale-SKIPPERVILLE VOTING HALL,80,2,6,491,23,0,1,5,0,52,0,69,0,0,2,11,1,46,0,180,579,361,29
Dale-SYLVAN GROVE VOTING HALL,18,0,0,165,7,0,0,2,0,11,0,35,0,0,0,0,0,16,0,39,183,101,9
Dallas-ABSENTEE,554,1,1,299,319,2,2,43,2,0,0,6,0,0,0,2,0,2,0,9,855,21,366
Dallas-BELOIT COMM CTR,110,0,0,10,89,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,120,0,95
Dallas-BROAD STREET FIRE STN,556,0,4,8,381,1,0,15,1,0,0,0,0,0,0,0,0,0,0,0,568,1,397
Dallas-CAHABA RD FIRE STN,744,1,7,289,465,5,9,122,0,5,0,5,0,0,3,1,0,3,0,23,1041,40,601
Dallas-CARLOWVILLE MINTER VFD,171,0,0,58,128,1,1,18,0,0,0,2,0,0,0,0,0,1,0,14,229,17,148
Dallas-CHRISTIAN OUTREACH ALLNCE,519,2,7,93,301,3,6,74,0,4,0,5,0,0,1,0,0,1,0,7,621,18,384
Dallas-DALLAS COUNTY CRTHOUSE,175,0,2,99,92,3,7,50,0,0,0,0,0,0,0,0,0,1,0,4,276,5,152
Dallas-EASTEND FIRE STN,587,0,1,8,427,0,2,15,0,1,0,0,0,0,0,0,0,0,0,0,596,1,444
Dallas-GOOD HOPE CH,27,0,0,49,22,0,2,11,0,0,0,1,0,0,0,0,0,1,0,4,76,6,35
Dallas-GWC HOMES CTR,361,3,0,4,246,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,368,0,261
Dallas-MARION JCT BLACKBELT EXP,252,0,0,114,180,4,6,28,0,0,0,4,0,0,0,0,0,2,0,15,366,21,218
Dallas-MEMORIAL STN,209,1,13,409,124,1,18,130,0,2,0,2,0,0,0,3,0,5,1,17,632,30,273
Dallas-MT ZION CH,570,1,3,400,360,3,5,89,0,3,0,24,0,0,0,1,0,4,0,54,974,86,457
Dallas-NEW ST JOHNS MINISTRIES,614,2,2,11,416,1,1,19,0,1,0,0,0,0,0,0,0,0,0,0,629,1,437
Dallas-OLD NATIONAL GUARD ARMORY,341,3,5,485,193,5,13,129,0,2,0,7,0,0,0,2,0,4,0,25,834,40,340
Dallas-ORRVILLE COMM CTR,789,0,3,177,550,3,7,83,0,2,0,7,0,0,0,1,0,4,0,21,969,35,643
Dallas-PLANTERSVILLE VFD,132,0,5,182,67,1,4,34,1,2,0,14,0,0,0,1,0,2,0,22,319,42,106
Dallas-PROVISIONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dallas-QUEEN PEACE SCH,368,1,0,38,246,1,1,24,0,0,0,3,0,0,0,0,0,1,0,6,407,10,272
Dallas-RANGEDALE CTR,580,0,5,6,381,0,1,34,0,0,0,0,0,0,0,0,0,0,0,0,591,0,416
Dallas-SAFFORD COMM CTR,77,0,0,54,63,1,0,17,0,0,0,0,0,0,0,0,0,2,0,5,131,7,81
Dallas-SELMA MALL,481,0,3,33,290,0,1,15,0,2,0,0,0,0,0,0,0,0,0,4,517,6,306
Dallas-SELMONT WATER WORKS,349,1,0,64,207,1,0,19,0,0,0,2,0,0,0,0,0,2,0,9,414,13,227
Dallas-SHILOH SCH BLDG,362,0,2,124,271,5,3,40,0,0,0,1,0,0,0,1,0,0,0,5,488,7,319
Dallas-SUMMERFIELD VFD,138,2,4,382,89,5,10,73,0,3,0,19,0,0,0,0,0,9,0,49,526,80,177
Dallas-TIPTON SCH,1577,0,8,78,1137,2,7,50,0,2,0,7,0,0,0,1,0,1,0,11,1663,22,1196
Dallas-TYLER COMM CTR,77,0,0,182,58,2,5,54,0,1,0,7,0,0,0,2,0,1,0,22,259,33,119
Dallas-UNION NEW NATL GRD ARMORY,245,0,4,532,175,6,16,130,0,5,0,20,0,0,1,0,0,6,0,54,781,86,327
Dallas-UNION OLD NATL GRD ARMORY,486,2,11,554,353,5,15,161,2,1,0,19,0,0,0,2,0,5,0,43,1053,72,534
Dallas-VLY GRANDE COMM CTR,538,4,4,974,323,13,23,221,0,10,0,26,0,0,0,6,0,19,0,87,1520,148,580
Dallas-WOODROW AVE FIRE STN,837,0,2,68,624,1,3,55,2,0,0,0,0,0,0,0,0,0,0,13,907,15,683
DeKalb-ABSENTEE,190,2,10,711,27,1,0,10,1,16,0,44,0,1,1,4,0,67,0,130,913,264,38
DeKalb-ADAMSBURG FIRE DEPT,42,5,6,359,12,0,0,19,0,13,0,33,0,0,1,12,2,45,0,90,412,196,31
DeKalb-ANTIOCH BARRYS BBQ,12,0,1,87,5,0,0,3,1,11,0,16,0,0,2,0,0,11,0,32,100,73,8
DeKalb-ARONEY FIRE DEPT,52,2,10,358,19,0,0,5,1,18,0,46,0,0,0,0,0,35,0,123,422,223,24
DeKalb-BLAKE COMM CTR,67,9,17,661,31,0,0,15,1,32,0,59,0,0,1,5,2,81,0,201,754,382,46
DeKalb-CARTERSVILLE FIRE HALL,72,3,12,466,35,0,1,9,3,36,0,53,0,0,1,8,0,65,0,139,553,305,45
DeKalb-COLLINSVILLENATL GD ARMORY,134,2,13,349,49,0,0,15,1,34,1,27,0,0,0,3,0,63,0,115,498,244,64
DeKalb-COPELAND BRGLIBERTY HILL,35,1,6,203,16,0,0,4,0,5,0,13,0,0,0,2,0,12,0,32,245,64,20
DeKalb-DOGTOWN MASONIC LODGE,58,1,14,554,19,1,0,8,2,27,1,67,1,0,1,10,0,60,0,155,627,324,28
DeKalb-EAST HIGHLAND PCT 112,11,0,4,91,7,0,0,0,0,5,0,3,0,0,0,2,0,21,0,31,106,62,7
DeKalb-EAST HIGHLAND PCT 304,45,3,5,342,11,0,0,14,2,18,0,21,0,0,1,8,0,42,0,122,395,214,25
DeKalb-FISCHER COMM CTR PCT 113,23,0,0,101,7,0,0,6,0,3,0,11,0,0,0,3,0,5,0,23,124,45,13
DeKalb-FISCHER COMM CTR PCT 313,35,4,5,304,18,0,0,14,0,22,0,36,0,0,1,2,0,27,0,92,348,180,32
DeKalb-FORT PAYNE SR CITIZEN 1,121,5,12,464,82,1,1,26,2,26,0,45,0,0,0,17,0,81,0,156,602,327,110
DeKalb-FORT PAYNE SR CITIZEN 2,85,4,6,207,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,302,12,1
DeKalb-FYFFE SR CTR,80,2,4,431,27,0,0,11,5,32,0,44,0,0,1,4,0,75,0,138,517,299,38
DeKalb-GERALDINE 1ST BAP,118,5,11,752,40,0,0,21,1,37,1,90,0,0,1,5,1,122,0,198,886,456,61
DeKalb-GROVE OAK CLUB HS,120,8,22,784,28,0,2,15,0,24,0,43,0,0,1,6,1,46,0,122,934,243,45
DeKalb-HAMMONDVILLE FIRE STN,72,4,10,320,17,0,1,10,0,34,0,21,1,0,0,2,0,46,1,97,406,202,28
DeKalb-HENAGAR COMM CTR,99,5,16,853,33,0,1,28,3,56,0,80,0,0,2,11,3,108,0,256,973,519,62
DeKalb-HIGH POINT CH,67,3,10,446,19,0,0,7,1,18,0,52,0,0,1,7,2,72,0,145,526,298,26
DeKalb-IDER SR CTR,147,3,13,919,40,0,0,23,4,82,1,91,0,0,3,16,2,134,0,274,1082,607,63
DeKalb-KILPATRICK FIRE STN,103,6,10,327,15,0,0,16,0,16,0,33,0,0,0,4,0,24,0,92,446,169,31
DeKalb-LEBANON CHAPEL,33,5,5,88,14,0,0,5,0,15,1,15,1,0,1,1,0,26,0,71,131,131,19
DeKalb-MACEDONIA BAP CH #2,12,0,4,127,9,0,0,5,0,5,0,13,0,0,0,1,0,21,0,38,143,78,14
DeKalb-MCKESTES COMM CTR,62,1,13,382,39,1,0,20,2,23,0,49,0,0,2,7,2,34,0,120,458,239,60
DeKalb-MENTONE TOWN HALL,170,11,15,679,61,0,2,44,1,47,0,67,1,0,1,20,0,82,0,200,875,419,107
DeKalb-PAINTERLIBERTY BAP CH,40,0,6,271,20,0,0,9,0,12,0,27,0,0,0,1,0,35,0,78,317,153,29
DeKalb-PAYNE GAP CH,28,1,6,353,3,0,1,10,0,16,0,36,1,0,0,3,0,20,1,112,388,189,14
DeKalb-PEA RIDGE CH,23,1,2,228,12,1,1,6,0,21,0,29,0,0,1,4,1,29,0,51,254,136,20
DeKalb-PINE RIDGE COMM PCT 309,10,0,2,104,3,0,0,5,0,5,0,6,0,0,1,0,0,19,0,27,116,58,8
DeKalb-PINE RIDGE COMM PCT 410,13,1,3,92,3,0,0,0,1,6,0,12,0,0,0,4,0,9,0,28,109,60,3
DeKalb-PLEASANT HILL COMM CTR,48,2,2,349,23,0,0,15,0,14,0,32,0,0,4,1,0,76,0,119,401,246,38
DeKalb-PORTERSVILLE BAP CH,39,0,3,174,5,0,1,3,2,12,0,22,0,0,0,5,0,22,0,39,216,102,9
DeKalb-POWELL PK PAVILLION,85,4,9,409,37,0,0,13,2,31,0,35,0,0,0,6,1,55,0,118,507,248,50
DeKalb-PROVISIONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeKalb-RAINSVILLE 1,123,8,17,1013,44,0,2,22,1,73,0,121,0,0,4,12,2,173,1,350,1161,737,68
DeKalb-RAINSVILLE 2,131,8,19,1070,36,0,1,8,3,84,2,124,0,1,3,14,2,155,0,304,1228,692,45
DeKalb-RODENTOWN COMM CTR,40,0,4,321,21,0,0,10,0,8,0,42,0,0,0,1,1,31,0,100,365,183,31
DeKalb-SAND MTN RESEARCH CTR,75,2,16,764,26,0,0,13,1,37,0,89,0,0,0,11,0,95,0,221,857,454,39
DeKalb-SHADY GROVE BAP CH,42,2,11,363,16,0,0,11,0,10,0,30,0,0,0,6,0,34,0,109,418,189,27
DeKalb-SHILOH TOWN HALL,20,1,1,179,13,0,0,2,2,16,0,21,0,1,0,3,0,38,0,62,201,143,15
DeKalb-SKIRUM COMM CTR,48,1,11,355,28,1,0,8,1,30,0,20,0,0,1,3,2,31,0,106,415,194,37
DeKalb-SR CITIZEN FIVE POINT,45,1,9,412,12,0,0,11,0,13,0,44,0,0,0,9,0,39,0,123,467,228,23
DeKalb-SULPHUR SPRINGS COMM CTR,32,0,7,103,23,0,2,5,0,6,0,11,0,0,0,3,0,12,0,27,142,59,30
DeKalb-SYLVANIA TOWN HALL,118,1,27,976,39,1,1,30,1,51,1,112,0,1,6,16,3,118,0,285,1122,594,71
DeKalb-TENBROECK COMM CTR,74,2,10,574,39,0,1,11,4,38,0,57,0,0,2,10,0,94,0,168,660,373,51
DeKalb-VFW HALL LOBBY 1,172,10,17,468,66,0,1,61,0,25,0,28,0,0,3,8,0,32,0,71,667,167,128
DeKalb-VFW HALL LOBBY 2,71,1,1,211,14,0,0,6,0,19,0,36,0,1,0,6,0,41,0,90,284,193,20
DeKalb-VLY HEAD TOWN HALL,53,4,8,237,27,0,1,10,1,20,0,17,0,0,1,9,1,20,0,60,302,129,38
DeKalb-WHITONOLD SCH BLDG,49,3,4,290,25,0,0,11,0,21,0,36,0,0,0,1,0,30,0,86,346,174,36
DeKalb-WILLS VLY REC CTR 1,204,6,17,884,17,0,0,7,0,18,0,10,0,0,1,8,0,28,0,49,1111,114,24
DeKalb-WILLS VLY REC CTR 2,34,3,3,214,64,0,1,27,1,44,0,84,0,0,2,21,0,191,0,265,254,608,92
Elmore-ABSENTEE,485,4,32,886,21,0,0,5,6,20,0,45,0,0,1,14,0,43,0,84,1407,213,26
Elmore-ASBURY KENT COMM CTR,102,1,15,776,33,0,0,14,4,63,2,115,0,0,4,12,2,79,0,244,894,525,47
Elmore-BLUE RIDGE BAP,131,3,29,801,39,0,0,19,3,75,0,134,0,0,0,43,2,115,0,289,964,661,58
Elmore-BUYCK FIRE DEPT,93,3,12,808,39,0,1,9,0,64,1,90,1,0,0,11,0,63,1,354,916,585,49
Elmore-CAINS CHAPEL LIFE CTR,167,4,32,1645,66,0,0,24,2,219,0,186,1,0,2,31,2,130,0,465,1848,1038,90
Elmore-COOSADA TOWN HALL,322,2,10,402,150,1,0,12,2,47,1,40,0,0,0,6,0,36,2,126,736,260,163
Elmore-CRENSHAW PK,335,1,8,190,155,0,0,23,0,17,0,22,0,0,0,2,1,8,0,53,534,103,178
Elmore-DEATSVILLE VOL FIRE,213,3,30,846,75,0,0,20,4,95,0,121,1,0,0,16,2,79,0,261,1092,579,95
Elmore-ECLECTIC METH CH,222,0,15,623,99,0,0,15,4,67,1,59,0,1,1,10,3,44,0,230,860,420,114
Elmore-FAIN PK COMM CTR,759,9,46,1077,289,1,1,53,2,96,2,157,1,0,2,22,3,73,0,338,1891,696,344
Elmore-GODS CONGREGATION CH,170,0,6,31,105,1,1,9,0,3,0,1,0,0,0,0,0,2,0,7,207,13,116
Elmore-KOWALIGA FIRE STN #1,93,2,12,622,51,0,0,4,3,54,1,56,0,0,2,46,1,77,0,235,729,475,55
Elmore-MILLBROOK CIVIC CTR,981,5,60,1340,421,1,0,83,6,106,0,146,0,0,5,37,1,107,2,400,2386,810,505
Elmore-MULDER METH,773,16,97,3091,273,1,0,80,10,362,0,422,1,0,7,101,4,409,1,1014,3977,2331,354
Elmore-NEW HOME BAP CH,253,8,14,848,93,0,1,20,3,92,0,92,0,0,0,16,1,39,0,286,1123,529,114
Elmore-NEW HOPE BAP,32,2,5,660,8,0,0,7,5,68,0,52,0,0,6,5,0,45,0,260,699,441,15
Elmore-PROVISIONAL,7,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
Elmore-REDHILL COMM CTR,54,2,7,416,20,0,0,5,5,44,1,49,0,0,0,11,0,33,1,158,479,302,25
Elmore-ROCK SPRINGS VOTING HS,107,1,3,351,48,0,0,8,1,38,0,48,0,0,0,4,1,37,0,127,462,256,56
Elmore-RUSHENVILLE BAP,55,1,14,688,20,0,1,5,1,87,0,96,0,0,1,5,1,62,0,211,758,464,26
Elmore-SANTUCK COMM CTR,257,4,25,950,114,0,1,25,3,116,1,111,0,0,2,18,2,68,1,337,1236,659,140
Elmore-TALLAWEKA BAP CH,259,3,29,1247,100,0,0,24,7,123,2,133,0,0,2,31,6,110,1,442,1538,857,124
Elmore-TITUS COMM CTR,52,1,9,281,20,0,0,2,2,17,0,41,0,0,0,14,0,37,0,111,343,222,22
Elmore-VICTORY BAP,487,9,29,1414,167,0,1,54,5,154,0,192,0,2,6,32,1,123,0,375,1939,890,222
Elmore-WALLSBORO COMM CTR,306,6,19,785,142,0,0,30,3,73,0,107,0,1,3,20,1,76,1,283,1116,568,172
Elmore-WEOKA COMM CTR,46,6,4,444,25,0,0,1,2,55,0,54,0,0,1,9,1,30,0,164,500,316,26
Elmore-WETUMPKA CIVIC CTR,473,3,43,1854,159,0,0,50,6,177,1,254,0,0,2,61,6,196,3,671,2373,1377,209
Escambia-1ST UN METH,135,0,18,466,53,0,0,15,0,29,0,51,0,0,0,15,1,60,1,146,619,303,68
Escambia-ABSENTEE,212,2,15,799,15,0,0,1,3,4,1,9,0,0,0,1,0,8,0,24,1028,50,16
Escambia-ALCO JD JC MUSEUM,198,2,4,239,73,0,0,11,2,12,0,18,1,1,1,3,0,31,0,71,443,140,84
Escambia-APPLETON VOL FIRE,40,6,9,467,9,0,0,4,1,21,0,56,0,0,4,3,2,23,0,135,522,245,13
Escambia-ATMORE CITY HALL,819,1,2,23,390,1,0,15,0,2,0,1,0,0,0,0,0,1,0,7,845,11,406
Escambia-ATMORE PUBLIC LIBRARY,346,6,18,796,150,0,0,24,0,58,0,108,0,0,1,17,3,86,1,283,1166,557,174
Escambia-BARNETTS CROSSROADS/ROBIN,5,0,1,127,3,0,0,0,0,15,0,15,0,0,0,0,0,12,0,50,133,92,3
Escambia-BETHEL ROBERTS VOTING,7,0,1,81,4,0,0,2,0,7,0,6,0,0,0,2,0,6,0,21,89,42,6
Escambia-BRADLEY VOL FIRE DEPT,3,1,1,64,0,0,0,0,0,3,2,10,0,0,0,1,0,6,0,16,69,38,0
Escambia-BREWTON CIVIC CTR,1056,7,39,1630,520,1,0,57,2,139,0,183,1,0,7,85,1,252,0,391,2732,1061,578
Escambia-CANOE CIVIC CLUB,33,0,10,295,8,0,0,3,3,15,1,26,0,0,0,3,1,32,0,121,338,202,11
Escambia-COUNTY HWY DEPT,134,0,1,110,61,0,0,3,2,2,0,7,0,0,0,1,0,9,0,39,245,60,64
Escambia-DAMASCUS BOYKIN SCH,129,0,1,162,82,0,0,6,0,6,0,16,0,0,1,1,0,15,0,28,292,67,88
Escambia-DIXIE VOL FIRE DEPT,6,0,0,37,5,0,0,0,0,0,0,2,0,0,0,0,0,3,0,21,43,26,5
Escambia-EAST BREWTON SAIL SITE,351,1,16,719,126,0,0,17,0,44,1,79,0,0,1,10,2,73,1,199,1087,410,143
Escambia-FLOMATON 1ST BAP,54,0,6,393,14,0,0,4,1,17,0,29,0,0,0,12,0,40,0,109,453,208,18
Escambia-FLOMATON COMM HS,99,0,7,295,41,0,0,8,1,16,0,25,0,0,2,6,0,36,0,77,401,163,49
Escambia-HUXFORD MASONIC LODGE,8,1,3,218,1,0,0,2,1,12,0,22,0,0,1,1,0,21,0,77,230,135,3
Escambia-LITTLE ESCAMBIA VOTING,21,0,5,338,3,0,0,8,0,17,0,32,0,0,0,4,0,12,0,96,364,161,11
Escambia-LITTLE ROCK STORE,6,0,1,118,1,0,0,0,0,5,0,9,0,0,2,0,1,7,0,53,125,77,1
Escambia-McCALL SCH,25,0,5,617,10,0,0,3,0,37,0,58,0,0,0,7,0,57,0,176,647,335,13
Escambia-McCULLOUGH VOL FIRE DEPT,68,0,2,248,23,1,0,3,3,12,0,20,0,0,0,3,0,35,0,83,318,156,27
Escambia-NEW ORDER MISSIONARY BAP,622,1,5,390,308,0,0,19,0,25,0,31,0,0,0,3,0,42,0,126,1018,227,327
Escambia-NOKOMIS VOTING HS,60,4,7,359,23,0,0,6,0,28,0,43,1,0,0,5,0,27,0,96,430,200,29
Escambia-PINEVIEW VOTING HS,9,0,5,198,3,0,0,1,1,4,0,23,0,0,1,1,0,24,0,54,212,108,4
Escambia-POARCH SAIL CTR,115,1,4,238,45,0,0,4,2,9,1,17,0,0,0,2,0,32,0,68,358,131,49
Escambia-POLLARD TOWN HALL,48,2,3,231,22,0,0,3,1,16,0,25,0,0,0,1,0,28,0,62,284,133,25
Escambia-PROVISIONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escambia-RIVERVIEW TOWN HALL,14,0,2,344,5,0,0,5,3,21,1,32,0,0,0,1,2,22,0,97,360,179,10
Escambia-ROCK HILL RIDGE RD VFD,70,2,3,217,29,1,0,2,2,8,0,19,0,0,0,6,0,18,0,69,292,122,32
Escambia-WALLACE METH CH,5,1,1,63,0,0,0,0,0,1,0,6,0,0,0,0,0,10,0,22,70,39,0
Etowah-1ST UN METH ATTALLA,466,4,26,669,213,0,1,39,0,31,0,60,0,0,1,12,0,42,1,203,1165,350,253
Etowah-ABSENTEE,428,5,30,1075,27,0,1,5,10,12,1,43,0,0,0,5,1,35,0,90,1538,197,33
Etowah-ALTOONA FIRE DEPTARTMENT,52,3,4,462,19,0,0,10,1,30,0,41,0,0,1,5,0,34,0,137,521,249,29
Etowah-ATTALLA REC CTR,210,4,33,1262,63,1,1,33,4,72,0,147,0,0,2,13,0,87,1,359,1509,685,98
Etowah-CARVER COMM CTR,896,4,2,28,451,0,0,34,0,0,0,4,0,0,0,0,0,1,0,2,930,7,485
Etowah-CAVE SPRINGS,139,4,23,730,40,0,1,18,0,37,0,102,0,1,0,14,0,46,0,217,896,417,59
Etowah-EAST GADSDEN REC CTR,1045,9,18,299,499,0,0,53,1,15,0,22,0,0,1,1,0,20,1,96,1371,157,552
Etowah-EGYPT COMM CTR,45,0,6,312,26,0,0,11,3,23,1,31,0,0,2,7,1,19,0,86,363,173,37
Etowah-ELLIOTT COMM CTR,338,6,29,751,120,0,0,32,1,36,1,79,0,0,1,12,0,53,1,225,1124,409,152
Etowah-FORDS VLY WATER,61,0,5,458,20,0,1,19,1,23,0,64,0,0,0,1,2,21,0,129,524,241,40
Etowah-GADSDEN CONVENTION HALL,799,10,30,481,365,0,0,112,3,34,0,69,0,0,0,22,3,69,0,145,1320,345,477
Etowah-GALLANT COMM CTR,41,5,3,428,16,0,1,12,5,28,0,72,0,0,2,3,1,34,1,111,477,257,29
Etowah-GEORGE WALLACE SR CTR,304,9,57,2143,88,0,0,101,1,154,2,238,0,0,5,25,0,179,2,538,2513,1144,189
Etowah-HOKES BLUFF COMM CTR,367,4,50,2909,132,0,1,91,6,212,2,377,1,1,9,49,3,293,1,753,3330,1707,224
Etowah-IVALEE VOL FIRE DEPT,51,1,10,374,16,0,0,8,0,32,1,53,0,0,1,7,1,26,0,98,436,219,24
