precinct,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
StClair-PELL CITY CIVIC CTR,425,5,57,2175,179,0,0,60,2,161,1,416,0,1,1,77,2,290,1,777,2662,1729,239
StClair-PELL CITY COMM CTR,653,15,46,1630,257,2,0,57,2,88,0,241,2,0,7,16,0,133,0,407,2344,896,316
StClair-PINEDALE VFD,33,2,9,506,13,0,0,6,2,34,1,73,0,0,0,3,1,25,0,145,550,284,19
StClair-POPLAR SPRINGS CH,41,1,3,357,17,0,0,6,2,23,0,49,0,0,2,11,0,23,1,123,402,234,23
StClair-PRESCOTT COMM CTR,58,2,13,665,12,0,0,7,2,32,0,114,0,0,1,8,1,49,0,178,738,385,19
StClair-PROVISIONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
StClair-RAGLAND TOWN HALL,159,2,15,765,66,0,0,17,6,66,1,91,1,0,1,2,1,39,0,233,941,441,83
StClair-RIVERSIDE TOWN HALL,188,3,10,877,77,0,0,13,0,39,0,115,1,1,4,10,0,63,0,297,1078,530,90
StClair-SHOAL CREEK COMM CTR,36,1,1,354,10,1,0,5,1,20,0,51,1,0,0,5,0,24,0,126,392,228,16
StClair-SLATE UNION CH,23,0,4,431,10,1,0,4,0,28,0,67,0,0,0,11,1,43,0,122,458,272,15
StClair-STEELE COMM CTR,64,1,15,493,20,0,0,9,0,34,1,56,0,0,1,12,0,28,0,166,573,298,29
StClair-WATTSVILLE VFD,60,6,6,818,26,0,0,12,2,38,0,135,0,1,1,13,0,43,1,225,890,459,38
StClair-WHITES CHAPEL TOWN HALL,137,0,10,625,43,0,1,17,3,52,0,92,0,0,0,8,0,34,0,169,772,358,61
StClair-WOLF CREEK VFD,20,1,4,317,2,0,0,12,0,14,0,51,0,0,0,3,1,12,0,87,342,168,14
Sumter-ABSENTEE,320,0,1,90,190,1,1,8,1,0,0,0,0,0,0,1,0,1,0,2,411,5,200
Sumter-BELLAMY COMM CTR,266,0,3,26,168,3,1,10,0,0,0,2,0,0,0,0,0,1,0,0,295,3,182
Sumter-BOYD TRAILER,123,1,1,40,97,2,0,17,1,1,0,3,0,0,0,1,0,0,0,5,165,11,116
Sumter-COATOPA BEL FIRE DEPT,142,0,2,100,111,0,4,17,0,0,0,0,0,0,0,0,0,1,0,11,244,12,132
Sumter-CUBA COMM CTR,460,1,4,228,251,2,10,39,0,4,0,7,0,0,0,1,0,6,0,33,693,51,302
Sumter-EMELLE SUMT TOWN HALL,189,0,2,80,137,1,1,21,0,1,0,1,0,0,0,0,0,2,0,7,271,11,160
Sumter-EPES COMM CTR,256,2,2,38,172,1,0,13,0,3,0,3,0,0,0,0,0,1,0,2,298,9,186
Sumter-GAINESVILLE COMM CTR,319,1,2,27,212,1,3,15,0,0,0,2,0,0,0,0,0,1,0,2,349,5,231
