precinct_code,gen_dem_CLINTON,gen_ind_CLINTON,gen_ind_JOHNSON,gen_ind_STEIN,gen_ind_TRUMP,gen_rep_TRUMP,pri_dem_CLINTON,pri_dem_SANDERS,pri_ind_CLINTON,pri_ind_CRUZ,pri_ind_KASICH,pri_ind_SANDERS,pri_ind_TRUMP,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
Lincoln-4104104 Tidewater,136.0,0.0,14.0,19.0,0.0,199.0,45.0,61.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,82.0,368.0,96.0,106.0
Lincoln-4104105 Yachats,582.0,0.0,24.0,40.0,0.0,205.0,200.0,229.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,74.0,851.0,118.0,429.0
Lincoln-4104106 Bayview,528.0,0.0,41.0,18.0,0.0,326.0,192.0,173.0,0.0,0.0,0.0,0.0,0.0,25.0,34.0,123.0,913.0,182.0,365.0
Lincoln-4104107 Seal Rock,536.0,0.0,27.0,29.0,0.0,379.0,172.0,238.0,0.0,0.0,0.0,0.0,0.0,26.0,25.0,133.0,971.0,184.0,410.0
Lincoln-4104108 South Beach,489.0,0.0,34.0,25.0,0.0,311.0,166.0,180.0,0.0,0.0,0.0,0.0,0.0,25.0,20.0,103.0,859.0,148.0,346.0
Lincoln-4104109 Nye Creek,513.0,0.0,29.0,33.0,0.0,247.0,150.0,215.0,0.0,0.0,0.0,0.0,0.0,17.0,16.0,82.0,822.0,115.0,365.0
Lincoln-4104110 Newport Bay,365.0,0.0,23.0,22.0,0.0,167.0,95.0,153.0,0.0,0.0,0.0,0.0,0.0,15.0,13.0,43.0,577.0,71.0,248.0
Lincoln-4104111 Oceanview,370.0,0.0,26.0,28.0,0.0,240.0,130.0,153.0,0.0,0.0,0.0,0.0,0.0,13.0,33.0,91.0,664.0,137.0,283.0
Lincoln-4104112 Yaquina,520.0,0.0,43.0,28.0,0.0,425.0,186.0,202.0,0.0,0.0,0.0,0.0,0.0,33.0,47.0,149.0,1016.0,229.0,388.0
Lincoln-4104113 Pacific,574.0,0.0,45.0,21.0,0.0,358.0,202.0,225.0,0.0,0.0,0.0,0.0,0.0,37.0,48.0,128.0,998.0,213.0,427.0
Lincoln-4104114 Agate Beach,491.0,0.0,44.0,23.0,0.0,343.0,167.0,172.0,0.0,0.0,0.0,0.0,0.0,43.0,30.0,115.0,901.0,188.0,339.0
Lincoln-4104115 Otter Rock,150.0,0.0,10.0,7.0,0.0,89.0,48.0,57.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,35.0,256.0,47.0,105.0
Lincoln-4104116 Depoe Bay,467.0,0.0,45.0,20.0,0.0,389.0,170.0,158.0,0.0,0.0,0.0,0.0,0.0,22.0,30.0,160.0,921.0,212.0,328.0
Lincoln-4104117 Fogarty,499.0,0.0,34.0,13.0,0.0,386.0,178.0,148.0,0.0,0.0,0.0,0.0,0.0,18.0,37.0,141.0,932.0,196.0,326.0
Lincoln-4104118 Kern,441.0,0.0,35.0,23.0,0.0,296.0,160.0,144.0,0.0,0.0,0.0,0.0,0.0,11.0,35.0,117.0,795.0,163.0,304.0
Lincoln-4104119 Schooner Ck,542.0,0.0,56.0,44.0,0.0,467.0,158.0,170.0,0.0,0.0,0.0,0.0,0.0,34.0,27.0,163.0,1109.0,224.0,328.0
Lincoln-4104120 Delake,681.0,0.0,71.0,43.0,0.0,529.0,189.0,257.0,0.0,0.0,0.0,0.0,0.0,28.0,37.0,149.0,1324.0,214.0,446.0
Lincoln-4104121 Oceanlake,550.0,0.0,64.0,29.0,0.0,411.0,146.0,213.0,0.0,0.0,0.0,0.0,0.0,21.0,36.0,133.0,1054.0,190.0,359.0
