precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
48PALMERMIDDLE1,168,4,120,1,1,53,25,1,172,6,508,5,29,596,292,253,508,596
48PALMERMIDDLE2,173,3,128,0,2,56,51,2,166,2,604,11,13,628,304,277,604,628
48PALMERUPPEREASTERN,195,3,155,0,3,97,68,4,284,5,799,10,41,1005,353,456,799,1005
48PALMERUPPERWESTERN,345,1,250,0,2,97,88,8,356,5,746,9,25,674,596,551,746,674
48PALMERWESTERN1,167,3,167,1,0,84,94,1,245,1,588,9,38,768,337,425,588,768
48PALMERWESTERN2,101,0,83,0,0,41,17,2,85,6,302,12,26,390,184,145,302,390
48PENARGYL1,25,0,29,2,0,9,4,3,34,2,78,3,13,172,54,52,78,172
48PENARGYL2,53,0,76,0,1,47,26,3,134,0,201,5,15,405,129,211,201,405
48PENARGYL3,46,0,65,1,1,22,10,1,73,1,162,3,16,257,111,108,162,257
48PENARGYL4,28,0,48,1,1,10,5,0,41,0,114,4,13,167,76,58,114,167
48PLAINFIELDBELFAST,123,2,89,1,4,55,24,1,193,6,307,5,29,654,214,278,307,654
48PLAINFIELDDELABOLE,89,4,68,1,0,38,22,1,157,1,288,4,18,511,161,219,288,511
48PLAINFIELDKESSLERSVILLE,67,2,65,0,4,57,36,0,134,4,213,9,16,494,134,231,213,494
48PLAINFIELDPLAINFIELDCHURCH,81,6,66,0,1,39,34,0,157,4,230,8,12,511,153,231,230,511
48PORTLAND,14,1,36,1,0,11,7,0,48,0,76,3,5,161,51,67,76,161
48ROSETO,88,0,77,0,2,34,16,2,132,3,235,7,17,502,165,186,235,502
48STOCKERTOWN,60,1,55,0,0,26,13,2,71,1,151,3,10,275,116,112,151,275
48TATAMY,70,4,54,0,1,39,23,0,98,1,222,1,11,325,128,161,222,325
48UPPERMT.BETHELCENTERVILLE,64,3,67,0,3,60,36,1,188,6,238,9,16,640,134,288,238,640
48UPPERMT.BETHELJOHNSONVILLE,49,2,70,1,0,30,21,0,142,2,190,8,18,408,121,194,190,408
48UPPERMT.BETHELNORTHBANGOR,54,0,64,2,0,26,12,1,125,0,137,6,15,369,118,166,137,369
48UPPERMT.BETHELSLATEFORD,30,0,45,0,0,33,12,0,98,2,150,2,13,313,75,143,150,313
48UPPERMT.BETHELWILLIAMSBURG,70,1,80,1,3,41,33,0,153,3,272,12,18,523,151,231,272,523
48UPPERNAZARETHEAST,211,5,194,1,5,73,83,1,262,2,712,13,48,926,410,425,712,926
48UPPERNAZARETHWEST,136,5,105,2,2,82,37,8,195,3,563,8,26,723,246,326,563,723
48WALNUTPORT,78,1,82,2,1,44,29,4,150,2,264,15,26,522,161,230,264,522
48WASHINGTONLOWER,177,4,179,1,3,104,56,0,329,11,580,12,43,1260,360,493,580,1260
48WASHINGTONUPPER,86,4,55,0,0,26,17,0,98,0,206,5,12,363,145,141,206,363
48WESTEASTON,60,2,82,0,2,32,14,0,68,1,231,4,18,294,144,116,231,294
48WILLIAMSEASTERN,96,3,120,0,3,57,40,1,184,2,374,14,34,610,219,285,374,610
48WILLIAMSMIDDLE,104,4,76,1,0,46,28,1,187,3,323,9,28,533,184,263,323,533
48WILLIAMSUPPER,66,1,56,1,0,28,25,0,144,3,391,5,20,497,123,198,391,497
48WILLIAMSWESTERN,70,2,64,0,1,42,33,0,113,0,257,3,17,351,136,189,257,351
48WILSON1,124,0,148,2,2,36,17,6,86,2,534,16,33,412,272,149,534,412
48WILSON2,77,0,106,0,3,23,10,1,73,0,390,15,23,333,183,110,390,333
48WILSON3,152,2,177,1,3,57,34,1,93,3,629,11,33,605,331,189,629,605
48WINDGAP,115,4,118,2,4,49,34,4,171,3,396,11,25,687,237,264,396,687
49COAL1,42,3,48,0,0,6,5,1,57,0,86,1,8,215,93,69,86,215
49COAL2,69,5,76,1,1,13,8,0,81,3,131,8,12,269,150,104,131,269
49COAL3,71,2,65,1,0,8,3,0,83,1,155,4,12,296,138,95,155,296
49COAL41,24,0,22,2,0,11,3,1,69,0,56,0,11,174,46,86,56,174
49COAL42,39,1,36,2,2,14,10,0,70,0,107,0,7,195,76,98,107,195
49COAL5,83,5,88,0,1,15,16,1,162,0,168,9,16,465,176,195,168,465
49COAL6,99,4,81,2,3,26,24,0,167,2,227,4,8,501,184,222,227,501
49DELAWAREEAST,21,1,31,1,3,61,20,1,136,2,72,2,13,423,53,222,72,423
49DELAWARESOUTH,37,0,37,2,1,60,32,3,114,6,108,1,15,352,74,212,108,352
49DELAWAREWEST,51,2,48,1,1,95,40,0,210,6,168,3,20,654,101,347,168,654
49EASTCAMERON,27,1,28,0,1,15,1,2,88,2,57,3,3,244,56,107,57,244
49EASTCHILLISQUAQUE,10,0,21,1,1,21,30,1,80,0,47,1,16,225,31,134,47,225
49HERNDON,6,0,10,1,1,13,5,0,33,1,35,1,2,95,16,53,35,95
49JACKSON,21,0,33,2,2,61,19,2,107,5,49,1,8,353,54,193,49,353
49JORDAN,8,1,22,1,1,32,27,0,106,3,47,0,6,316,31,167,47,316
49KULPMONT1,51,2,53,0,1,8,6,0,62,1,100,2,5,263,106,77,100,263
49KULPMONT2,67,2,62,1,1,10,12,0,53,0,139,2,8,230,131,77,139,230
49KULPMONT3,74,6,64,1,1,16,5,0,58,1,139,3,11,256,144,81,139,256
49LEWIS,53,4,58,2,3,78,41,2,208,6,163,3,18,578,115,334,163,578
49LITTLEMAHANOY,17,0,9,1,3,22,2,0,42,0,31,1,4,149,26,70,31,149
49LOWERAUGUSTA,35,0,45,2,3,71,16,0,117,3,92,4,13,407,80,209,92,407
49LOWERMAHANOY,40,3,53,1,6,103,29,2,200,5,125,1,16,626,96,341,125,626
49MARIONHEIGHTS,36,3,39,0,1,12,4,0,40,2,87,1,8,174,78,57,87,174
49MCEWENSVILLE,8,1,11,0,3,13,10,1,29,0,21,3,4,90,20,56,21,90
49MILTON1,37,0,31,1,1,50,36,2,126,1,112,3,9,322,68,216,112,322
49MILTON2,42,1,59,1,0,32,37,0,88,5,173,5,10,288,102,158,173,288
49MILTON3,43,1,48,2,3,36,14,1,88,2,151,7,17,309,92,144,151,309
49MILTON4,25,3,14,1,1,25,16,0,57,1,131,0,12,214,42,100,131,214
49MILTON5,62,1,66,1,3,57,24,0,111,5,177,8,16,427,129,196,177,427
49MT.CARMEL1,55,1,31,0,0,12,7,0,63,1,127,4,8,211,87,82,127,211
49MT.CARMEL2,73,1,70,1,2,14,6,2,74,1,151,7,13,296,144,99,151,296
49MT.CARMEL3,109,4,114,1,0,21,12,1,108,2,236,8,22,480,227,143,236,480
49MT.CARMEL4,88,0,87,0,1,17,17,1,95,3,213,3,16,340,175,131,213,340
49MT.CARMELDIAMOND/EXCHANGE,71,2,67,0,0,8,4,0,53,1,119,3,12,257,140,65,119,257
49MT.CARMELLOCUSTGAP,34,4,18,1,0,2,2,0,20,1,44,1,2,89,56,25,44,89
49MT.CARMELNATALIE/STRONG,31,2,39,0,0,6,2,0,44,2,56,0,2,159,72,52,56,159
49MT.CARMELWEST,68,3,73,0,0,7,6,0,73,1,137,3,5,226,144,86,137,226
49NORTHUMBERLAND1,44,0,43,2,0,32,11,2,106,1,133,9,18,274,87,153,133,274
49NORTHUMBERLAND2,66,1,78,0,0,57,31,2,127,2,228,11,18,407,145,217,228,407
49NORTHUMBERLAND3,66,1,45,1,0,54,45,2,103,3,179,7,22,361,112,205,179,361
49POINTEAST,61,1,43,0,0,89,33,3,197,4,181,5,18,512,105,322,181,512
49POINTWEST,86,2,65,5,9,125,56,4,272,8,281,5,33,798,153,471,281,798
49RALPHO1,175,2,154,0,6,94,94,6,498,5,438,9,55,1293,331,698,438,1293
49RALPHO2,34,1,34,0,0,30,23,0,134,1,91,0,19,317,69,187,91,317
49RIVERSIDEA(CONG10),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
49RIVERSIDEB(CONG11),124,2,96,4,3,66,62,3,194,7,356,7,27,583,222,332,356,583
49ROCKEFELLER,62,1,77,2,10,160,57,2,317,10,201,10,25,914,140,548,201,914
