precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
2MARSHALL4,106,1,54,3,0,55,74,3,112,0,371,1,19,438,161,247,371,438
2MARSHALL5,89,2,68,0,1,68,77,1,111,4,389,5,27,534,159,258,389,534
2MARSHALL6,81,2,44,0,1,60,82,0,96,2,340,5,28,376,127,239,340,376
2MCCANDLESS11,90,0,66,3,0,69,131,4,140,2,349,2,22,466,156,347,349,466
2MCCANDLESS12,103,2,52,0,0,26,47,0,72,0,327,3,13,266,157,145,327,266
2MCCANDLESS13,94,2,73,0,0,58,54,2,121,2,385,11,29,435,169,235,385,435
2MCCANDLESS21,148,2,114,1,0,62,117,1,137,4,512,8,33,488,264,318,512,488
2MCCANDLESS22,84,0,73,1,1,41,61,0,91,3,285,5,26,362,157,195,285,362
2MCCANDLESS23,89,4,51,0,0,39,61,0,92,2,311,8,11,347,144,192,311,347
2MCCANDLESS31,127,1,100,0,1,40,71,0,98,3,360,6,23,356,228,210,360,356
2MCCANDLESS32,94,1,103,1,2,45,80,3,124,3,383,4,29,437,198,255,383,437
2MCCANDLESS33,116,3,93,2,1,55,81,3,144,4,358,2,31,437,212,286,358,437
2MCCANDLESS41,149,3,149,0,3,81,108,2,162,7,492,11,45,631,301,356,492,631
2MCCANDLESS42,87,2,88,0,1,32,52,3,87,4,316,7,25,353,177,175,316,353
2MCCANDLESS43,76,2,49,0,2,47,94,1,83,3,264,2,22,305,127,227,264,305
2MCCANDLESS51,92,2,59,1,0,55,66,1,104,0,261,8,21,377,153,227,261,377
2MCCANDLESS52,120,0,109,1,1,52,69,2,145,5,450,5,25,473,229,270,450,473
2MCCANDLESS53,123,1,78,0,0,43,66,1,90,7,374,1,22,332,202,200,374,332
2MCCANDLESS61,62,2,47,0,0,21,46,1,53,2,168,6,13,194,111,121,168,194
2MCCANDLESS62,115,1,93,1,1,64,76,0,122,1,343,5,20,448,209,264,343,448
2MCCANDLESS63,158,1,125,1,0,85,140,5,166,2,626,9,37,646,284,397,626,646
2MCCANDLESS71,137,3,123,0,0,61,91,1,161,2,536,6,31,567,263,314,536,567
2MCCANDLESS72,123,4,91,1,0,57,88,0,107,3,368,4,25,397,218,253,368,397
2MCCANDLESS73,67,2,38,1,0,24,43,4,66,0,196,3,13,200,107,138,196,200
2MCDONALD5,19,2,15,0,0,9,7,0,28,0,49,4,3,94,36,44,49,94
2MCKEESPORT1,1,0,1,0,0,0,0,0,0,0,5,0,0,0,2,0,5,0
2MCKEESPORT101,35,0,36,0,1,2,3,0,13,0,92,5,4,80,71,19,92,80
2MCKEESPORT102,29,1,26,0,0,6,4,0,18,0,107,1,2,95,56,28,107,95
2MCKEESPORT111,56,1,65,0,0,4,5,0,25,1,135,1,8,130,122,34,135,130
2MCKEESPORT112,51,1,45,0,0,2,2,2,38,2,104,3,3,147,97,44,104,147
2MCKEESPORT113,66,1,25,0,2,2,3,0,16,0,120,2,1,69,92,23,120,69
2MCKEESPORT121,40,5,23,0,0,7,2,0,15,3,81,1,2,107,68,24,81,107
2MCKEESPORT122,60,3,37,0,1,10,8,0,36,1,107,3,3,157,100,55,107,157
2MCKEESPORT123,122,6,88,0,0,14,13,0,50,2,169,3,4,259,216,77,169,259
2MCKEESPORT2,28,3,5,0,0,0,0,0,7,0,68,1,2,21,36,7,68,21
2MCKEESPORT31,63,1,14,0,1,3,1,0,4,0,160,1,0,5,78,9,160,5
2MCKEESPORT32,19,0,7,0,0,0,0,0,0,0,67,1,0,1,26,0,67,1
2MCKEESPORT4,34,0,16,0,0,1,1,0,0,1,134,3,1,4,50,2,134,4
2MCKEESPORT5,80,0,27,0,0,1,5,1,5,2,222,0,4,36,107,12,222,36
2MCKEESPORT61,39,2,21,0,0,3,0,0,3,0,131,1,2,48,62,6,131,48
2MCKEESPORT62,38,1,17,0,0,2,2,0,7,1,132,1,1,28,56,11,132,28
2MCKEESPORT71,105,0,42,0,0,3,5,0,10,1,269,1,4,39,147,18,269,39
2MCKEESPORT72,80,0,11,0,0,1,0,0,1,0,164,3,1,8,91,2,164,8
2MCKEESPORT73,50,0,38,0,0,2,1,0,6,1,147,1,5,43,88,9,147,43
2MCKEESPORT74,61,0,40,0,0,4,3,0,9,0,211,2,0,47,101,16,211,47
2MCKEESPORT75,91,3,44,0,0,2,0,0,8,0,249,4,3,93,138,10,249,93
2MCKEESPORT76,79,0,43,0,1,5,1,0,15,1,225,4,5,79,122,22,225,79
2MCKEESPORT77,81,1,27,0,0,1,3,0,3,0,193,3,1,20,109,7,193,20
2MCKEESPORT81,34,0,31,0,0,5,1,0,15,0,90,2,1,83,65,21,90,83
2MCKEESPORT82,97,0,46,0,0,9,3,0,26,1,224,5,2,109,143,38,224,109
2MCKEESPORT83,71,0,42,0,0,9,4,0,8,1,242,3,4,73,113,21,242,73
2MCKEESPORT84,64,2,49,0,1,19,10,0,33,1,146,2,5,170,115,63,146,170
2MCKEESPORT85,78,1,25,0,0,2,0,0,0,0,254,3,3,14,104,2,254,14
2MCKEESPORT86,24,0,19,0,0,9,3,0,22,0,71,3,1,71,43,34,71,71
2MCKEESPORT91,64,6,39,0,0,4,2,0,36,1,156,1,5,131,109,42,156,131
2MCKEESPORT92,82,1,65,0,0,6,7,0,29,2,208,4,10,150,148,42,208,150
2MCKEESPORT93,50,2,48,0,0,7,3,0,15,1,148,1,4,117,100,25,148,117
2MCKEESROCKS11,44,0,7,0,0,0,0,0,1,0,128,1,0,3,51,1,128,3
2MCKEESROCKS12,63,0,51,0,0,2,4,0,10,1,221,3,4,89,114,16,221,89
2MCKEESROCKS21,74,3,77,0,0,5,10,0,9,2,262,1,7,119,154,24,262,119
2MCKEESROCKS22,73,0,32,0,0,4,8,0,11,2,223,2,6,94,105,23,223,94
2MCKEESROCKS31,102,4,53,0,0,6,11,0,28,0,256,7,10,193,159,45,256,193
2MCKEESROCKS32,61,0,52,0,0,5,4,0,10,1,212,5,2,102,113,19,212,102
2MCKEESROCKS33,71,3,49,0,0,2,10,0,20,2,210,2,3,104,123,32,210,104
2MILLVALE1,38,1,86,0,0,9,3,0,23,3,196,7,9,129,125,35,196,129
2MILLVALE2,38,1,70,0,0,3,6,0,29,0,143,7,7,121,109,38,143,121
2MILLVALE3,42,1,66,1,0,6,7,0,17,2,164,6,7,97,109,31,164,97
2MILLVALE4,41,1,60,0,0,5,7,0,37,1,137,6,7,131,102,49,137,131
2MILLVALE5,93,1,90,0,0,7,3,0,16,5,219,8,11,142,184,26,219,142
2MONROEVILLE11,99,2,77,0,0,19,5,0,40,0,258,0,8,222,178,64,258,222
2MONROEVILLE12,82,2,63,0,0,27,33,0,72,1,223,4,12,258,147,132,223,258
2MONROEVILLE13,142,2,77,1,0,42,53,1,55,3,378,2,17,271,221,152,378,271
2MONROEVILLE14,107,1,91,0,0,15,19,0,37,3,387,4,12,178,199,71,387,178
2MONROEVILLE21,154,4,99,0,0,38,47,2,76,2,394,6,12,304,257,163,394,304
2MONROEVILLE22,154,2,91,1,1,50,52,3,94,3,387,7,22,351,247,201,387,351
2MONROEVILLE23,175,4,104,0,0,49,59,0,127,0,423,2,15,394,283,235,423,394
2MONROEVILLE31,153,3,114,1,1,48,57,1,135,2,407,5,18,445,270,243,407,445
2MONROEVILLE32,67,2,64,0,1,33,28,0,73,3,211,1,7,290,133,135,211,290
2MONROEVILLE33,156,2,123,1,1,45,47,2,112,4,385,5,17,391,281,208,385,391
2MONROEVILLE34,61,0,31,0,0,14,26,1,51,1,166,0,11,150,92,92,166,150
2MONROEVILLE41,76,2,76,0,1,25,17,0,67,0,211,2,14,275,154,110,211,275
2MONROEVILLE42,106,1,108,2,1,43,51,0,93,3,342,5,21,367,215,190,342,367
2MONROEVILLE43,137,3,113,0,0,44,28,0,83,2,358,3,22,370,253,155,358,370
2MONROEVILLE51,83,4,79,0,0,37,16,0,56,1,193,3,4,274,166,109,193,274
2MONROEVILLE52,81,1,73,2,0,22,18,1,36,3,360,3,22,186,155,79,360,186
2MONROEVILLE53,116,2,57,0,1,33,19,2,83,1,329,3,15,253,175,138,329,253
2MONROEVILLE54,61,0,33,0,0,20,12,0,26,1,235,4,8,140,94,58,235,140
2MONROEVILLE61,126,5,87,0,1,31,19,0,69,1,262,6,15,340,218,120,262,340
2MONROEVILLE62,111,1,73,1,2,23,17,2,55,0,272,3,12,278,185,100,272,278
2MONROEVILLE63,123,0,102,0,0,20,21,1,48,1,427,5,10,238,225,90,427,238
2MONROEVILLE64,63,1,25,0,0,7,8,1,16,0,132,1,2,79,89,32,132,79
2MONROEVILLE71,229,2,132,3,0,43,49,1,92,0,596,6,22,393,363,188,596,393
2MONROEVILLE72,189,0,93,0,1,19,13,0,51,1,416,5,10,185,282,84,416,185
2MONROEVILLE73,119,2,59,0,4,19,21,0,56,1,248,2,5,197,180,100,248,197
2MOON1,109,3,92,0,0,30,45,0,78,3,438,3,33,437,204,153,438,437
2MOON10,86,1,65,1,1,35,40,0,75,4,264,1,18,286,152,152,264,286
2MOON11,148,2,114,1,1,49,74,2,140,3,409,4,22,577,264,267,409,577
2MOON12,123,3,87,0,0,41,77,3,105,1,356,6,30,384,213,226,356,384
2MOON13,67,5,61,0,1,44,38,0,87,0,209,2,18,313,133,170,209,313
2MOON2,178,4,146,2,1,74,118,2,185,1,575,9,39,698,328,382,575,698
2MOON3,162,5,117,0,0,45,57,0,91,2,447,9,23,431,284,193,447,431
2MOON4,74,1,60,0,1,21,29,0,82,2,228,3,17,309,135,133,228,309
2MOON5,192,2,175,0,3,81,129,2,207,3,759,7,47,959,369,422,759,959
2MOON6,209,4,131,2,0,68,122,4,231,3,668,10,33,918,344,427,668,918
2MOON7,144,4,108,1,1,40,51,0,111,2,460,6,35,454,256,204,460,454
2MOON8,121,1,92,0,1,41,45,0,110,1,315,3,19,399,214,197,315,399
2MOON9,122,3,113,2,1,79,78,0,204,6,461,3,33,729,238,364,461,729
2MT.LEBANON11,118,1,59,2,0,28,112,3,80,0,341,8,22,260,178,225,341,260
2MT.LEBANON12,108,1,90,0,0,21,28,0,25,2,338,6,17,124,199,74,338,124
2MT.LEBANON13,115,0,68,0,0,17,46,2,48,1,328,2,8,164,183,113,328,164
2MT.LEBANON14,126,1,67,0,1,21,51,1,61,1,379,4,9,210,194,135,379,210
2MT.LEBANON15,104,1,80,0,0,21,66,1,47,4,306,4,15,160,185,135,306,160
2MT.LEBANON16,148,1,84,1,0,35,94,1,95,3,439,5,15,313,233,226,439,313
2MT.LEBANON17,138,1,126,0,0,18,49,2,42,0,403,3,27,159,265,111,403,159
2MT.LEBANON21,155,1,83,1,0,27,115,0,78,1,481,3,19,234,239,221,481,234
2MT.LEBANON22,102,0,70,1,1,18,41,1,49,2,307,3,10,161,172,111,307,161
2MT.LEBANON23,108,0,81,1,0,29,56,1,44,1,350,1,23,143,189,131,350,143
2MT.LEBANON24,89,0,65,1,0,18,38,0,38,0,272,4,8,135,154,95,272,135
2MT.LEBANON25,113,0,73,0,0,22,53,1,45,1,326,1,14,156,186,121,326,156
2MT.LEBANON26,98,0,60,1,0,24,29,0,44,1,263,6,13,166,158,98,263,166
2MT.LEBANON27,132,0,71,0,1,23,27,0,50,2,319,2,9,176,203,101,319,176
2MT.LEBANON28,168,2,70,0,1,29,78,0,81,3,396,4,10,325,240,189,396,325
2MT.LEBANON31,116,1,45,2,0,26,60,0,46,0,294,3,16,183,162,134,294,183
2MT.LEBANON32,129,1,88,0,0,32,60,4,70,2,409,3,25,235,218,166,409,235
2MT.LEBANON33,98,3,58,0,0,18,80,2,62,0,278,1,17,215,159,162,278,215
2MT.LEBANON34,91,1,66,1,0,14,51,1,61,4,299,4,20,205,158,128,299,205
2MT.LEBANON35,103,2,67,1,1,29,62,1,61,1,332,9,28,172,172,155,332,172
2MT.LEBANON36,73,1,54,1,0,16,29,0,34,2,216,5,9,121,128,80,216,121
2MT.LEBANON37,147,2,65,0,0,41,73,3,80,2,328,7,12,281,214,197,328,281
2MT.LEBANON38,57,0,36,0,0,15,26,0,31,0,151,1,6,89,93,72,151,89
2MT.LEBANON41,116,0,69,0,0,21,51,1,52,1,365,5,16,174,185,125,365,174
2MT.LEBANON42,136,0,106,1,0,22,52,4,45,0,420,8,23,194,242,124,420,194
2MT.LEBANON43,118,3,68,3,0,27,35,0,52,1,305,3,15,196,189,117,305,196
2MT.LEBANON44,120,0,62,0,0,29,66,0,50,1,296,4,12,221,182,145,296,221
2MT.LEBANON45,99,0,70,1,0,11,71,1,55,2,300,4,11,175,169,139,300,175
2MT.LEBANON46,104,1,90,0,1,15,44,0,49,6,347,6,22,169,195,109,347,169
2MT.LEBANON47,131,0,80,0,1,15,52,1,50,1,384,3,8,179,211,119,384,179
2MT.LEBANON51,103,2,71,0,0,20,21,0,36,3,289,6,19,145,176,77,289,145
2MT.LEBANON52,52,1,41,1,0,11,9,0,18,1,185,4,7,86,94,39,185,86
2MT.LEBANON53,85,2,96,0,0,15,41,0,44,0,278,5,13,157,183,100,278,157
2MT.LEBANON54,94,0,56,0,0,21,45,0,35,0,272,6,12,165,150,101,272,165
2MT.LEBANON55,127,2,83,0,0,18,51,0,52,1,336,2,18,141,212,121,336,141
2MT.LEBANON56,73,2,54,0,1,17,38,0,28,0,223,0,17,131,129,84,223,131
2MT.LEBANON57,121,1,77,2,2,35,51,2,58,0,398,2,10,190,199,150,398,190
2MT.LEBANON58,117,0,129,1,1,29,33,0,51,3,469,7,22,202,246,115,469,202
2MT.OLIVER1,72,2,61,0,0,5,7,1,16,1,276,5,8,72,135,29,276,72
2MT.OLIVER2,97,3,70,0,2,4,1,0,13,3,342,2,7,102,170,20,342,102
2MT.OLIVER3,64,1,56,0,0,4,3,1,14,3,197,5,2,96,121,22,197,96
2MT.OLIVER4,50,1,35,0,0,0,2,1,10,0,142,2,9,74,86,13,142,74
2MUNHALL1,54,1,29,0,0,6,5,0,26,0,161,2,6,120,84,37,161,120
2MUNHALL10,82,2,64,0,0,7,10,0,19,1,182,1,10,162,148,36,182,162
2MUNHALL11,159,1,123,0,0,26,35,0,74,2,359,8,16,335,283,135,359,335
2MUNHALL12,102,5,76,1,0,12,7,0,48,4,200,4,10,233,183,68,200,233
2MUNHALL2,77,0,35,0,0,4,7,0,11,1,212,1,5,51,112,22,212,51
2MUNHALL3,64,1,67,0,0,8,2,0,4,1,256,3,7,66,132,14,256,66
2MUNHALL4,60,0,49,0,0,6,5,0,16,2,198,1,3,76,109,27,198,76
2MUNHALL5,111,0,90,1,0,14,13,0,41,1,252,3,14,222,201,69,252,222
2MUNHALL6,105,3,104,0,0,12,20,2,38,1,274,4,14,219,212,72,274,219
2MUNHALL7,193,2,154,0,0,25,24,2,70,5,444,5,21,374,349,121,444,374
2MUNHALL8,104,4,88,0,0,12,21,3,50,0,249,1,6,238,196,86,249,238
2MUNHALL9,109,6,91,0,0,9,13,0,40,1,274,5,5,220,206,62,274,220
2NEVILLE1,28,1,35,0,0,6,12,0,17,3,56,2,13,108,64,35,56,108
2NEVILLE2,35,1,19,1,1,5,7,0,8,1,67,1,3,58,55,22,67,58
2NEVILLE3,50,3,30,0,3,7,11,0,20,1,103,4,3,94,83,41,103,94
2NORTHBRADDOCK11,59,0,24,0,0,2,3,0,5,0,101,1,2,61,83,10,101,61
2NORTHBRADDOCK12,83,0,60,0,0,8,0,0,16,0,216,1,8,110,143,24,216,110
2NORTHBRADDOCK13,74,0,49,0,0,3,4,0,17,0,236,2,7,88,123,24,236,88
2NORTHBRADDOCK21,69,0,38,0,2,3,4,0,6,2,203,5,1,56,107,15,203,56
2NORTHBRADDOCK22,106,2,61,1,0,3,2,0,6,1,287,4,6,92,169,12,287,92
2NORTHBRADDOCK31,88,0,46,0,0,0,1,0,1,1,219,2,2,7,134,2,219,7
2NORTHBRADDOCK32,81,1,36,0,0,6,1,0,2,0,296,1,1,35,118,9,296,35
2NORTHFAYETTE1,190,5,117,0,1,54,63,1,231,2,501,6,31,893,312,350,501,893
2NORTHFAYETTE2,215,1,166,0,2,73,86,2,193,3,655,5,42,808,382,356,655,808
2NORTHFAYETTE3,261,4,147,0,0,68,82,1,188,4,673,9,30,816,412,339,673,816
2NORTHFAYETTE4,78,3,86,0,1,30,22,1,88,5,245,1,18,429,167,142,245,429
2NORTHFAYETTE5,195,6,154,1,1,97,82,3,237,2,597,8,29,980,355,421,597,980
2NORTHVERSAILLES11,92,5,54,0,0,11,12,1,51,2,208,1,12,247,151,75,208,247
2NORTHVERSAILLES12,99,3,88,0,0,13,14,0,81,1,228,3,11,277,190,108,228,277
2NORTHVERSAILLES21,89,4,61,0,0,22,4,2,48,2,221,1,8,237,154,76,221,237
2NORTHVERSAILLES22,41,2,18,0,0,5,1,0,20,0,80,1,4,60,61,26,80,60
2NORTHVERSAILLES31,81,0,54,0,0,14,16,0,52,0,170,0,13,195,135,82,170,195
2NORTHVERSAILLES32,93,0,53,0,2,13,13,0,32,1,207,2,9,202,146,60,207,202
2NORTHVERSAILLES41,66,2,40,0,0,5,5,0,37,1,148,1,9,181,108,47,148,181
2NORTHVERSAILLES42,54,2,36,0,1,7,6,0,46,2,129,2,4,160,92,60,129,160
2NORTHVERSAILLES51,60,2,45,0,0,3,7,0,22,0,182,4,8,126,107,32,182,126
2NORTHVERSAILLES52,51,0,30,0,0,6,4,2,19,2,119,2,2,107,81,31,119,107
2NORTHVERSAILLES61,81,3,70,0,1,22,17,0,52,1,190,2,14,272,154,92,190,272
2NORTHVERSAILLES62,64,1,68,1,1,20,7,0,46,3,162,3,7,222,133,75,162,222
2NORTHVERSAILLES7,152,2,60,0,0,7,5,0,13,2,347,2,8,90,214,25,347,90
2OAKDALE1,73,2,67,1,0,13,23,0,50,3,187,1,10,237,142,87,187,237
2OAKDALE2,71,0,56,0,0,16,12,0,47,2,145,3,11,180,127,75,145,180
2OAKMONT1,120,1,102,2,0,48,66,1,76,4,368,2,29,300,223,193,368,300
2OAKMONT2,135,1,85,3,1,53,116,2,131,1,370,4,15,401,221,306,370,401
2OAKMONT3,94,0,90,0,2,28,41,0,59,3,284,2,12,245,184,130,284,245
2OAKMONT4,101,2,101,2,0,48,54,0,67,6,337,2,22,275,204,171,337,275
2OAKMONT5,82,1,94,0,0,30,40,0,59,1,279,4,15,226,177,129,279,226
2OAKMONT6,147,3,73,1,1,33,44,1,73,5,412,4,20,316,223,153,412,316
2OHARA11,133,2,89,1,1,34,68,1,82,3,394,4,22,299,224,187,394,299
2OHARA12,69,0,65,0,0,17,30,1,56,0,261,4,12,202,134,104,261,202
2OHARA21,104,0,65,2,0,22,51,1,44,1,275,4,18,165,169,120,275,165
2OHARA22,112,0,76,0,0,32,71,2,81,1,375,9,17,295,188,186,375,295
2OHARA31,85,0,73,0,0,32,48,1,59,1,278,3,16,233,158,140,278,233
2OHARA32,77,2,65,0,0,22,26,0,61,1,197,4,16,227,144,109,197,227
2OHARA41,106,0,52,4,0,17,49,5,43,0,251,2,9,141,158,118,251,141
2OHARA42,142,1,116,1,2,22,37,1,63,1,408,3,16,187,259,126,408,187
2OHARA51,102,0,63,0,0,23,51,2,67,5,324,1,17,224,165,143,324,224
2OHARA52,159,0,75,0,0,21,61,1,60,2,423,2,10,236,234,143,423,236
2OHIO1,137,1,82,1,1,68,123,3,162,1,439,7,45,561,220,358,439,561
2OHIO2,174,1,111,1,1,68,103,3,143,4,483,4,26,644,286,319,483,644
2OHIO3,187,0,102,2,4,68,106,0,150,4,626,5,44,608,289,330,626,608
2OSBORNE,69,0,28,1,0,16,34,0,40,0,187,1,16,139,97,91,187,139
2PENNHILLS11,222,1,69,1,1,2,2,0,6,1,498,1,2,28,292,12,498,28
2PENNHILLS12,220,1,67,1,0,4,4,0,9,1,494,2,1,41,288,18,494,41
2PENNHILLS13,110,0,37,0,0,0,1,0,2,1,335,0,2,11,147,3,335,11
2PENNHILLS14,79,0,22,0,1,0,1,0,3,0,200,0,2,11,101,5,200,11
2PENNHILLS15,59,0,19,0,0,0,0,0,0,0,173,1,0,1,78,0,173,1
2PENNHILLS21,174,1,71,0,1,6,2,0,7,0,465,5,10,50,246,16,465,50
2PENNHILLS22,144,0,106,1,0,8,6,0,7,1,463,7,4,44,250,22,463,44
2PENNHILLS23,157,1,92,1,2,11,17,0,21,3,514,5,6,109,250,52,514,109
2PENNHILLS24,133,0,84,0,1,16,16,0,19,1,373,6,8,67,217,52,373,67
2PENNHILLS31,110,1,81,2,1,21,29,2,57,1,311,5,10,201,192,112,311,201
2PENNHILLS32,113,1,40,0,0,8,11,0,18,0,263,2,7,77,154,37,263,77
2PENNHILLS33,121,0,55,0,1,14,10,1,22,2,342,4,11,90,176,48,342,90
2PENNHILLS34,167,0,78,1,2,21,13,0,25,7,437,3,7,120,245,62,437,120
2PENNHILLS35,62,0,49,0,0,5,2,0,15,0,211,2,9,62,111,22,211,62
2PENNHILLS36,74,2,38,0,0,7,18,1,27,2,211,1,5,117,114,53,211,117
2PENNHILLS41,92,0,51,0,0,13,18,0,18,1,281,3,12,92,143,49,281,92
2PENNHILLS42,131,0,88,0,1,14,3,0,38,1,360,5,8,145,219,56,360,145
2PENNHILLS43,123,2,71,0,0,7,22,0,51,0,344,7,14,169,196,80,344,169
2PENNHILLS44,109,0,72,0,0,22,10,1,20,0,299,4,12,107,181,53,299,107
2PENNHILLS45,87,0,67,0,0,16,18,0,22,3,262,3,9,131,154,56,262,131
2PENNHILLS51,131,0,82,0,1,16,5,2,31,0,329,2,4,170,213,55,329,170
2PENNHILLS52,88,1,51,0,0,7,11,0,34,1,253,1,7,138,140,52,253,138
2PENNHILLS53,130,2,61,0,1,30,32,1,48,0,321,3,11,194,193,112,321,194
2PENNHILLS54,119,1,61,0,1,22,21,0,51,0,279,3,12,185,181,95,279,185
2PENNHILLS55,95,1,52,0,0,18,13,1,34,1,236,2,5,127,148,66,236,127
2PENNHILLS56,104,0,77,0,0,16,25,0,49,2,322,6,6,187,181,90,322,187
2PENNHILLS61,47,0,52,0,0,16,14,0,32,3,204,0,5,155,99,62,204,155
2PENNHILLS62,112,3,80,0,0,20,13,0,28,0,302,3,4,131,195,61,302,131
2PENNHILLS63,117,1,58,0,1,21,11,0,25,3,273,6,6,121,176,58,273,121
2PENNHILLS64,119,1,64,0,0,7,2,0,15,0,357,2,5,53,184,24,357,53
2PENNHILLS65,108,1,50,0,0,13,8,0,11,1,309,2,3,101,159,32,309,101
2PENNHILLS66,102,1,75,0,0,16,10,0,22,2,281,4,8,141,178,48,281,141
2PENNHILLS71,141,1,71,1,1,15,8,0,27,1,377,3,7,123,213,52,377,123
2PENNHILLS72,80,1,56,1,1,23,10,0,29,2,221,3,8,170,137,64,221,170
2PENNHILLS73,155,2,103,0,0,25,9,0,47,1,447,3,11,172,260,81,447,172
2PENNHILLS74,106,4,72,0,0,17,11,1,41,6,237,5,11,193,182,70,237,193
2PENNHILLS75,107,1,73,0,0,24,21,0,40,4,309,1,10,169,181,85,309,169
2PENNHILLS76,131,1,75,0,1,18,16,1,41,1,355,2,5,178,207,77,355,178
2PENNHILLS77,77,1,81,1,1,16,19,0,45,0,240,2,11,216,159,82,240,216
2PENNHILLS81,89,5,64,0,0,35,19,0,57,5,236,4,10,228,158,111,236,228
2PENNHILLS82,67,0,62,0,0,23,9,2,48,2,189,3,10,207,129,82,189,207
2PENNHILLS83,64,1,60,0,1,29,22,1,37,2,177,5,14,199,125,90,177,199
2PENNHILLS84,87,3,66,0,0,27,22,0,56,0,239,3,10,240,156,105,239,240
2PENNHILLS85,121,1,119,0,1,35,29,3,55,4,346,8,21,277,241,123,346,277
2PENNHILLS86,65,1,57,0,1,22,19,0,42,1,169,3,5,201,123,84,169,201
2PENNHILLS91,68,1,71,0,1,19,28,0,54,0,210,1,17,187,140,102,210,187
2PENNHILLS92,73,3,46,2,0,27,28,0,43,0,211,4,9,170,122,100,211,170
2PENNHILLS93,117,3,81,1,2,33,21,2,60,1,310,3,16,271,201,119,310,271
2PENNHILLS94,91,2,84,0,0,12,19,0,65,2,233,2,17,206,177,96,233,206
2PENNHILLS95,87,0,29,0,0,4,0,0,4,0,202,1,0,15,116,8,202,15
2PENNSBURYVILLAGE,87,3,47,1,0,18,23,2,41,2,234,4,20,189,137,85,234,189
2PINE1,80,0,53,0,1,54,109,0,144,1,363,3,23,518,133,308,363,518
2PINE2,113,1,65,2,1,77,156,1,161,0,443,2,45,753,179,398,443,753
2PINE3,38,1,27,0,0,26,16,1,53,2,121,0,9,214,66,96,121,214
2PINE4,85,2,65,2,0,49,104,0,143,4,356,7,21,514,152,298,356,514
2PINE5,121,2,78,0,1,82,124,1,172,2,496,3,39,685,201,380,496,685
2PINE6,24,0,18,0,0,43,64,0,55,3,138,2,13,258,42,162,138,258
2PINE7,111,1,98,1,1,62,81,3,151,4,417,1,47,528,210,299,417,528
2PINE8,79,0,54,0,0,63,80,1,129,1,295,5,16,494,133,273,295,494
2PITCAIRN1,81,0,100,1,0,24,10,1,60,1,301,3,12,255,181,96,301,255
2PITCAIRN2,56,0,33,0,0,12,4,0,20,1,163,6,8,120,89,36,163,120
2PITCAIRN3,87,5,91,0,0,15,15,0,51,1,188,6,19,256,183,81,188,256
2PITTSBURGH101,186,3,251,0,1,17,15,0,22,0,250,2,10,75,440,55,250,75
2PITTSBURGH1011,101,1,102,0,1,6,13,1,16,1,327,9,10,92,204,37,327,92
2PITTSBURGH1012,156,0,83,0,0,3,3,0,2,0,351,6,3,29,239,8,351,29
2PITTSBURGH1013,135,1,84,0,0,2,2,1,14,0,347,3,11,53,220,19,347,53
2PITTSBURGH1014,150,1,86,0,0,9,4,0,9,0,374,1,2,41,237,22,374,41
2PITTSBURGH1015,96,0,34,0,0,1,3,0,2,0,242,2,0,12,130,6,242,12
2PITTSBURGH1016,64,0,36,0,0,1,3,0,0,0,197,3,0,5,100,4,197,5
2PITTSBURGH1017,113,0,75,0,0,6,1,0,3,1,322,7,7,23,188,10,322,23
2PITTSBURGH1018,106,0,96,0,1,0,1,0,1,1,330,6,4,12,202,3,330,12
2PITTSBURGH1019,105,0,58,0,0,3,0,0,4,0,299,5,3,12,163,7,299,12
2PITTSBURGH102,62,0,131,0,0,4,9,0,21,1,314,7,11,82,193,34,314,82
2PITTSBURGH103,84,1,149,0,0,5,11,0,9,0,366,10,7,88,234,25,366,88
2PITTSBURGH104,138,1,110,0,0,4,7,1,18,0,327,4,5,87,249,30,327,87
2PITTSBURGH105,100,1,90,0,0,4,8,0,14,4,278,5,13,80,191,26,278,80
2PITTSBURGH106,83,3,117,0,0,9,9,0,11,1,242,2,18,92,203,29,242,92
2PITTSBURGH107,90,1,112,0,0,17,13,0,23,1,283,5,10,113,203,53,283,113
2PITTSBURGH108,87,4,124,0,0,10,16,1,24,1,272,9,9,137,215,51,272,137
2PITTSBURGH109,86,2,93,0,0,7,13,1,8,1,262,5,13,111,181,29,262,111
2PITTSBURGH11,95,0,160,1,0,18,33,0,30,2,1136,21,51,405,255,82,1136,405
2PITTSBURGH111,298,0,227,1,1,8,28,2,12,3,385,4,10,40,525,52,385,40
2PITTSBURGH1111,122,0,122,0,0,11,19,0,2,3,432,8,13,37,244,32,432,37
2PITTSBURGH1112,171,0,141,0,0,3,11,0,6,2,426,11,2,43,312,20,426,43
2PITTSBURGH1113,178,3,124,0,0,5,9,0,4,2,434,5,3,53,305,18,434,53
2PITTSBURGH1114,113,0,75,0,0,1,4,0,3,0,344,2,1,18,188,8,344,18
