precinct,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP,gen_amd_FUENTE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
BEAVERHEADPRECINCT 01,27,44,10,18,30,8,78,1,175,15,48,203,71,144,175,203
BEAVERHEADPRECINCT 02,22,50,9,38,23,13,252,4,127,16,35,551,72,335,127,551
BEAVERHEADPRECINCT 03,36,33,11,35,35,18,269,0,158,5,32,507,69,368,158,507
BEAVERHEADPRECINCT 04,10,7,5,13,7,5,76,0,34,1,6,131,17,106,34,131
BEAVERHEADPRECINCT 05,1,1,2,7,5,2,56,0,9,1,4,99,2,72,9,99
BEAVERHEADPRECINCT 06,27,34,7,17,24,11,157,2,129,10,35,324,61,216,129,324
BEAVERHEADPRECINCT 07,11,13,3,16,18,7,120,2,40,4,12,231,24,164,40,231
BEAVERHEADPRECINCT 08,2,4,2,3,6,3,37,1,14,0,2,56,6,51,14,56
BEAVERHEADPRECINCT 09,15,29,14,12,10,7,143,1,87,4,19,300,44,186,87,300
BEAVERHEADPRECINCT 12,38,36,16,11,30,9,148,2,157,2,21,270,74,214,157,270
BEAVERHEADPRECINCT 14,27,41,3,12,13,6,94,2,125,7,27,225,68,128,125,225
BEAVERHEADPRECINCT 17,8,10,3,2,2,0,44,2,18,1,3,82,18,51,18,82
BEAVERHEADPRECINCT 19,2,7,0,4,4,2,67,1,14,1,6,92,9,77,14,92
BEAVERHEADPRECINCT 20,1,0,0,3,2,3,51,0,2,1,0,74,1,59,2,74
BEAVERHEADPRECINCT 21,11,6,4,7,3,3,55,0,25,2,10,117,17,72,25,117
BEAVERHEADPRECINCT 23,6,8,2,5,1,1,52,0,29,0,5,91,14,61,29,91
BIG HORNPRECINCT #1,8,11,2,5,1,2,46,0,56,0,4,93,19,56,56,93
BIG HORNPRECINCT #10,3,2,0,1,2,3,22,0,12,1,1,49,5,28,12,49
BIG HORNPRECINCT #14,18,16,0,0,0,1,12,1,70,2,7,51,34,13,70,51
BIG HORNPRECINCT #15,30,50,0,4,0,0,24,3,129,7,21,107,80,28,129,107
BIG HORNPRECINCT #17,32,34,1,5,3,3,83,1,116,3,15,200,66,95,116,200
BIG HORNPRECINCT #18,20,28,0,12,3,2,79,1,81,5,26,194,48,96,81,194
BIG HORNPRECINCT #19,34,55,5,16,1,5,122,2,172,7,35,269,89,149,172,269
BIG HORNPRECINCT #2,8,10,1,2,1,1,22,0,46,0,7,56,18,27,46,56
BIG HORNPRECINCT #21,54,35,1,1,4,0,24,2,228,6,4,93,89,30,228,93
BIG HORNPRECINCT #25,9,8,0,1,0,2,17,1,64,1,1,57,17,20,64,57
BIG HORNPRECINCT #26,23,37,0,6,1,2,15,3,224,7,11,73,60,24,224,73
BIG HORNPRECINCT #3,7,10,0,2,1,0,45,0,20,0,3,114,17,48,20,114
BIG HORNPRECINCT #4,5,5,0,5,1,0,30,0,13,2,2,60,10,36,13,60
BIG HORNPRECINCT #4N,5,10,2,3,0,1,58,0,16,0,4,124,15,64,16,124
BIG HORNPRECINCT #5,26,21,1,8,1,2,14,0,136,2,4,48,47,26,136,48
BIG HORNPRECINCT #6,4,6,0,1,0,0,22,0,14,0,2,50,10,23,14,50
BIG HORNPRECINCT #7,101,108,1,4,2,1,18,6,554,25,30,89,209,26,554,89
BIG HORNPRECINCT #8,10,15,0,2,1,2,45,0,46,2,5,98,25,50,46,98
BIG HORNPRECINCT #9,17,25,0,0,0,1,6,1,97,1,3,28,42,7,97,28
BLAINEBELKNAP 3-32,49,73,1,0,0,0,13,2,300,17,11,35,122,14,300,35
BLAINECHINOOK 11-33,66,103,5,21,8,10,138,2,172,11,37,381,169,182,172,381
BLAINEHARLEM 8-32,52,52,0,7,1,6,45,2,152,11,9,113,104,59,152,113
BLAINEHARLEM 9-32,18,24,0,0,0,0,2,5,126,14,3,12,42,2,126,12
BLAINEHAYS 15-32,51,91,2,1,0,0,8,10,350,19,11,43,142,11,350,43
BLAINENO CHINOOK 13-33,7,9,0,4,3,0,38,0,16,0,3,97,16,45,16,97
BLAINESO CHINOOK 10-32,29,39,6,15,6,2,135,3,54,1,19,370,68,164,54,370
BLAINETURNER 1-33,8,15,2,4,7,2,109,2,32,0,9,217,23,124,32,217
BROADWATERPRECINCT 1,42,74,5,21,19,5,203,2,150,5,24,484,116,253,150,484
BROADWATERPRECINCT 11,41,49,4,29,11,9,255,0,100,6,30,513,90,308,100,513
BROADWATERPRECINCT 12,46,53,15,27,12,20,200,1,132,11,42,485,99,274,132,485
BROADWATERPRECINCT 13,18,36,7,40,3,6,200,1,86,10,39,532,54,256,86,532
BROADWATERPRECINCT 7,43,45,10,26,9,7,147,1,105,5,34,334,88,199,105,334
CARBONP 1,41,43,2,16,8,8,152,1,100,3,19,402,84,186,100,402
CARBONP 10,60,82,1,11,10,3,45,3,221,11,28,161,142,70,221,161
CARBONP 11,139,116,4,6,12,3,210,1,400,1,42,454,255,235,400,454
CARBONP 15,48,37,4,23,6,4,165,0,102,11,27,424,85,202,102,424
CARBONP 16,30,24,2,9,10,5,98,0,86,4,10,202,54,124,86,202
CARBONP 2,30,24,1,12,5,2,68,1,73,5,14,178,54,88,73,178
CARBONP 3,25,30,2,22,10,14,174,1,104,6,20,461,55,222,104,461
CARBONP 4,22,28,2,10,3,4,86,3,65,1,21,227,50,105,65,227
CARBONP 5,22,35,2,20,5,3,112,1,50,2,17,280,57,142,50,280
CARBONP 6,29,35,1,10,6,3,99,1,72,7,22,217,64,119,72,217
CARBONP 7,31,36,4,24,12,6,166,1,111,4,29,379,67,212,111,379
CARBONP 8,78,96,2,4,10,9,93,0,245,11,31,223,174,118,245,223
CARBONP 9,61,103,1,6,3,2,47,1,199,4,27,140,164,59,199,140
CARTERPRECINCT #1 ALZADA,2,0,1,17,3,0,55,0,6,2,2,101,2,76,6,101
CARTERPRECINCT #13 EKALAKA,13,20,3,21,6,4,94,1,32,2,15,170,33,128,32,170
CARTERPRECINCT #14 RURAL EKALAKA,6,6,5,26,13,9,176,0,28,2,6,343,12,229,28,343
CARTERPRECINCT #3 HAMMOND,0,0,1,4,1,1,24,0,4,0,1,64,0,31,4,64
CASCADEP19A1,33,29,0,11,9,0,138,1,94,5,22,309,62,158,94,309
CASCADEP19A2,86,65,8,72,42,14,304,1,197,6,45,676,151,440,197,676
CASCADEP19A3,29,28,3,12,8,4,141,0,73,4,13,280,57,168,73,280
CASCADEP19A4,45,52,3,16,17,1,135,2,139,4,26,272,97,172,139,272
CASCADEP19B1,3,4,0,5,2,2,28,0,12,1,4,55,7,37,12,55
CASCADEP19B2,114,91,6,18,30,14,341,4,271,9,42,692,205,409,271,692
CASCADEP19C,63,45,6,18,16,6,183,0,151,5,30,417,108,229,151,417
CASCADEP19D,67,45,8,12,14,6,121,5,128,8,31,289,112,161,128,289
CASCADEP19E,5,4,4,8,10,6,116,0,88,2,15,183,9,144,88,183
CASCADEP20A,550,376,44,110,226,57,1312,8,1385,21,210,2726,926,1749,1385,2726
CASCADEP20B,190,83,12,25,50,29,405,3,456,10,53,799,273,521,456,799
CASCADEP21A,656,487,22,80,71,37,915,17,1549,47,224,2419,1143,1125,1549,2419
CASCADEP21B,58,54,1,5,3,2,70,2,141,12,18,220,112,81,141,220
CASCADEP22A,472,354,12,64,35,14,585,14,1130,51,196,1492,826,710,1130,1492
CASCADEP22B.,111,98,5,32,14,11,289,5,301,9,69,671,209,351,301,671
CASCADEP22C,2,3,0,0,1,2,16,9,12,1,4,27,5,19,12,27
CASCADEP23,639,426,28,95,57,28,721,11,1534,63,217,1798,1065,929,1534,1798
CASCADEP24,655,536,30,95,66,38,774,19,1599,52,269,2024,1191,1003,1599,2024
CASCADEP25,563,502,13,84,67,28,716,19,1533,70,248,2027,1065,908,1533,2027
CASCADEP26A,400,345,17,54,37,14,487,10,986,45,164,1249,745,609,986,1249
CASCADEP26B,9,28,0,5,1,1,26,1,101,12,35,200,37,33,101,200
CASCADEP27,68,40,5,14,10,4,211,2,194,4,31,456,108,244,194,456
CASCADEP30,33,49,5,12,9,7,174,2,101,5,30,351,82,207,101,351
CHOUTEAUBIG SANDY 8,28,22,3,15,5,2,76,1,62,0,15,187,50,101,62,187
CHOUTEAUBIG SANDY 9,32,19,9,19,12,5,129,1,59,5,14,263,51,174,59,263
CHOUTEAUCARTER 4,17,12,3,6,11,5,111,1,56,5,6,181,29,136,56,181
CHOUTEAUFORT BENTON 1,55,30,6,13,18,7,150,3,135,7,27,285,85,194,135,285
CHOUTEAUFORT BENTON 2,52,37,6,19,22,3,133,1,158,9,30,269,89,183,158,269
CHOUTEAUGERALDINE 3,26,25,2,8,8,6,115,1,75,4,21,198,51,139,75,198
CHOUTEAUHIGHWOOD 6,28,13,3,9,16,6,94,2,52,2,9,202,41,128,52,202
CHOUTEAULOMA 7,7,9,4,5,3,1,50,0,20,0,8,90,16,63,20,90
CHOUTEAUROCKY BOY 5,22,15,0,0,0,0,2,0,115,5,1,4,37,2,115,4
CUSTERCCDHS,100,79,8,19,20,12,239,1,236,5,55,627,179,298,236,627
CUSTERHIGHLAND PARK SCH,134,82,7,38,30,25,311,5,314,3,70,835,216,411,314,835
CUSTERISMAY CHURCH,0,1,0,0,0,1,23,0,1,0,0,32,1,24,1,32
CUSTERJEFFERSON SCH,109,89,6,19,10,11,273,2,265,19,81,771,198,319,265,771
CUSTERKINSEY,16,21,0,9,4,0,45,0,39,0,7,124,37,58,39,124
CUSTERKIRCHER,26,14,1,3,1,4,48,0,46,0,6,126,40,57,46,126
CUSTERKNOWLTON SCH,0,2,2,5,1,2,21,0,3,0,1,51,2,31,3,51
CUSTERNAT'L GUARD,4,12,1,2,0,5,62,0,21,0,8,123,16,70,21,123
CUSTERRIVERVIEW SCHOOL,1,0,2,0,0,1,17,0,1,0,0,26,1,20,1,26
CUSTERS-H SCHOOL,3,3,1,5,2,1,32,0,8,0,2,83,6,41,8,83
CUSTERSHEFFIELD MOON,5,14,2,6,6,3,98,1,31,2,11,242,19,115,31,242
CUSTERSPRING CREEK SCH,0,0,0,5,0,1,26,0,0,0,0,46,0,32,0,46
CUSTERSY SCHOOL,2,1,0,1,2,4,8,0,2,0,2,26,3,15,2,26
CUSTERWASHINGTON SCH,76,70,6,13,8,6,167,6,209,6,59,545,146,200,209,545
DANIELSPRECINCT #2,11,6,2,3,7,1,47,0,25,1,9,102,17,60,25,102
DANIELSPRECINCT #3,10,14,1,10,9,4,121,0,36,2,14,243,24,145,36,243
DANIELSPRECINCT #5,23,14,2,6,16,3,105,0,58,1,21,212,37,132,58,212
DANIELSPRECINCT #6,21,10,1,5,11,6,67,0,49,2,7,173,31,90,49,173
DAWSONPRECINCT 01,21,30,3,9,21,4,96,1,83,5,18,246,51,133,83,246
DAWSONPRECINCT 02,25,31,4,15,18,6,187,1,94,4,35,371,56,230,94,371
DAWSONPRECINCT 03,47,47,14,32,42,10,295,2,185,8,27,565,94,393,185,565
DAWSONPRECINCT 04,27,29,5,14,14,7,128,1,106,6,31,302,56,168,106,302
DAWSONPRECINCT 05,19,7,2,8,6,7,112,0,39,2,10,228,26,135,39,228
DAWSONPRECINCT 06,40,35,10,37,28,17,391,0,106,3,32,736,75,483,106,736
DAWSONPRECINCT 07,49,55,11,43,24,8,477,2,174,5,31,872,104,563,174,872
DEER LODGEPRECINCT 1-77E,119,114,1,6,3,1,57,2,260,12,44,157,233,68,260,157
DEER LODGEPRECINCT 1-77W,148,111,4,10,6,4,99,1,302,2,24,195,259,123,302,195
DEER LODGEPRECINCT 1-78,22,12,1,1,1,1,20,0,44,0,7,41,34,24,44,41
DEER LODGEPRECINCT 2-77E,71,54,0,4,0,1,35,1,159,6,17,104,125,40,159,104
DEER LODGEPRECINCT 2-77W,96,66,0,1,2,2,43,1,185,10,27,123,162,48,185,123
DEER LODGEPRECINCT 2-78,15,9,0,4,0,1,11,2,35,3,3,25,24,16,35,25
DEER LODGEPRECINCT 3-77E,68,59,1,8,1,2,45,2,144,11,21,124,127,57,144,124
DEER LODGEPRECINCT 3-77W,59,57,0,4,0,0,33,3,145,10,30,114,116,37,145,114
DEER LODGEPRECINCT 3-78,26,18,0,4,3,2,16,1,66,1,1,47,44,25,66,47
DEER LODGEPRECINCT 4-77,17,9,0,1,1,0,39,0,27,0,9,59,26,41,27,59
DEER LODGEPRECINCT 4-78E,52,53,0,7,1,3,62,4,104,6,24,143,105,73,104,143
DEER LODGEPRECINCT 4-78W,38,41,3,11,4,1,70,1,98,4,7,156,79,89,98,156
DEER LODGEPRECINCT 5-77N,140,111,2,5,7,5,123,3,266,6,35,268,251,142,266,268
DEER LODGEPRECINCT 5-77S,119,83,0,8,2,6,94,2,223,3,27,207,202,110,223,207
FALLONPRECINCT 1,11,9,7,15,10,13,201,1,47,1,11,341,20,246,47,341
FALLONPRECINCT 2,11,9,4,26,13,8,177,0,52,2,21,336,20,228,52,336
FALLONPRECINCT 3,12,1,5,28,9,6,220,1,40,0,4,391,13,268,40,391
FALLONPRECINCT 4,0,2,1,12,15,7,136,0,15,1,9,211,2,171,15,211
FERGUSPREC 10,36,25,8,17,7,5,82,1,91,6,15,207,61,119,91,207
FERGUSPREC 11,44,36,6,10,15,4,124,1,132,6,18,288,80,159,132,288
FERGUSPREC 12,3,2,0,6,6,2,34,0,15,1,10,65,5,48,15,65
FERGUSPREC 13,51,30,6,34,16,9,163,2,125,2,26,352,81,228,125,352
FERGUSPREC 14,25,15,9,14,11,8,121,1,61,2,22,248,40,163,61,248
FERGUSPREC 16,10,14,3,14,11,6,102,0,27,2,14,196,24,136,27,196
FERGUSPREC 17,37,34,3,20,14,4,149,3,100,1,18,304,71,190,100,304
FERGUSPREC 18,4,2,0,6,1,1,102,0,14,1,4,165,6,110,14,165
FERGUSPREC 2,44,64,6,26,30,13,322,2,157,8,42,643,108,397,157,643
FERGUSPREC 3,22,17,7,15,19,8,140,0,59,2,13,313,39,189,59,313
FERGUSPREC 4,19,12,3,21,14,13,123,1,42,0,23,253,31,174,42,253
FERGUSPREC 5,11,15,0,14,3,6,128,0,34,3,9,286,26,151,34,286
FERGUSPREC 6,42,28,2,22,13,3,106,2,134,4,19,239,70,146,134,239
FERGUSPREC 7,15,20,3,16,10,6,74,1,77,4,18,233,35,109,77,233
FERGUSPREC 8,18,20,3,11,7,1,103,0,58,7,19,239,38,125,58,239
FERGUSPREC 9,34,24,1,10,24,4,109,1,76,3,32,238,58,148,76,238
FLATHEADPRECINCT 1,38,70,1,14,9,8,98,4,184,9,41,373,108,130,184,373
FLATHEADPRECINCT 11,73,75,4,31,21,12,330,1,196,19,38,758,148,398,196,758
FLATHEADPRECINCT 13,88,103,7,34,48,14,448,3,350,15,66,962,191,551,350,962
FLATHEADPRECINCT 14,32,44,1,18,10,1,180,0,135,5,21,435,76,210,135,435
FLATHEADPRECINCT 15,35,53,2,28,5,3,259,2,168,3,39,718,88,297,168,718
FLATHEADPRECINCT 16,79,152,4,17,15,6,175,1,318,25,59,526,231,217,318,526
FLATHEADPRECINCT 17,43,40,0,3,3,3,54,1,125,7,8,144,83,63,125,144
FLATHEADPRECINCT 18,83,143,5,33,15,10,336,6,400,23,60,882,226,399,400,882
FLATHEADPRECINCT 19,39,54,7,32,15,7,255,6,166,13,47,763,93,316,166,763
FLATHEADPRECINCT 2,65,103,3,11,9,8,142,1,318,20,49,451,168,173,318,451
FLATHEADPRECINCT 20,183,311,10,32,36,13,240,6,851,40,98,615,494,331,851,615
FLATHEADPRECINCT 21,38,70,5,30,17,4,212,3,180,8,50,650,108,268,180,650
FLATHEADPRECINCT 23,62,93,4,16,16,5,217,4,233,11,60,519,155,258,233,519
FLATHEADPRECINCT 24,19,41,3,18,11,4,253,1,92,6,21,570,60,289,92,570
FLATHEADPRECINCT 25,67,71,9,32,12,8,317,1,209,7,69,806,138,378,209,806
FLATHEADPRECINCT 26,36,34,1,22,9,7,182,2,124,5,20,472,70,221,124,472
FLATHEADPRECINCT 29,75,71,11,20,48,20,399,0,282,12,75,1039,146,498,282,1039
FLATHEADPRECINCT 3,64,126,4,21,21,6,172,2,316,19,41,493,190,224,316,493
FLATHEADPRECINCT 31,154,172,22,54,56,32,497,3,572,16,106,1358,326,661,572,1358
FLATHEADPRECINCT 32,43,115,6,20,10,6,153,1,265,18,54,483,158,195,265,483
FLATHEADPRECINCT 33,17,28,1,4,4,2,102,1,75,1,23,272,45,113,75,272
FLATHEADPRECINCT 34,94,89,8,58,44,15,448,1,331,9,59,1037,183,573,331,1037
FLATHEADPRECINCT 35,93,149,4,31,22,7,286,3,378,16,83,813,242,350,378,813
FLATHEADPRECINCT 36,69,108,7,47,46,23,455,2,335,16,57,1157,177,578,335,1157
FLATHEADPRECINCT 37,82,172,8,50,23,15,382,5,412,18,97,1252,254,478,412,1252
FLATHEADPRECINCT 38,158,132,8,56,42,11,478,2,462,20,44,1154,290,595,462,1154
FLATHEADPRECINCT 39,59,89,2,8,9,4,159,2,258,17,34,368,148,182,258,368
FLATHEADPRECINCT 4,90,140,5,17,24,9,167,1,350,30,65,519,230,222,350,519
FLATHEADPRECINCT 41,134,147,14,27,64,13,410,1,476,17,75,906,281,528,476,906
FLATHEADPRECINCT 42,90,107,6,47,28,23,429,2,325,18,45,1067,197,533,325,1067
FLATHEADPRECINCT 43,97,176,5,46,35,17,444,3,400,20,62,1168,273,547,400,1168
FLATHEADPRECINCT 44,117,155,5,45,39,9,326,0,460,26,63,757,272,424,460,757
FLATHEADPRECINCT 45,132,147,5,12,58,7,215,7,587,21,41,565,279,297,587,565
FLATHEADPRECINCT 47,118,229,2,12,27,5,115,2,669,36,73,367,347,161,669,367
FLATHEADPRECINCT 48,80,68,4,25,27,7,210,0,281,11,36,516,148,273,281,516
FLATHEADPRECINCT 49,105,152,8,16,48,14,202,1,450,26,53,476,257,288,450,476
FLATHEADPRECINCT 5,69,84,7,23,22,8,288,5,270,17,47,777,153,348,270,777
FLATHEADPRECINCT 50,42,63,4,34,11,14,302,2,170,10,57,824,105,365,170,824
FLATHEADPRECINCT 6,179,142,10,78,84,27,702,5,633,19,83,1547,321,901,633,1547
FLATHEADPRECINCT 7,74,83,3,27,26,9,248,3,254,12,38,697,157,313,254,697
FLATHEADPRECINCT 8,48,50,2,29,17,6,263,5,151,10,27,588,98,317,151,588
FLATHEADPRECINCT 89,22,36,1,13,6,3,165,5,82,5,15,396,58,188,82,396
GALLATINPCT 59A,58,50,1,5,7,4,63,1,179,5,17,130,108,80,179,130
GALLATINPCT 61A,300,281,7,45,43,14,314,2,881,14,91,745,581,423,881,745
GALLATINPCT 61B,271,291,7,68,37,15,299,4,842,32,99,787,562,426,842,787
GALLATINPCT 61C,344,416,10,18,23,13,132,4,1147,49,112,371,760,196,1147,371
GALLATINPCT 61D,333,312,20,51,65,23,311,0,976,25,91,701,645,470,976,701
GALLATINPCT 62A,274,359,3,15,31,4,60,6,1109,29,103,248,633,113,1109,248
GALLATINPCT 62B,217,325,12,20,16,6,81,5,956,40,133,302,542,135,956,302
GALLATINPCT 62C,398,282,14,36,64,26,234,5,1015,27,88,505,680,374,1015,505
GALLATINPCT 62D,331,338,18,64,63,22,290,3,1142,37,162,866,669,457,1142,866
