precinct,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP,gen_amd_FUENTE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
ROSEBUDPRECINCT 21,4,11,0,0,4,2,48,0,10,0,5,116,15,54,10,116
ROSEBUDPRECINCT 26,0,5,1,2,0,0,23,0,4,0,3,60,5,26,4,60
ROSEBUDPRECINCT 3,58,39,4,12,12,7,133,0,100,2,28,333,97,168,100,333
ROSEBUDPRECINCT 30,16,34,1,11,1,3,92,1,59,1,16,274,50,108,59,274
ROSEBUDPRECINCT 32,45,79,4,30,9,11,272,1,138,5,39,592,124,326,138,592
ROSEBUDPRECINCT 6,27,34,1,7,6,2,126,2,70,1,16,300,61,142,70,300
ROSEBUDPRECINCT 7,1,8,0,1,0,0,17,1,13,0,2,30,9,18,13,30
SANDERS1-HERON-HD13,13,40,3,4,2,0,105,0,61,7,5,224,53,114,61,224
SANDERS2-NOXON-HD13,36,40,2,14,8,2,146,1,88,5,16,332,76,172,88,332
SANDERS3-TROUT CREEK-HD13,50,87,3,26,31,11,295,1,147,12,27,653,137,366,147,653
SANDERS4-T FALLS-HD13,77,88,8,31,17,7,318,2,194,7,55,682,165,381,194,682
SANDERS5-T FALLS-HD13,78,78,5,27,26,14,347,5,196,11,54,707,156,419,196,707
SANDERS6-PLAINS-HD14,47,62,3,54,22,15,352,1,152,4,50,740,109,446,152,740
SANDERS7-PLAINS-HD14,46,52,12,40,16,8,253,0,132,10,44,494,98,329,132,494
SANDERS8-HOT SPRINGS-HD14,41,119,7,11,11,0,139,3,180,31,41,378,160,168,180,378
SANDERS9-DIXON-HD14,17,27,1,5,7,5,39,0,68,7,7,76,44,57,68,76
SHERIDAN1 WESTBY,8,11,2,5,3,2,44,1,35,0,5,126,19,56,35,126
SHERIDAN2 MEDICINE LAKE,40,42,4,5,8,5,112,0,107,2,19,244,82,134,107,244
SHERIDAN3 PLENTYWOOD WEST,47,28,4,7,10,6,87,1,103,9,16,237,75,114,103,237
SHERIDAN4 PLENTYWOOD EAST,42,42,1,11,14,6,129,0,131,6,27,337,84,161,131,337
