state,county,rep_general_total,dem_general_total,rep_primary_total,dem_primary_total,rep_primary_share,rep_general_share,primary_total_votes,general_total_votes
GA,Douglas,26812.0,27825.0,13490.0,15834.0,0.4600327376892648,0.49072972527774217,29324.0,54637.0
GA,Early,2711.0,2603.0,964.0,1130.0,0.4603629417382999,0.5101618366578848,2094.0,5314.0
GA,Echols,981.0,201.0,216.0,138.0,0.6101694915254238,0.8299492385786802,354.0,1182.0
GA,Effingham,15230.0,4936.0,8560.0,4004.0,0.6813116841770137,0.7552315779034018,12564.0,20166.0
GA,Elbert,4868.0,3366.0,1988.0,1985.0,0.5003775484520514,0.5912071897012388,3973.0,8234.0
GA,Emanuel,5110.0,3068.0,1962.0,1860.0,0.5133437990580848,0.6248471508926388,3822.0,8178.0
GA,Evans,2462.0,1374.0,1022.0,945.0,0.5195729537366548,0.6418143899895725,1967.0,3836.0
GA,Fannin,7807.0,2611.0,3902.0,1896.0,0.6729906864436013,0.7493760798617777,5798.0,10418.0
GA,Fayette,38501.0,20313.0,21057.0,13709.0,0.6056779612264857,0.6546230489339273,34766.0,58814.0
GA,Floyd,23132.0,10691.0,10015.0,7741.0,0.5640346924983104,0.6839133134257753,17756.0,33823.0
GA,Forsyth,59166.0,15406.0,29936.0,9512.0,0.7588724396674102,0.7934077133508556,39448.0,74572.0
GA,Franklin,6069.0,1914.0,2463.0,1563.0,0.6117734724292101,0.7602405110860578,4026.0,7983.0
GA,Fulton,130136.0,272000.0,65850.0,146746.0,0.3097424222468908,0.32361191238784887,212596.0,402136.0
GA,Gilmer,8408.0,2614.0,4298.0,2067.0,0.6752553024351925,0.7628379604427509,6365.0,11022.0
GA,Glascock,1202.0,210.0,400.0,197.0,0.6700167504187605,0.8512747875354107,597.0,1412.0
GA,Glynn,20479.0,12676.0,9764.0,5875.0,0.6243365944114074,0.6176745588900618,15639.0,33155.0
GA,Gordon,13113.0,4268.0,5392.0,3306.0,0.6199126235916302,0.7544445083712099,8698.0,17381.0
GA,Grady,5775.0,3539.0,2301.0,1975.0,0.5381197380729654,0.620034356882113,4276.0,9314.0
GA,Greene,4532.0,3339.0,2308.0,1822.0,0.5588377723970944,0.5757845254732562,4130.0,7871.0
GA,Gwinnett,158746.0,129025.0,81694.0,68998.0,0.5421256602872083,0.5516400193209183,150692.0,287771.0
GA,Habersham,11766.0,2900.0,5616.0,2354.0,0.7046424090338771,0.8022637392608755,7970.0,14666.0
GA,Hall,44962.0,14457.0,22168.0,8876.0,0.714083236696302,0.756693986771908,31044.0,59419.0
GA,Hancock,795.0,3535.0,286.0,1622.0,0.149895178197065,0.1836027713625866,1908.0,4330.0
GA,Haralson,8658.0,2248.0,3569.0,2086.0,0.6311229000884173,0.7938749312305153,5655.0,10906.0
GA,Harris,10648.0,4184.0,4691.0,2814.0,0.6250499666888741,0.7179072276159655,7505.0,14832.0
GA,Hart,6537.0,3365.0,2507.0,2351.0,0.5160559901193907,0.6601696626944051,4858.0,9902.0
GA,Heard,3133.0,1042.0,1313.0,987.0,0.5708695652173913,0.7504191616766467,2300.0,4175.0
GA,Henry,47157.0,40567.0,21536.0,23060.0,0.4829132657637456,0.5375609867311112,44596.0,87724.0
GA,Houston,33392.0,22094.0,14374.0,12105.0,0.5428452736130519,0.6018094654507443,26479.0,55486.0
GA,Irwin,2605.0,1197.0,947.0,834.0,0.5317237507018528,0.6851657022619674,1781.0,3802.0
GA,Jackson,17776.0,4950.0,8960.0,3661.0,0.7099278979478647,0.782187802516941,12621.0,22726.0
GA,Jasper,3916.0,1935.0,1666.0,1291.0,0.563408860331417,0.6692873013160143,2957.0,5851.0
GA,Jeff davis,3867.0,1356.0,1203.0,1001.0,0.5458257713248639,0.7403790924755888,2204.0,5223.0
GA,Jefferson,3061.0,4149.0,1255.0,2308.0,0.35223126578725794,0.4245492371705964,3563.0,7210.0
GA,Jenkins,1936.0,1482.0,731.0,897.0,0.449017199017199,0.5664131070801638,1628.0,3418.0
GA,Johnson,2426.0,1198.0,956.0,758.0,0.5577596266044341,0.6694260485651214,1714.0,3624.0
GA,Jones,7782.0,4572.0,3611.0,3323.0,0.5207672339198154,0.629917435648373,6934.0,12354.0
GA,Lamar,4873.0,2752.0,2272.0,1847.0,0.5515901917941248,0.6390819672131147,4119.0,7625.0
GA,Lanier,1787.0,1062.0,579.0,618.0,0.48370927318295737,0.6272376272376272,1197.0,2849.0
GA,Laurens,12052.0,7769.0,5119.0,4776.0,0.5173319858514401,0.6080419756823571,9895.0,19821.0
GA,Lee,9925.0,3100.0,4016.0,2163.0,0.6499433565301829,0.761996161228407,6179.0,13025.0
GA,Liberty,5828.0,10474.0,2159.0,4795.0,0.3104687949381651,0.35750214697583116,6954.0,16302.0
GA,Lincoln,2731.0,1650.0,1253.0,1051.0,0.5438368055555556,0.6233736589819676,2304.0,4381.0
GA,Long,2119.0,1288.0,663.0,628.0,0.5135553834237025,0.6219547989433519,1291.0,3407.0
GA,Lowndes,21269.0,17597.0,8689.0,7816.0,0.5264465313541351,0.5472392322338291,16505.0,38866.0
GA,Lumpkin,8326.0,2586.0,4093.0,2097.0,0.6612277867528271,0.7630131964809385,6190.0,10912.0
GA,Macon,1712.0,3251.0,664.0,1777.0,0.2720196640721016,0.3449526496070925,2441.0,4963.0
GA,Madison,8226.0,2965.0,3868.0,2110.0,0.647039143526263,0.7350549548744527,5978.0,11191.0
GA,Marion,1772.0,1381.0,594.0,931.0,0.3895081967213115,0.5620044402156676,1525.0,3153.0
